# #h[nm], U[kJ/mol]
  0.129977, 62.180000
  0.132624, 54.960000
  0.135271, 47.750000
  0.137917, 40.620000
  0.140564, 33.650000
  0.143211, 26.910000
  0.145858, 20.450000
  0.148505, 14.310000
  0.151152,  8.530000
  0.153799,  3.130000
  0.156445, -1.850000
  0.159092, -6.400000
  0.161739,-10.470000
  0.164386,-14.060000
  0.167033,-17.190000
  0.169680,-19.900000
  0.172327,-22.270000
  0.174973,-24.390000
  0.177620,-26.320000
  0.180267,-28.110000
  0.182914,-29.770000
  0.185561,-31.280000
  0.188208,-32.650000
  0.190854,-33.870000
  0.193501,-34.940000
  0.196148,-35.840000
  0.198795,-36.570000
  0.201442,-37.130000
  0.204089,-37.530000
  0.206736,-37.780000
  0.209382,-37.880000
  0.212029,-37.880000
  0.214676,-37.770000
  0.217323,-37.570000
  0.219970,-37.290000
  0.222617,-36.920000
  0.225264,-36.480000
  0.227910,-35.970000
  0.230557,-35.420000
  0.233204,-34.860000
  0.235851,-34.300000
  0.238498,-33.760000
  0.241145,-33.240000
  0.243792,-32.730000
  0.246438,-32.220000
  0.249085,-31.690000
  0.251732,-31.130000
  0.254379,-30.540000
  0.257026,-29.910000
  0.259673,-29.260000
  0.262319,-28.580000
  0.264966,-27.890000
  0.267613,-27.200000
  0.270260,-26.520000
  0.272907,-25.850000
  0.275554,-25.200000
  0.278201,-24.560000
  0.280847,-23.950000
  0.283494,-23.350000
  0.286141,-22.780000
  0.288788,-22.220000
  0.291435,-21.660000
  0.294082,-21.110000
  0.296729,-20.540000
  0.299375,-19.960000
  0.302022,-19.360000
  0.304669,-18.750000
  0.307316,-18.140000
  0.309963,-17.530000
  0.312610,-16.940000
  0.315257,-16.390000
  0.317903,-15.890000
  0.320550,-15.430000
  0.323197,-15.020000
  0.325844,-14.650000
  0.328491,-14.310000
  0.331138,-13.980000
  0.333784,-13.650000
  0.336431,-13.310000
  0.339078,-12.960000
  0.341725,-12.600000
  0.344372,-12.200000
  0.347019,-11.790000
  0.349666,-11.350000
  0.352312,-10.900000
  0.354959,-10.440000
  0.357606, -9.990000
  0.360253, -9.550000
  0.362900, -9.120000
  0.365547, -8.720000
  0.368194, -8.340000
  0.370840, -7.990000
  0.373487, -7.650000
  0.376134, -7.340000
  0.378781, -7.050000
  0.381428, -6.790000
  0.384075, -6.560000
  0.386722, -6.350000
  0.389368, -6.170000
  0.392015, -6.010000
  0.394662, -5.870000
  0.397309, -5.750000
  0.399956, -5.620000
  0.402603, -5.490000
  0.405249, -5.340000
  0.407896, -5.170000
  0.410543, -4.960000
