# #h[nm], U[kJ/mol]
  0.156565, 73.850000
  0.158723, 67.910000
  0.160882, 61.950000
  0.163040, 56.000000
  0.165198, 50.130000
  0.167356, 44.360000
  0.169515, 38.760000
  0.171673, 33.360000
  0.173831, 28.190000
  0.175989, 23.290000
  0.178147, 18.690000
  0.180306, 14.410000
  0.182464, 10.460000
  0.184622,  6.850000
  0.186780,  3.570000
  0.188939,  0.610000
  0.191097, -2.070000
  0.193255, -4.500000
  0.195413, -6.740000
  0.197571, -8.830000
  0.199730,-10.790000
  0.201888,-12.640000
  0.204046,-14.410000
  0.206204,-16.070000
  0.208363,-17.610000
  0.210521,-19.040000
  0.212679,-20.350000
  0.214837,-21.550000
  0.216995,-22.630000
  0.219154,-23.620000
  0.221312,-24.520000
  0.223470,-25.330000
  0.225628,-26.050000
  0.227787,-26.700000
  0.229945,-27.240000
  0.232103,-27.700000
  0.234261,-28.050000
  0.236419,-28.310000
  0.238578,-28.470000
  0.240736,-28.540000
  0.242894,-28.530000
  0.245052,-28.440000
  0.247211,-28.300000
  0.249369,-28.110000
  0.251527,-27.880000
  0.253685,-27.630000
  0.255843,-27.350000
  0.258002,-27.040000
  0.260160,-26.720000
  0.262318,-26.360000
  0.264476,-25.960000
  0.266635,-25.540000
  0.268793,-25.100000
  0.270951,-24.650000
  0.273109,-24.210000
  0.275267,-23.780000
  0.277426,-23.380000
  0.279584,-23.000000
  0.281742,-22.630000
  0.283900,-22.260000
  0.286059,-21.880000
  0.288217,-21.510000
  0.290375,-21.140000
  0.292533,-20.790000
  0.294691,-20.470000
  0.296850,-20.180000
  0.299008,-19.930000
  0.301166,-19.700000
  0.303324,-19.500000
  0.305483,-19.330000
  0.307641,-19.150000
  0.309799,-18.970000
  0.311957,-18.790000
  0.314115,-18.600000
  0.316274,-18.390000
  0.318432,-18.160000
  0.320590,-17.900000
  0.322748,-17.630000
  0.324907,-17.340000
  0.327065,-17.040000
  0.329223,-16.720000
  0.331381,-16.390000
  0.333540,-16.040000
  0.335698,-15.680000
  0.337856,-15.320000
  0.340014,-14.940000
  0.342172,-14.550000
  0.344331,-14.160000
  0.346489,-13.760000
  0.348647,-13.380000
  0.350805,-13.010000
  0.352964,-12.660000
  0.355122,-12.340000
  0.357280,-12.050000
  0.359438,-11.780000
  0.361596,-11.540000
  0.363755,-11.330000
  0.365913,-11.150000
  0.368071,-10.990000
  0.370229,-10.850000
  0.372388,-10.730000
  0.374546,-10.610000
  0.376704,-10.490000
  0.378862,-10.380000
  0.381020,-10.260000
  0.383179,-10.140000
  0.385337,-10.010000
  0.387495, -9.870000
  0.389653, -9.720000
  0.391812, -9.560000
  0.393970, -9.390000
  0.396128, -9.210000
  0.398286, -9.030000
  0.400444, -8.850000
  0.402603, -8.670000
  0.404761, -8.480000
  0.406919, -8.300000
  0.409077, -8.110000
  0.411236, -7.920000
  0.413394, -7.710000
  0.415552, -7.490000
  0.417710, -7.260000
  0.419868, -7.030000
  0.422027, -6.800000
  0.424185, -6.580000
  0.426343, -6.380000
  0.428501, -6.200000
  0.430660, -6.060000
  0.432818, -5.940000
  0.434976, -5.860000
  0.437134, -5.800000
  0.439292, -5.760000
  0.441451, -5.730000
  0.443609, -5.710000
  0.445767, -5.690000
  0.447925, -5.680000
  0.450084, -5.680000
  0.452242, -5.670000
  0.454400, -5.670000
  0.456558, -5.670000
  0.458716, -5.650000
  0.460875, -5.600000
  0.463033, -5.530000
  0.465191, -5.420000
  0.467349, -5.280000
  0.469508, -5.090000
  0.471666, -4.870000
  0.473824, -4.630000
  0.475982, -4.360000
  0.478140, -4.080000
  0.480299, -3.790000
  0.482457, -3.500000
  0.484615, -3.200000
  0.486773, -2.920000
  0.488932, -2.650000
  0.491090, -2.380000
  0.493248, -2.150000
  0.495406, -1.930000
  0.497564, -1.750000
  0.499723, -1.600000
  0.501881, -1.490000
  0.504039, -1.410000
  0.506197, -1.380000
  0.508356, -1.370000
  0.510514, -1.400000
  0.512672, -1.460000
  0.514830, -1.540000
  0.516988, -1.650000
  0.519147, -1.760000
  0.521305, -1.880000
  0.523463, -2.010000
  0.525621, -2.150000
  0.527780, -2.290000
  0.529938, -2.430000
  0.532096, -2.570000
  0.534254, -2.710000
  0.536412, -2.840000
  0.538571, -2.960000
  0.540729, -3.070000
  0.542887, -3.170000
