# #h[nm], U[kJ/mol]
  0.145400, 79.640000
  0.147849, 74.100000
  0.150298, 68.390000
  0.152746, 62.540000
  0.155195, 56.600000
  0.157644, 50.630000
  0.160092, 44.670000
  0.162541, 38.780000
  0.164990, 33.020000
  0.167439, 27.440000
  0.169887, 22.110000
  0.172336, 17.060000
  0.174785, 12.340000
  0.177233,  7.990000
  0.179682,  4.020000
  0.182131,  0.430000
  0.184580, -2.780000
  0.187028, -5.640000
  0.189477, -8.180000
  0.191926,-10.440000
  0.194374,-12.460000
  0.196823,-14.280000
  0.199272,-15.910000
  0.201720,-17.380000
  0.204169,-18.670000
  0.206618,-19.800000
  0.209067,-20.770000
  0.211515,-21.600000
  0.213964,-22.310000
  0.216413,-22.920000
  0.218861,-23.450000
  0.221310,-23.900000
  0.223759,-24.270000
  0.226208,-24.540000
  0.228656,-24.720000
  0.231105,-24.810000
  0.233554,-24.790000
  0.236002,-24.670000
  0.238451,-24.460000
  0.240900,-24.190000
  0.243349,-23.860000
  0.245797,-23.500000
  0.248246,-23.120000
  0.250695,-22.730000
  0.253143,-22.340000
  0.255592,-21.950000
  0.258041,-21.580000
  0.260490,-21.210000
  0.262938,-20.870000
  0.265387,-20.540000
  0.267836,-20.210000
  0.270284,-19.890000
  0.272733,-19.570000
  0.275182,-19.270000
  0.277630,-19.000000
  0.280079,-18.760000
  0.282528,-18.540000
  0.284977,-18.300000
  0.287425,-18.020000
  0.289874,-17.650000
  0.292323,-17.210000
  0.294771,-16.680000
  0.297220,-16.090000
  0.299669,-15.460000
  0.302118,-14.820000
  0.304566,-14.220000
  0.307015,-13.660000
  0.309464,-13.190000
  0.311912,-12.800000
  0.314361,-12.510000
  0.316810,-12.300000
  0.319259,-12.130000
  0.321707,-11.980000
  0.324156,-11.800000
  0.326605,-11.580000
  0.329053,-11.290000
  0.331502,-10.960000
  0.333951,-10.610000
  0.336400,-10.260000
  0.338848, -9.950000
  0.341297, -9.670000
  0.343746, -9.430000
  0.346194, -9.210000
  0.348643, -9.000000
  0.351092, -8.800000
  0.353540, -8.580000
  0.355989, -8.350000
  0.358438, -8.100000
  0.360887, -7.840000
  0.363335, -7.560000
  0.365784, -7.260000
  0.368233, -6.960000
  0.370681, -6.660000
  0.373130, -6.370000
  0.375579, -6.100000
  0.378028, -5.860000
  0.380476, -5.650000
  0.382925, -5.480000
  0.385374, -5.340000
  0.387822, -5.250000
  0.390271, -5.180000
  0.392720, -5.120000
  0.395169, -5.080000
  0.397617, -5.030000
  0.400066, -4.980000
  0.402515, -4.920000
  0.404963, -4.860000
  0.407412, -4.780000
  0.409861, -4.690000
  0.412309, -4.600000
  0.414758, -4.500000
  0.417207, -4.390000
  0.419656, -4.280000
  0.422104, -4.160000
  0.424553, -4.010000
  0.427002, -3.850000
