# #h[nm], U[kJ/mol]
  0.147439, 42.430000
  0.149272, 36.260000
  0.151105, 30.100000
  0.152937, 23.980000
  0.154770, 17.960000
  0.156603, 12.080000
  0.158436,  6.390000
  0.160269,  0.910000
  0.162101, -4.320000
  0.163934, -9.280000
  0.165767,-13.950000
  0.167600,-18.330000
  0.169433,-22.420000
  0.171265,-26.210000
  0.173098,-29.720000
  0.174931,-32.970000
  0.176764,-35.970000
  0.178597,-38.750000
  0.180429,-41.310000
  0.182262,-43.680000
  0.184095,-45.850000
  0.185928,-47.840000
  0.187761,-49.660000
  0.189593,-51.310000
  0.191426,-52.820000
  0.193259,-54.190000
  0.195092,-55.450000
  0.196925,-56.610000
  0.198758,-57.680000
  0.200590,-58.680000
  0.202423,-59.590000
  0.204256,-60.430000
  0.206089,-61.160000
  0.207922,-61.780000
  0.209754,-62.290000
  0.211587,-62.690000
  0.213420,-62.970000
  0.215253,-63.170000
  0.217086,-63.290000
  0.218918,-63.320000
  0.220751,-63.240000
  0.222584,-63.000000
  0.224417,-62.600000
  0.226250,-62.030000
  0.228082,-61.330000
  0.229915,-60.560000
  0.231748,-59.760000
  0.233581,-58.960000
  0.235414,-58.180000
  0.237246,-57.390000
  0.239079,-56.570000
  0.240912,-55.680000
  0.242745,-54.710000
  0.244578,-53.640000
  0.246411,-52.480000
  0.248243,-51.250000
  0.250076,-49.960000
  0.251909,-48.620000
  0.253742,-47.240000
  0.255575,-45.840000
  0.257407,-44.420000
  0.259240,-43.010000
  0.261073,-41.610000
  0.262906,-40.250000
  0.264739,-38.920000
  0.266571,-37.650000
  0.268404,-36.440000
  0.270237,-35.290000
  0.272070,-34.190000
  0.273903,-33.140000
  0.275735,-32.150000
  0.277568,-31.220000
  0.279401,-30.360000
  0.281234,-29.560000
  0.283067,-28.830000
  0.284899,-28.170000
  0.286732,-27.570000
  0.288565,-27.030000
  0.290398,-26.540000
  0.292231,-26.090000
  0.294064,-25.690000
  0.295896,-25.320000
  0.297729,-24.990000
  0.299562,-24.680000
  0.301395,-24.410000
  0.303228,-24.180000
  0.305060,-23.980000
  0.306893,-23.820000
  0.308726,-23.690000
  0.310559,-23.580000
  0.312392,-23.500000
  0.314224,-23.450000
  0.316057,-23.410000
  0.317890,-23.380000
  0.319723,-23.360000
  0.321556,-23.360000
  0.323388,-23.360000
  0.325221,-23.370000
  0.327054,-23.400000
  0.328887,-23.420000
  0.330720,-23.450000
  0.332552,-23.470000
  0.334385,-23.490000
  0.336218,-23.500000
  0.338051,-23.510000
  0.339884,-23.510000
  0.341717,-23.510000
  0.343549,-23.500000
  0.345382,-23.490000
  0.347215,-23.470000
  0.349048,-23.450000
  0.350881,-23.410000
  0.352713,-23.350000
  0.354546,-23.270000
  0.356379,-23.180000
  0.358212,-23.060000
  0.360045,-22.910000
  0.361877,-22.740000
  0.363710,-22.540000
  0.365543,-22.310000
  0.367376,-22.070000
  0.369209,-21.810000
  0.371041,-21.540000
  0.372874,-21.270000
  0.374707,-21.000000
  0.376540,-20.740000
  0.378373,-20.480000
  0.380206,-20.240000
  0.382038,-20.000000
  0.383871,-19.750000
  0.385704,-19.490000
  0.387537,-19.220000
  0.389370,-18.930000
  0.391202,-18.610000
  0.393035,-18.270000
  0.394868,-17.920000
  0.396701,-17.580000
  0.398534,-17.240000
  0.400366,-16.930000
  0.402199,-16.650000
  0.404032,-16.410000
  0.405865,-16.210000
  0.407698,-16.040000
  0.409530,-15.890000
  0.411363,-15.740000
  0.413196,-15.580000
  0.415029,-15.400000
  0.416862,-15.190000
  0.418694,-14.960000
  0.420527,-14.710000
  0.422360,-14.450000
  0.424193,-14.200000
  0.426026,-13.970000
  0.427859,-13.770000
  0.429691,-13.580000
  0.431524,-13.410000
  0.433357,-13.260000
  0.435190,-13.110000
  0.437023,-12.970000
  0.438855,-12.820000
  0.440688,-12.670000
  0.442521,-12.500000
  0.444354,-12.340000
  0.446187,-12.170000
  0.448019,-11.990000
  0.449852,-11.800000
  0.451685,-11.600000
  0.453518,-11.400000
  0.455351,-11.190000
  0.457183,-10.980000
  0.459016,-10.760000
  0.460849,-10.540000
