# #h[nm], U[kJ/mol]
  0.531814, -1.660000
  0.534460, -1.690000
  0.537107, -1.720000
  0.539753, -1.730000
  0.542399, -1.720000
  0.545045, -1.690000
  0.547691, -1.660000
  0.550338, -1.610000
  0.552984, -1.560000
  0.555630, -1.500000
  0.558276, -1.430000
  0.560922, -1.360000
  0.563568, -1.290000
  0.566215, -1.220000
  0.568861, -1.150000
  0.571507, -1.090000
  0.574153, -1.040000
  0.576799, -1.000000
  0.579445, -0.970000
  0.582092, -0.940000
  0.584738, -0.920000
  0.587384, -0.910000
  0.590030, -0.910000
  0.592676, -0.900000
  0.595322, -0.900000
  0.597969, -0.900000
  0.600615, -0.900000
  0.603261, -0.900000
  0.605907, -0.880000
  0.608553, -0.860000
  0.611200, -0.840000
  0.613846, -0.800000
  0.616492, -0.750000
  0.619138, -0.700000
  0.621784, -0.640000
  0.624430, -0.570000
  0.627077, -0.490000
  0.629723, -0.410000
  0.632369, -0.320000
  0.635015, -0.220000
  0.637661, -0.130000
  0.640307, -0.030000
  0.642954,  0.060000
  0.645600,  0.160000
  0.648246,  0.260000
  0.650892,  0.360000
  0.653538,  0.450000
  0.656185,  0.530000
  0.658831,  0.620000
  0.661477,  0.690000
  0.664123,  0.770000
  0.666769,  0.840000
  0.669415,  0.910000
  0.672062,  0.970000
  0.674708,  1.040000
  0.677354,  1.090000
  0.680000,  1.150000
  0.682646,  1.200000
  0.685292,  1.260000
  0.687939,  1.310000
  0.690585,  1.360000
  0.693231,  1.410000
  0.695877,  1.460000
  0.698523,  1.510000
  0.701169,  1.550000
  0.703816,  1.600000
  0.706462,  1.640000
  0.709108,  1.670000
  0.711754,  1.700000
  0.714400,  1.720000
  0.717047,  1.740000
  0.719693,  1.740000
  0.722339,  1.740000
  0.724985,  1.730000
  0.727631,  1.710000
  0.730277,  1.690000
  0.732924,  1.650000
  0.735570,  1.620000
  0.738216,  1.570000
  0.740862,  1.510000
  0.743508,  1.450000
  0.746154,  1.380000
  0.748801,  1.320000
  0.751447,  1.240000
  0.754093,  1.170000
  0.756739,  1.090000
  0.759385,  1.020000
  0.762032,  0.940000
  0.764678,  0.850000
  0.767324,  0.780000
  0.769970,  0.700000
  0.772616,  0.630000
