# Generated by Parinaz Mosaddeghi Amini at University College Dublin, March 2023
# PMF between COM of side chain analogos MET and Iron (fe-100) slab.
# 
# z(nm), (KJ/mol)
  0.165781, 70.987673
  0.167724, 64.335352
  0.169667, 57.660697
  0.171610, 51.021545
  0.173553, 44.475364
  0.175496, 38.080300
  0.177439, 31.889582
  0.179382, 25.944261
  0.181325, 20.281358
  0.183267, 14.922896
  0.185210,  9.886491
  0.187153,  5.178113
  0.189096,  0.798377
  0.191039, -3.245600
  0.192982, -6.950018
  0.194925,-10.302854
  0.196868,-13.300240
  0.198811,-15.947679
  0.200754,-18.272836
  0.202697,-20.319759
  0.204640,-22.140920
  0.206582,-23.792348
  0.208525,-25.315418
  0.210468,-26.732370
  0.212411,-28.049341
  0.214354,-29.255581
  0.216297,-30.339817
  0.218240,-31.294348
  0.220183,-32.130318
  0.222126,-32.857086
  0.224069,-33.489574
  0.226012,-34.037655
  0.227955,-34.500525
  0.229898,-34.874242
  0.231840,-35.144988
  0.233783,-35.305747
  0.235726,-35.347996
  0.237669,-35.271721
  0.239612,-35.089931
  0.241555,-34.815484
  0.243498,-34.470184
  0.245441,-34.079127
  0.247384,-33.655503
  0.249327,-33.221487
  0.251270,-32.785635
  0.253213,-32.351865
  0.255156,-31.933291
  0.257098,-31.521909
  0.259041,-31.114548
  0.260984,-30.709440
  0.262927,-30.303839
  0.264870,-29.913174
  0.266813,-29.538347
  0.268756,-29.177642
  0.270699,-28.842448
  0.272642,-28.526962
  0.274585,-28.232694
  0.276528,-27.952416
  0.278471,-27.682100
  0.280413,-27.412479
  0.282356,-27.136548
  0.284299,-26.841398
  0.286242,-26.522361
  0.288185,-26.176464
  0.290128,-25.799423
  0.292071,-25.381136
  0.294014,-24.923033
  0.295957,-24.413496
  0.297900,-23.859557
  0.299843,-23.274180
  0.301786,-22.665242
  0.303729,-22.048254
  0.305671,-21.441182
  0.307614,-20.855018
  0.309557,-20.292757
  0.311500,-19.754034
  0.313443,-19.246064
  0.315386,-18.762445
  0.317329,-18.309257
  0.319272,-17.894252
  0.321215,-17.513172
  0.323158,-17.168160
  0.325101,-16.856806
  0.327044,-16.571438
  0.328987,-16.311119
  0.330929,-16.069134
  0.332872,-15.851411
  0.334815,-15.648688
  0.336758,-15.464860
  0.338701,-15.292872
  0.340644,-15.132805
  0.342587,-14.979904
  0.344530,-14.831096
  0.346473,-14.681279
  0.348416,-14.523896
  0.350359,-14.355159
  0.352302,-14.177094
  0.354244,-13.992662
  0.356187,-13.803095
  0.358130,-13.606754
  0.360073,-13.403199
  0.362016,-13.190616
  0.363959,-12.967011
  0.365902,-12.728744
  0.367845,-12.463074
  0.369788,-12.173511
  0.371731,-11.851456
  0.373674,-11.506599
  0.375617,-11.141395
  0.377560,-10.765992
  0.379502,-10.387602
  0.381445,-10.014566
  0.383388, -9.652956
  0.385331, -9.310677
  0.387274, -8.987463
  0.389217, -8.688062
  0.391160, -8.413645
  0.393103, -8.163887
  0.395046, -7.945593
  0.396989, -7.754639
  0.398932, -7.590384
  0.400875, -7.460555
  0.402817, -7.362018
  0.404760, -7.289450
  0.406703, -7.239033
  0.408646, -7.202495
  0.410589, -7.178169
  0.412532, -7.154424
  0.414475, -7.137847
