# Generated by Parinaz Mosaddeghi Amini at University College Dublin, March 2023
# PMF between COM of side chain analogos GLU and Iron (fe-100) slab.
# 
# z(nm), (KJ/mol)
  0.163507, 61.087117
  0.165279, 55.229388
  0.167051, 49.370763
  0.168823, 43.545894
  0.170595, 37.788827
  0.172367, 32.136401
  0.174139, 26.622676
  0.175911, 21.284053
  0.177683, 16.155352
  0.179455, 11.276470
  0.181227,  6.683089
  0.182999,  2.408485
  0.184770, -1.524709
  0.186542, -5.101268
  0.188314, -8.332522
  0.190086,-11.238960
  0.191858,-13.854718
  0.193630,-16.220361
  0.195402,-18.370345
  0.197174,-20.331765
  0.198946,-22.125940
  0.200718,-23.773080
  0.202490,-25.308557
  0.204262,-26.766665
  0.206034,-28.172081
  0.207806,-29.522360
  0.209578,-30.786915
  0.211350,-31.934031
  0.213122,-32.930371
  0.214894,-33.767569
  0.216666,-34.464408
  0.218438,-35.048649
  0.220210,-35.557543
  0.221982,-36.012759
  0.223753,-36.415031
  0.225525,-36.749810
  0.227297,-36.990987
  0.229069,-37.119281
  0.230841,-37.128031
  0.232613,-37.028606
  0.234385,-36.848104
  0.236157,-36.624489
  0.237929,-36.388157
  0.239701,-36.174074
  0.241473,-35.996438
  0.243245,-35.870252
  0.245017,-35.799373
  0.246789,-35.780686
  0.248561,-35.802485
  0.250333,-35.844146
  0.252105,-35.893037
  0.253877,-35.934055
  0.255649,-35.947597
  0.257421,-35.911754
  0.259193,-35.814303
  0.260965,-35.641600
  0.262737,-35.399567
  0.264508,-35.084940
  0.266280,-34.710336
  0.268052,-34.296804
  0.269824,-33.846991
  0.271596,-33.372743
  0.273368,-32.876711
  0.275140,-32.350050
  0.276912,-31.794893
  0.278684,-31.207184
  0.280456,-30.584382
  0.282228,-29.917720
  0.284000,-29.215782
  0.285772,-28.481714
  0.287544,-27.726168
  0.289316,-26.959263
  0.291088,-26.199368
  0.292860,-25.454315
  0.294632,-24.732799
  0.296404,-24.049968
  0.298176,-23.405375
  0.299948,-22.808189
  0.301720,-22.262738
  0.303491,-21.771344
  0.305263,-21.326689
  0.307035,-20.925695
  0.308807,-20.565453
  0.310579,-20.240728
  0.312351,-19.947467
  0.314123,-19.694326
  0.315895,-19.481015
  0.317667,-19.311425
  0.319439,-19.186086
  0.321211,-19.100728
  0.322983,-19.044024
  0.324755,-19.004501
  0.326527,-18.964485
  0.328299,-18.921065
  0.330071,-18.861679
  0.331843,-18.780320
  0.333615,-18.682743
  0.335387,-18.574515
  0.337159,-18.457892
  0.338931,-18.343290
  0.340703,-18.217749
  0.342474,-18.084084
  0.344246,-17.939754
  0.346018,-17.772882
  0.347790,-17.578026
  0.349562,-17.355319
  0.351334,-17.100370
  0.353106,-16.812992
  0.354878,-16.487338
  0.356650,-16.131228
  0.358422,-15.750908
  0.360194,-15.347942
  0.361966,-14.930012
  0.363738,-14.503389
  0.365510,-14.070191
  0.367282,-13.646242
  0.369054,-13.234144
  0.370826,-12.836392
  0.372598,-12.470696
  0.374370,-12.126528
  0.376142,-11.813476
  0.377914,-11.523024
  0.379686,-11.256529
  0.381457,-11.006089
  0.383229,-10.762452
  0.385001,-10.531429
  0.386773,-10.314097
  0.388545,-10.114579
  0.390317, -9.936346
  0.392089, -9.779523
  0.393861, -9.643663
  0.395633, -9.528502
  0.397405, -9.421931
  0.399177, -9.314594
  0.400949, -9.201533
  0.402721, -9.073261
  0.404493, -8.920833
  0.406265, -8.748970
  0.408037, -8.560590
  0.409809, -8.363302
  0.411581, -8.165741
  0.413353, -7.963680
  0.415125, -7.761624
  0.416897, -7.559856
  0.418669, -7.353275
  0.420441, -7.136883
  0.422212, -6.906687
  0.423984, -6.670222
  0.425756, -6.424919
  0.427528, -6.184224
  0.429300, -5.958034
  0.431072, -5.756687
  0.432844, -5.580553
  0.434616, -5.437291
  0.436388, -5.324351
  0.438160, -5.240648
  0.439932, -5.186229
  0.441704, -5.156031
  0.443476, -5.145172
  0.445248, -5.148484
  0.447020, -5.167616
  0.448792, -5.194613
  0.450564, -5.227254
  0.452336, -5.263903
  0.454108, -5.306053
  0.455880, -5.356848
  0.457652, -5.411264
  0.459424, -5.464119
  0.461195, -5.528217
  0.462967, -5.599924
  0.464739, -5.677118
  0.466511, -5.756979
  0.468283, -5.844732
  0.470055, -5.930589
  0.471827, -6.014834
  0.473599, -6.094174
  0.475371, -6.168422
  0.477143, -6.233125
  0.478915, -6.287252
  0.480687, -6.338783
  0.482459, -6.387306
  0.484231, -6.432354
  0.486003, -6.485942
  0.487775, -6.549668
  0.489547, -6.629286
  0.491319, -6.721792
  0.493091, -6.832172
  0.494863, -6.951642
  0.496635, -7.075962
  0.498407, -7.198392
  0.500178, -7.311023
  0.501950, -7.406421
  0.503722, -7.485394
  0.505494, -7.539412
  0.507266, -7.576780
  0.509038, -7.598057
  0.510810, -7.604918
  0.512582, -7.602974
  0.514354, -7.604475
  0.516126, -7.612825
  0.517898, -7.625928
  0.519670, -7.654437
  0.521442, -7.688792
  0.523214, -7.729654
  0.524986, -7.771666
  0.526758, -7.806082
  0.528530, -7.832257
  0.530302, -7.844856
  0.532074, -7.843400
  0.533846, -7.833265
  0.535618, -7.815437
  0.537390, -7.791790
  0.539161, -7.762538
  0.540933, -7.740549
  0.542705, -7.717338
  0.544477, -7.698446
  0.546249, -7.680065
  0.548021, -7.659957
  0.549793, -7.637801
  0.551565, -7.605634
  0.553337, -7.560336
  0.555109, -7.497787
  0.556881, -7.414947
  0.558653, -7.316155
  0.560425, -7.194383
  0.562197, -7.055318
  0.563969, -6.903273
  0.565741, -6.742680
  0.567513, -6.580157
  0.569285, -6.420280
  0.571057, -6.272067
  0.572829, -6.134981
  0.574601, -6.008646
  0.576373, -5.889811
  0.578145, -5.774041
  0.579916, -5.655093
  0.581688, -5.526330
  0.583460, -5.393610
  0.585232, -5.241556
  0.587004, -5.072466
  0.588776, -4.891937
  0.590548, -4.699047
  0.592320, -4.493509
  0.594092, -4.285690
  0.595864, -4.082904
  0.597636, -3.889909
  0.599408, -3.711423
  0.601180, -3.549727
  0.602952, -3.398817
  0.604724, -3.260652
  0.606496, -3.119885
  0.608268, -2.975332
  0.610040, -2.833053
  0.611812, -2.697801
  0.613584, -2.577482
  0.615356, -2.470876
  0.617128, -2.385873
  0.618899, -2.315346
  0.620671, -2.263179
  0.622443, -2.214528
  0.624215, -2.173975
  0.625987, -2.136730
  0.627759, -2.101494
  0.629531, -2.062505
  0.631303, -2.021552
  0.633075, -1.980796
  0.634847, -1.935126
  0.636619, -1.884753
  0.638391, -1.829508
  0.640163, -1.781358
  0.641935, -1.732050
  0.643707, -1.682904
  0.645479, -1.637100
  0.647251, -1.592150
  0.649023, -1.548787
  0.650795, -1.508380
  0.652567, -1.467088
  0.654339, -1.422257
  0.656111, -1.378773
  0.657882, -1.328114
  0.659654, -1.273194
  0.661426, -1.213856
  0.663198, -1.153320
  0.664970, -1.090322
  0.666742, -1.028656
