# Generated by Parinaz Mosaddeghi Amini at University College Dublin, March 2023
# PMF between COM of side chain analogos GAN (Glutamic acid neutral) and Iron (fe-100) slab.
# 
# z(nm), (KJ/mol)
  0.160954, 39.757496
  0.163010, 32.181753
  0.165066, 24.788321
  0.167122, 17.655334
  0.169178, 10.855395
  0.171234,  4.441063
  0.173290, -1.542011
  0.175346, -7.072463
  0.177401,-12.146133
  0.179457,-16.773340
  0.181513,-20.977240
  0.183569,-24.790703
  0.185625,-28.246310
  0.187681,-31.372742
  0.189737,-34.200109
  0.191792,-36.755731
  0.193848,-39.067380
  0.195904,-41.156022
  0.197960,-43.043599
  0.200016,-44.749190
  0.202072,-46.281376
  0.204128,-47.652221
  0.206183,-48.873800
  0.208239,-49.961128
  0.210295,-50.928615
  0.212351,-51.796062
  0.214407,-52.569703
  0.216463,-53.245797
  0.218519,-53.801640
  0.220574,-54.206502
  0.222630,-54.423243
  0.224686,-54.422591
  0.226742,-54.198986
  0.228798,-53.772103
  0.230854,-53.191476
  0.232910,-52.515577
  0.234965,-51.803702
  0.237021,-51.106262
  0.239077,-50.448915
  0.241133,-49.821334
  0.243189,-49.216589
  0.245245,-48.602545
  0.247301,-47.963687
  0.249356,-47.292357
  0.251412,-46.599063
  0.253468,-45.905646
  0.255524,-45.221731
  0.257580,-44.558654
  0.259636,-43.903032
  0.261692,-43.247614
  0.263747,-42.575206
  0.265803,-41.869220
  0.267859,-41.111345
  0.269915,-40.304151
  0.271971,-39.448053
  0.274027,-38.560313
  0.276083,-37.647731
  0.278138,-36.728211
  0.280194,-35.807602
  0.282250,-34.898242
  0.284306,-33.999585
  0.286362,-33.118605
  0.288418,-32.261666
  0.290474,-31.432060
  0.292529,-30.629628
  0.294585,-29.859061
  0.296641,-29.131102
  0.298697,-28.447674
  0.300753,-27.806150
  0.302809,-27.198849
  0.304865,-26.621411
  0.306920,-26.063585
  0.308976,-25.525825
  0.311032,-24.999692
  0.313088,-24.472834
  0.315144,-23.942856
  0.317200,-23.411783
  0.319256,-22.881242
  0.321311,-22.360236
  0.323367,-21.843722
  0.325423,-21.347098
  0.327479,-20.874270
  0.329535,-20.434901
  0.331591,-20.036698
  0.333647,-19.685241
  0.335702,-19.373583
  0.337758,-19.106955
  0.339814,-18.880763
  0.341870,-18.688448
  0.343926,-18.525792
  0.345982,-18.372174
  0.348038,-18.211559
  0.350093,-18.042936
  0.352149,-17.840809
  0.354205,-17.594728
  0.356261,-17.307719
  0.358317,-16.977354
  0.360373,-16.607883
  0.362429,-16.213235
  0.364484,-15.801027
  0.366540,-15.374780
  0.368596,-14.944338
  0.370652,-14.504666
  0.372708,-14.056445
  0.374764,-13.602612
  0.376820,-13.140604
  0.378875,-12.677317
  0.380931,-12.220019
  0.382987,-11.770888
  0.385043,-11.342098
  0.387099,-10.944900
  0.389155,-10.581601
  0.391211,-10.266715
  0.393266, -9.999459
  0.395322, -9.775834
  0.397378, -9.597199
  0.399434, -9.453596
  0.401490, -9.338736
  0.403546, -9.238915
  0.405602, -9.149665
  0.407657, -9.056265
  0.409713, -8.955654
  0.411769, -8.843081
  0.413825, -8.715815
