#List of beads to include in UA autogenerated config files, providing the three-letter code, charge and radius to write to config files (Hamaker part).
#BeadID,Charge[e],Radius[nm],mass[Da]
ALA,0,0.31249999999999944,89.09599999999998
ARG,1,0.5250000000000002,175.22
LYS,1,0.3875000000000001,147.20000000000002
HID,0,0.375,155.16200000000003
HIE,0,0.375,155.16200000000003
ASP,-1,0.30999999999999966,132.09800000000004
GLU,-1,0.3299999999999998,146.12400000000002
SER,0,0.2849999999999994,105.09599999999998
THR,0,0.3299999999999997,119.122
ASN,0,0.31749999999999967,132.124
GLN,0,0.405,146.15000000000003
CYS,0,0.2774999999999995,121.15599999999998
GLY,0,0.24499999999999933,75.07
PRO,0,0.3474999999999997,115.13199999999999
VAL,0,0.3649999999999998,117.14799999999998
ILE,0,0.4625000000000001,131.17400000000004
LEU,0,0.385,131.17400000000004
MET,0,0.39,149.20800000000003
PHE,0,0.42250000000000026,165.18800000000007
TYR,0,0.4550000000000003,181.188
TRP,0,0.4975000000000005,204.22600000000003
HIP,1,0.39750000000000013,156.17000000000004
ETA,1,0.17999999999999927,32.068
PHO,-1,0.3774999999999997,125.03799999999997
CHL,1,0.2474999999999995,74.146
DGL,0,0.3700000000000001,180.156
EST,0,0.29249999999999937,74.07799999999999
CYM,-1,0.22749999999999931,47.09400000000001
GAN,0,0.3024999999999994,74.07799999999999
MAN,0,0.3450000000000001,180.156
FUC,0,0.3475,164.15600000000006
BGL,0,0.3325000000000001,180.156
NGL,0,0.4300000000000004,221.21000000000004
NGA,0,0.40500000000000036,221.21000000000004
NC4,1,0.2474999999999995,74.146
MAS,0,0.29249999999999937,74.07799999999999
PRA,0,0.3024999999999994,74.07799999999999
DMP,-1,0.38249999999999973,125.03799999999997
MMM,1,0.17999999999999927,32.068
BTE,0,0.3024999999999994,56.10400000000001
PAS,0,0.31749999999999967,133.106
PGL,0,0.3349999999999998,147.13200000000003
HMA,0,0.31499999999999956,91.0
HMB,0,0.31749999999999956,90.0
HMC,0,0.3549999999999998,103.0
HMD,0,0.3449999999999998,104.0
HFE,0,0.1244104433017111,55.850100000000005
HIS,0.2689414213699952,0.38105118198082494,155.43309295274102
HAF,0.2689414213699952,0.38105118198082494,155.43309295274102
HAS,0.2689414213699952,0.30499999999999944,82.37909295274093
X00,0.0,0.17820021045312,16.042999999999996
X01,1,0.4374999999999999,102.16099999999999
X02,0,0.24499999999999933,59.068
X03,-1,0.24249999999999933,59.044000000000004
X04,0,0.22999999999999932,48.10300000000001
X05,0,0.3074999999999994,73.09499999999998
X06,-1,0.3149999999999994,73.07099999999998
X07,0,0.3074999999999994,82.10599999999998
X08,0,0.2974999999999994,82.10599999999998
X09,0,0.28999999999999937,58.12400000000001
X0A,0,0.25749999999999934,58.12400000000001
X0B,1,0.3599999999999995,74.14699999999998
X0C,0,0.32999999999999946,76.15699999999998
X0D,0,0.3299999999999997,92.14099999999996
X0E,0,0.19249999999999928,32.041999999999994
X0F,0,0.24499999999999933,46.069
X0G,0,0.3925,131.178
X0H,0,0.37499999999999983,108.13999999999999
X0I,0,0.24999999999999933,44.097
X0J,1,0.3124999999999994,83.11399999999998
X0K,1,0.23749999999999938,74.14699999999999
X0L,1,0.18999999999999928,32.066
X0M,-1,0.3624999999999998,125.04139999999997
X0N,0,0.2974999999999994,74.07979999999999
X0O,0,0.42000000000000015,180.1584
X0P,0,0.24749999999999933,42.080999999999996
X0Q,-1,0.22999999999999932,47.095000000000006
X0R,-1,0.3624999999999998,125.04139999999997
X0S,1,0.23749999999999938,74.14699999999999
X0T,0,0.2974999999999994,74.07979999999999
X0U,1,0.3124999999999994,83.11399999999998
X0V,1,0.18999999999999928,32.066
X0W,0,0.27499999999999936,75.07
X0X,0,0.3524999999999998,115.13199999999999
X0Y,0,0.3224999999999994,74.07979999999999
X0Z,0,0.3224999999999994,74.07979999999999
X10,0,0.24499999999999933,60.0528
X11,0,0.4,164.15900000000005
X12,0,0.4725000000000005,221.21140000000003
X13,0,0.3775000000000001,180.1584
X14,0,0.42000000000000015,180.1584
X15,0,0.1999999999999993,30.068
X16,0,0.25499999999999934,44.094
X17,0,0.1974999999999993,28.051999999999996
X18,0,0.24749999999999933,42.077999999999996
X19,0,0.2999999999999994,56.10400000000001
X1A,0,0.3099999999999994,54.08800000000001
X1B,0.0,0.17455112239796236,16.041999999999998
X1C,1,0.3799999999999997,102.16599999999998
X1D,0,0.24999999999999933,59.07
X1E,-1,0.24249999999999933,59.044000000000004
X1F,0,0.22749999999999931,48.10200000000001
X1G,0,0.3224999999999994,73.09599999999998
X1H,-1,0.3174999999999994,73.07
X1I,0,0.30499999999999944,82.10799999999998
X1J,0,0.30499999999999944,82.10799999999998
X1K,0,0.29249999999999937,58.12000000000002
X1L,0,0.25999999999999934,58.12000000000002
X1M,1,0.30749999999999955,74.146
X1N,0,0.31999999999999945,76.15399999999998
X1O,0,0.3299999999999997,92.13399999999997
X1P,0,0.18749999999999928,32.041999999999994
X1Q,0,0.24749999999999933,46.068000000000005
X1R,0,0.395,131.17200000000003
X1S,0,0.3699999999999997,108.134
X1T,0,0.25499999999999934,44.094
X1U,1,0.30499999999999944,83.11599999999997
X1V,0,0.2174999999999993,42.077999999999996
X1W,1,0.30499999999999944,83.11599999999997
X1X,0,0.26999999999999935,75.067
X1Y,0,0.3549999999999997,115.13279999999999
X1Z,0,0.24999999999999933,60.05199999999999
X20,0,0.27999999999999936,75.11199999999997
X21,0,0.24999999999999933,59.07
X22,0,0.28499999999999936,73.09599999999998
X23,1,0.1414992676455027,18.041999999999998
X24,0,0.31749999999999945,89.09599999999998
X25,-1,0.2074999999999993,60.036
X26,0,0.2174999999999993,61.044000000000004
X27,0,0.3049999999999994,91.06999999999998
X28,0,0.30999999999999944,89.09599999999998
X29,0,0.31249999999999944,89.09599999999998
X2A,0,0.2149999999999993,45.044000000000004
X2B,0,0.24999999999999933,75.07
X2C,0,0.27999999999999936,89.05399999999999
X2D,0,0.31499999999999945,89.09599999999998
X2E,0,0.24249999999999938,75.11199999999997
