#List of beads to include in UA autogenerated config files, providing the three-letter code, charge and radius to write to config files (Hamaker part).
#BeadID,Charge[e],Radius[nm],mass[Da]
X2F,0,0.2149999999999993,60.062
X2G,0,0.28499999999999936,75.07
X2H,0,0.3374999999999996,97.11599999999997
X2I,0,0.25999999999999934,76.062
X2J,0,0.22749999999999931,47.06
X2K,0,0.25999999999999934,75.07999999999998
X2L,0,0.3499999999999995,89.09599999999998
X2M,0,0.31249999999999944,89.09599999999998
X2N,0,0.27749999999999936,74.08799999999998
X2O,0,0.28749999999999937,73.09599999999998
X2P,0,0.24749999999999933,45.044000000000004
X2Q,0,0.23749999999999932,61.044000000000004
X2R,0,0.3224999999999994,73.09599999999998
X2S,0,0.3149999999999994,71.07999999999998
X2T,0,0.3199999999999994,93.512
X2U,0,0.2974999999999994,73.09599999999999
X2V,0,0.3149999999999994,75.07
X2W,0,0.31249999999999944,88.11399999999998
X2X,0,0.30499999999999944,84.082
X2Y,0,0.31999999999999945,95.09999999999998
X2Z,0,0.26999999999999935,71.07999999999998
X30,0,0.2874999999999994,86.09799999999998
X31,0,0.32499999999999946,95.09999999999998
X32,0,0.2974999999999994,75.11199999999997
X33,0,0.25999999999999934,69.06400000000001
X34,0,0.25499999999999934,69.064
X35,0,0.3524999999999997,97.11599999999997
X36,0,0.30999999999999944,85.064
X37,0,0.2899999999999994,97.07399999999998
X38,0,0.28749999999999953,99.08999999999997
X39,0,0.2949999999999994,74.08799999999998
X3A,0,0.29999999999999943,88.11399999999998
X3B,0,0.2799999999999994,85.10599999999998
X3C,0,0.28499999999999936,57.05400000000001
X3D,0,0.29999999999999943,95.09999999999998
X3E,0,0.27499999999999936,75.11199999999997
X3F,0,0.2949999999999994,88.082
X3G,0,0.30499999999999966,99.132
X3H,0,0.32749999999999957,95.09999999999998
X3I,0,0.31499999999999967,99.132
X3J,0,0.3374999999999996,95.09999999999998
X3K,0,0.28999999999999937,74.08799999999998
X3L,0,0.3574999999999997,99.132
X3M,0,0.29499999999999943,96.09199999999998
X3N,0,0.3324999999999996,89.13799999999999
X3O,0,0.32749999999999957,96.09199999999998
X3P,0,0.28249999999999936,59.07
X3Q,0,0.30749999999999955,87.12199999999997
X3R,0,0.31999999999999945,96.09199999999998
X3S,0,0.25249999999999934,71.07999999999998
X3T,0,0.32499999999999946,96.09199999999998
X3U,0,0.30749999999999955,87.12199999999997
X3V,0,0.24749999999999933,74.08799999999998
X3W,0,0.31249999999999944,89.09599999999998
X3X,0,0.30999999999999944,96.09199999999998
X3Y,0,0.2999999999999994,90.09799999999998
X3Z,0,0.27749999999999936,87.07999999999998
X40,0,0.31249999999999956,96.09199999999998
X41,0,0.28499999999999936,75.11199999999997
X42,0,0.22999999999999932,61.086000000000006
X43,0,0.30749999999999955,89.13799999999999
X44,0,0.2799999999999994,87.12199999999997
X45,0,0.2974999999999994,75.11199999999997
X46,0,0.29749999999999954,89.13799999999999
X47,0,0.3374999999999996,96.09199999999998
X48,0,0.25499999999999934,70.05599999999998
X49,0,0.34249999999999947,90.08799999999998
X4A,0,0.29249999999999937,59.07
X4B,0,0.2949999999999994,84.082
X4C,0,0.3499999999999996,98.10799999999998
X4D,0,0.2949999999999994,85.064
X4E,0,0.2974999999999994,87.07999999999998
X4F,0,0.31499999999999945,99.09999999999998
X4G,0,0.2674999999999994,91.11199999999997
X4H,0,0.26499999999999935,95.11999999999998
X4I,0,0.3499999999999996,98.10799999999998
X4J,0,0.2774999999999994,90.13
X4K,0,0.3474999999999996,99.08999999999997
X4L,0,0.2674999999999994,91.11199999999997
X4M,0,0.3074999999999994,74.08799999999998
X4N,0,0.4250000000000004,194.2
X4O,0,0.15763972697784376,18.0
X4P,0,0.15522855995419538,18.0
X4Q,0,0.18499999999999928,30.025999999999996
X4R,0,0.4325000000000003,180.17400000000004
X4S,0,0.2824999999999994,78.10799999999998
X4T,0,0.26749999999999935,68.072
X4U,0,0.26749999999999935,67.08999999999999
X4V,1,0.3374999999999997,104.17339999999997
X4W,0,0.4725000000000005,221.21140000000003
X4X,1,0.3174999999999998,104.17199999999998
X4Y,0,0.32249999999999956,72.146
X4Z,0,0.31999999999999956,111.10999999999997
X50,0,0.405,151.14
X51,0,0.36999999999999983,135.14000000000004
X52,0,0.3549999999999998,126.11799999999998
X53,0,0.31249999999999956,112.09199999999998
X54,0,0.5875000000000004,215.69200000000006
X55,0,0.39000000000000035,227.172
X56,-2,0.38500000000000045,225.15600000000006
X57,0,0.40750000000000003,170.11800000000002
X58,-1,0.3825,169.10999999999999
X59,0,0.3775000000000001,180.156
X5A,0,0.30499999999999955,89.09599999999998
X5B,0,0.2774999999999995,105.09599999999998
X5C,0,0.41750000000000015,155.16200000000003
X5D,0,0.3774999999999997,112.54999999999998
X5E,0,0.38249999999999984,106.16
X5F,0,0.38249999999999984,106.16
X5G,0,0.4499999999999999,157.00000000000003
X5H,0,0.41250000000000003,120.18599999999998
X5I,0,0.4199999999999999,126.57599999999998
X5J,0,0.32749999999999957,94.10799999999998
X5K,0,0.3699999999999997,103.11999999999998
X5L,0,0.32499999999999957,112.09999999999998
X5M,0,0.3524999999999997,108.134
X5N,0,0.5000000000000001,204.00000000000003
X5O,0,0.39749999999999985,120.14399999999999
X5P,0,0.3499999999999997,108.134
X5Q,0,0.43000000000000005,136.144
X5R,0,0.5000000000000001,142.57600000000002
X5S,0,0.3925,122.15999999999998
X5T,0,0.39,122.15999999999998
X5U,0,0.4625000000000001,122.15999999999998
X5V,0,0.385,122.15999999999998
X5W,0,0.4775000000000003,150.17000000000004
X5X,0,0.44000000000000017,150.17000000000004
X5Y,0,0.395,128.164
X5Z,0,0.3474999999999997,128.54999999999998
X60,0,0.44000000000000006,137.136
X61,0,0.44250000000000017,154.586
X62,0,0.41249999999999987,173.00000000000006
X63,0,0.40250000000000014,142.19000000000005
X64,0,0.4775000000000003,154.20000000000005
X65,0,0.38249999999999973,128.54999999999998
X66,0,0.38999999999999985,146.99200000000005
X67,0,0.3574999999999998,146.99200000000005
X68,0,0.37249999999999983,146.99200000000005
X69,0,0.30000000000000004,236.72000000000003
X6A,0,0.37999999999999984,123.10999999999997
X6B,0,0.3900000000000001,138.202
X6C,0,0.355,162.99200000000005
X6D,0,0.3925,181.43400000000005
X6E,0,0.4475000000000002,162.60600000000002
X6F,0,0.42250000000000026,182.138
X6G,0,0.5875000000000002,182.22
X6H,0,0.31249999999999944,89.09599999999998
X6I,0,0.31749999999999967,132.124
X6J,0,0.2774999999999995,121.15599999999998
X6K,0,0.405,146.15000000000003
X6L,0,0.4625000000000001,131.17400000000004
X6M,0,0.385,131.17400000000004
X6N,0,0.39,149.20800000000003
X6O,0,0.42250000000000026,165.18800000000007
X6P,0,0.2849999999999994,105.09599999999998
X6Q,0,0.3299999999999997,119.122
X6R,0,0.4975000000000005,204.22600000000003
X6S,0,0.4550000000000003,181.188
X6T,0,0.3649999999999998,117.14799999999998
X6U,1,0.5250000000000002,175.22
X6V,-1,0.30999999999999966,132.09800000000004
X6W,0,0.375,155.16200000000003
X6X,0,0.375,155.16200000000003
X6Y,-1,0.3299999999999998,146.12400000000002
X6Z,1,0.3875000000000001,147.20000000000002
X70,1,0.39750000000000013,156.17000000000004
X71,0,0.31749999999999967,133.106
X72,0,0.3349999999999998,147.13200000000003
X73,0,0.3749999999999997,108.134
X74,0,0.41750000000000004,138.16000000000003
X75,0,0.4700000000000003,166.17000000000007
X76,0,0.4650000000000003,168.18599999999998
X77,0,0.5025000000000004,196.196
X78,0,0.37999999999999984,124.134
X79,0,0.43500000000000016,154.16000000000005
X7A,0,0.3874999999999995,86.08799999999998
X7B,0,0.19241716246036927,17.034
X7C,0,0.18499999999999928,46.026
X7D,0,0.156076138759401,20.008
X7E,0,0.18749999999999928,31.059999999999995
X7F,0,0.2874999999999994,79.09999999999998
X7G,0,0.2099999999999993,81.99399999999999
X7H,0,0.26249999999999934,72.10399999999998
X7I,0,0.17336688939061737,36.458000000000006
X7J,0,0.28749999999999953,86.13
X7K,0,0.22999999999999932,44.05200000000001
X7L,0,0.29249999999999954,85.148
X7M,0,0.24749999999999933,45.086
X7N,0,0.18749999999999928,70.01799999999999
X7O,0,0.26249999999999934,68.082
X7P,0,0.2574999999999994,71.12199999999997
X7Q,0,0.28749999999999964,84.15599999999999
X7R,0,0.28249999999999936,80.09199999999998
X7S,0,0.2249999999999993,97.994
X7T,0,0.2799999999999994,86.14
X7U,0,0.2149999999999993,81.09399999999998
X7V,0,0.18999999999999928,66.076
X7W,0,0.24249999999999933,45.086
X7X,0,0.37999999999999984,117.146
X7Y,0,0.19499999999999929,27.028
X7Z,0,0.28499999999999936,85.124
X80,0,0.2999999999999994,58.078
X81,0,0.22749999999999931,62.068
X82,0,0.2974999999999994,84.132
X83,0,0.17999999999999927,80.908
X84,0,0.25749999999999934,68.082
X85,0,0.27249999999999935,60.05199999999999
X86,0,0.36999999999999983,118.13799999999998
X87,0,0.17462752785015268,34.07600000000001
X88,0,0.3875,129.156
X89,0,0.2949999999999994,59.112000000000016
X8A,0,0.17249999999999927,47.018
X8B,0,0.25749999999999934,80.10199999999999
X8C,0,0.2049999999999993,82.076
X8D,0,0.2624999999999994,70.12999999999997
X8E,0,0.29499999999999943,85.10599999999998
X8F,0,0.28999999999999937,60.09400000000001
X8G,0,0.25749999999999934,69.074
X8H,0,0.25749999999999934,60.09400000000001
X8I,0,0.19499999999999929,44.062000000000005
X8J,0,0.3624999999999995,73.09599999999998
X8K,0,0.3875,129.156
X8L,0,0.23749999999999932,46.068000000000005
X8M,0,0.37249999999999983,119.12999999999998
X8N,0,0.2249999999999993,60.05199999999999
X8O,0,0.2049999999999993,26.035999999999998
