000-O,X4Q
000-OA,X1P
000-OXT,X4O
002-O2,X4O
002-C9,X1G
002-C14,X1O
002-C5,X3P
002-C3,X1K
002-C6,X3P
002-C13,X1L
002-O1,X4Q
002-O5,X4O
005-C,X24
005-CD,X1O
005-OB2,X4O
006-C42,X1O
006-C44,X1B
006-C22,X5H
006-O20,X4O
006-C48,X1D
006-O41,X4O
006-N50,X2O
006-C55,X3P
006-C36,X5S
006-S50,X1F
006-C52,X1B
006-C53,X1B
00B-CA,X6J
00B-CD,X1B
00B-CG1,X1B
00B-CG2,X1B
00E-C,X2D
00E-OZ,X1P
00E-CD2,X15
00M-C,X24
00M-O60,X4O
00M-C62,X1O
00X-C34,X4S
00X-C35,X42
00X-C39,X1B
010-C6,X5M
01F-O,X4Q
01F-C1,X1Q
01F-OXT,X4O
01N-C1,X2D
01N-O,X4Q
01N-OXT,X4O
01N-CG,X1L
01N-CZ,X16
01Y-C14,X1Z
01Y-C44,X1Q
01Y-C47,X16
01Z-C14,X1Z
01Z-C44,X1Q
01Z-C46,X1K
021-C15,X2D
021-C20,X1K
023-O12,X4O
023-C11,X3P
023-C8,X1B
023-C14,X2U
023-C15,X1L
023-C2,X1G
023-C17,X5E
02A-CA,X2D
02A-C27,X1B
02G-S,X1F
02G-C,X1Z
02G-O2,X4O
02G-C5,X18
02G-CA,X1B
02K-C,X29
02K-CD,X1K
02L-CA,X6I
02L-C37,X1L
02L-C38,X1B
02Q-C28,GAN
02Q-C33,X1O
02S-O28,X4Q
02S-OXT,X4O
02S-C32,X5J
02S-C37,X1O
02U-C,GAN
02U-C4,X4Y
02U-C8,X19
02U-C12,X1K
02U-C13,X1B
02V-C,X2D
02V-C23,X5J
02V-O1,X4O
02X-C3,GAN
02X-C6,X16
02X-O2,X4Q
02X-O3,X4O
030-O22,X4Q
030-OXT,X4O
030-C24,X1Q
030-C29,X1Q
030-C26,X1Q
030-C31,X1B
037-CBF,VAL
037-C,GLY
037-CG,VAL
03D-C1,X1Q
03D-C4,X1O
03D-O11,X4O
03D-C33,X1L
03D-O19,X4Q
03D-O36,X4O
03D-C23,X1L
03D-C26,X16
03D-C18,X4Y
03D-C17,X1B
03D-C20,X42
03D-C31,X1B
03E-C,X29
03E-CAP,X4Y
03V-C4,X5Y
03V-O1,X4O
03W-C1,X1Q
03W-O2,X4O
03W-O3,X1P
03W-O5,X4O
03Y-CM,X1B
03Y-SG,X1F
03Y-C,GLY
040-O11,X4Q
040-C02,X1O
040-O09,X4Q
040-O10,X4O
040-O05,X4Q
