#Name  kT        Joules        kJ/mol    
ALA    8.198     3.396E-20     20.495    
ARG    9.728     4.029E-20     24.321    
ASN    10.428    4.319E-20     26.071    
ASP    10.660    4.415E-20     26.650    
CYS    10.274    4.255E-20     25.684    
GLN    9.885     4.094E-20     24.712    
GLU    9.493     3.932E-20     23.733    
GLY    10.274    4.255E-20     25.684    
HIS    10.660    4.415E-20     26.650    
ILE    7.176     2.972E-20     17.939    
LEU    7.094     2.938E-20     17.736    
LYS    8.438     3.495E-20     21.095    
MET    9.257     3.834E-20     23.144    
PHE    10.196    4.223E-20     25.490    
PRO    7.931     3.285E-20     19.826    
SER    10.040    4.159E-20     25.101    
THR    8.518     3.528E-20     21.294    
TRP    12.031    4.983E-20     30.076    
TYR    9.179     3.802E-20     22.946    
VAL    7.257     3.006E-20     18.143    
CHL    2.012     8.334E-21     5.030     
PHO    2.762     1.144E-20     6.906     
EST    1.168     4.836E-21     2.919     
