# #Autogenerated fromHID,HIE,HIP at pH: 7.4
# #h[nm],U[kJ/mol]
  0.082000,269.977493
  0.083000,268.532728
  0.084000,267.087962
  0.085000,265.823378
  0.086000,264.558793
  0.087000,263.184157
  0.088000,261.809521
  0.089000,260.423179
  0.090000,259.036837
  0.091000,257.700062
  0.092000,256.363288
  0.093000,255.041289
  0.094000,253.719290
  0.095000,252.380427
  0.096000,251.041564
  0.097000,249.701880
  0.098000,248.362196
  0.099000,247.006786
  0.100000,245.651376
  0.101000,244.274767
  0.102000,242.898158
  0.103000,241.491626
  0.104000,240.085095
  0.105000,238.643545
  0.106000,237.201995
  0.107000,235.723779
  0.108000,234.245564
  0.109000,232.718238
  0.110000,231.190911
  0.111000,229.615392
  0.112000,228.039873
  0.113000,226.408068
  0.114000,224.776264
  0.115000,223.083301
  0.116000,221.390338
  0.117000,219.629144
  0.118000,217.867951
  0.119000,216.033904
  0.120000,214.199857
  0.121000,212.288298
  0.122000,210.376740
  0.123000,208.386803
  0.124000,206.396865
  0.125000,204.334629
  0.126000,202.272393
  0.127000,200.149128
  0.128000,198.025862
  0.129000,195.858595
  0.130000,193.691327
  0.131000,191.500429
  0.132000,189.309531
  0.133000,187.114527
  0.134000,184.919523
  0.135000,182.737548
  0.136000,180.555572
  0.137000,178.399379
  0.138000,176.243186
  0.139000,174.120177
  0.140000,171.997167
  0.141000,169.912848
  0.142000,167.828529
  0.143000,165.781675
  0.144000,163.734821
  0.145000,161.724965
  0.146000,159.715108
  0.147000,157.735893
  0.148000,155.756678
  0.149000,153.808177
  0.150000,151.859676
  0.151000,149.939944
  0.152000,148.020213
  0.153000,146.135137
  0.154000,144.250062
  0.155000,142.397226
  0.156000,140.544390
  0.157000,138.719858
  0.158000,136.895326
  0.159000,135.097569
  0.160000,133.299812
  0.161000,131.530154
  0.162000,129.760496
  0.163000,128.020289
  0.164000,126.280083
  0.165000,124.573812
  0.166000,122.867541
  0.167000,121.194508
  0.168000,119.521474
  0.169000,117.886479
  0.170000,116.251483
  0.171000,114.647073
  0.172000,113.042664
  0.173000,111.464570
  0.174000,109.886476
  0.175000,108.323100
  0.176000,106.759724
  0.177000,105.203443
  0.178000,103.647161
  0.179000,102.088780
  0.180000,100.530399
  0.181000, 98.962828
  0.182000, 97.395257
  0.183000, 95.821685
  0.184000, 94.248113
  0.185000, 92.673903
  0.186000, 91.099693
  0.187000, 89.537081
  0.188000, 87.974470
