#Name  kT        Joules        kJ/mol    
GLY    1.515     6.277E-21     3.789     
ALA    3.039     1.259E-20     7.598     
ARG    3.505     1.452E-20     8.762     
ASN    3.717     1.540E-20     9.294     
ASP    1.760     7.291E-21     4.400     
CYS    3.670     1.520E-20     9.176     
GLN    3.552     1.471E-20     8.881     
GLU    3.434     1.422E-20     8.584     
HID    3.112     1.289E-20     7.781     
HIE    3.112     1.289E-20     7.781     
HIP    3.112     1.289E-20     7.781     
HIS    3.112     1.289E-20     7.781     
ILE    2.728     1.130E-20     6.819     
LEU    2.703     1.119E-20     6.757     
LYS    3.112     1.289E-20     7.781     
MET    3.362     1.392E-20     8.405     
PHE    3.647     1.511E-20     9.117     
PRO    2.958     1.225E-20     7.395     
SER    3.600     1.491E-20     8.999     
THR    3.137     1.299E-20     7.842     
TRP    4.203     1.741E-20     10.506    
TYR    3.338     1.383E-20     8.345     
VAL    2.752     1.140E-20     6.881     
CYM    3.670     1.520E-20     9.176     
PAS    1.760     7.291E-21     4.400     
PGL    3.434     1.422E-20     8.584     
BGL    1.985     8.222E-21     4.962     
MAN    2.769     1.147E-20     6.922     
FUC    2.933     1.215E-20     7.333     
NGL    2.794     1.157E-20     6.984     
NGA    2.511     1.040E-20     6.278     
NC4    1.143     4.735E-21     2.858     
MAS    0.883     3.656E-21     2.207     
DMP    1.374     5.692E-21     3.436     
MMM    1.725     7.146E-21     4.313     
BTE    1.899     7.865E-21     4.747     
CHO    1.143     4.735E-21     2.858     
CHL    2.368     9.809E-21     5.921     
