# PEG_GLUP
# Upscaled from ../surface/PEG/GLUP.dat to radius: 34.89955667698373 bead probs: 1.0
# surf-centre-dist[nm],U[kJ/mol]
  0.000000, 35.415444
  0.002000, 35.199802
  0.004000, 34.963791
  0.006000, 34.721920
  0.008000, 34.501427
  0.010000, 34.275742
  0.012000, 34.053661
  0.014000, 33.829541
  0.016000, 33.617578
  0.018000, 33.397715
  0.020000, 33.178623
  0.022000, 32.963040
  0.024000, 32.744064
  0.026000, 32.523465
  0.028000, 32.305934
  0.030000, 32.092132
  0.032000, 31.888147
  0.034000, 31.694720
  0.036000, 31.496726
  0.038000, 31.291822
  0.040000, 31.084909
  0.042000, 30.884238
  0.044000, 30.687057
  0.046000, 30.487181
  0.048000, 30.290465
  0.050000, 30.097995
  0.052000, 29.906995
  0.054000, 29.716411
  0.056000, 29.531395
  0.058000, 29.344905
  0.060000, 29.167990
  0.062000, 29.003939
  0.064000, 28.836494
  0.066000, 28.670506
  0.068000, 28.497892
  0.070000, 28.321130
  0.072000, 28.152126
  0.074000, 27.982549
  0.076000, 27.809402
  0.078000, 27.638691
  0.080000, 27.475624
  0.082000, 27.315794
  0.084000, 27.158447
  0.086000, 27.009850
  0.088000, 26.864653
  0.090000, 26.714364
  0.092000, 26.558650
  0.094000, 26.409131
  0.096000, 26.253578
  0.098000, 26.101305
  0.100000, 25.959118
  0.102000, 25.816061
  0.104000, 25.672573
  0.106000, 25.529512
  0.108000, 25.383739
  0.110000, 25.239312
  0.112000, 25.090682
  0.114000, 24.942394
  0.116000, 24.792149
  0.118000, 24.638125
  0.120000, 24.483873
  0.122000, 24.332520
  0.124000, 24.173293
  0.126000, 24.006039
  0.128000, 23.833990
  0.130000, 23.653830
  0.132000, 23.461883
  0.134000, 23.258637
  0.136000, 23.049058
  0.138000, 22.834933
  0.140000, 22.610593
  0.142000, 22.374145
  0.144000, 22.122473
  0.146000, 21.863497
  0.148000, 21.593957
  0.150000, 21.313555
  0.152000, 21.018729
  0.154000, 20.711108
  0.156000, 20.393237
  0.158000, 20.071261
  0.160000, 19.744935
  0.162000, 19.410096
  0.164000, 19.076796
  0.166000, 18.749694
  0.168000, 18.431516
  0.170000, 18.120130
  0.172000, 17.814837
  0.174000, 17.512862
  0.176000, 17.217702
  0.178000, 16.932877
  0.180000, 16.656900
  0.182000, 16.386817
  0.184000, 16.129734
  0.186000, 15.879940
  0.188000, 15.640573
  0.190000, 15.405451
  0.192000, 15.181394
  0.194000, 14.963101
  0.196000, 14.752620
  0.198000, 14.551728
  0.200000, 14.350263
  0.202000, 14.160185
  0.204000, 13.983030
  0.206000, 13.809056
  0.208000, 13.636668
  0.210000, 13.466533
  0.212000, 13.300527
  0.214000, 13.138533
  0.216000, 12.978458
  0.218000, 12.822125
  0.220000, 12.671225
  0.222000, 12.521709
  0.224000, 12.370584
  0.226000, 12.214844
  0.228000, 12.062584
  0.230000, 11.914771
  0.232000, 11.774755
  0.234000, 11.636595
  0.236000, 11.498513
  0.238000, 11.359956
  0.240000, 11.226119
  0.242000, 11.090747
  0.244000, 10.960306
  0.246000, 10.828057
  0.248000, 10.698035
  0.250000, 10.575345
  0.252000, 10.449649
  0.254000, 10.328314
  0.256000, 10.205090
  0.258000, 10.082518
  0.260000,  9.956593
  0.262000,  9.828946
  0.264000,  9.693292
  0.266000,  9.551286
  0.268000,  9.415049
  0.270000,  9.279480
  0.272000,  9.146298
  0.274000,  9.012652
  0.276000,  8.878957
  0.278000,  8.736826
  0.280000,  8.593537
  0.282000,  8.442147
  0.284000,  8.282370
  0.286000,  8.112244
  0.288000,  7.930383
  0.290000,  7.741917
  0.292000,  7.546209
  0.294000,  7.345113
  0.296000,  7.136853
  0.298000,  6.918832
  0.300000,  6.689797
  0.302000,  6.453208
  0.304000,  6.210730
  0.306000,  5.963535
  0.308000,  5.711322
  0.310000,  5.458920
  0.312000,  5.211218
  0.314000,  4.963175
  0.316000,  4.715928
  0.318000,  4.462394
  0.320000,  4.205376
  0.322000,  3.945890
  0.324000,  3.695183
  0.326000,  3.447817
  0.328000,  3.200312
  0.330000,  2.959165
  0.332000,  2.724415
  0.334000,  2.491098
  0.336000,  2.263121
  0.338000,  2.031581
  0.340000,  1.797009
  0.342000,  1.571103
  0.344000,  1.355298
  0.346000,  1.142656
  0.348000,  0.933360
  0.350000,  0.732084
  0.352000,  0.533442
  0.354000,  0.337728
  0.356000,  0.150598
  0.358000, -0.034997
  0.360000, -0.219189
  0.362000, -0.400663
  0.364000, -0.575406
  0.366000, -0.744048
  0.368000, -0.907025
  0.370000, -1.064982
  0.372000, -1.220891
  0.374000, -1.372869
  0.376000, -1.521267
  0.378000, -1.664692
  0.380000, -1.808748
  0.382000, -1.948004
  0.384000, -2.083164
  0.386000, -2.218073
  0.388000, -2.351490
  0.390000, -2.478891
  0.392000, -2.600446
  0.394000, -2.717607
  0.396000, -2.826061
  0.398000, -2.931728
  0.400000, -3.034505
  0.402000, -3.138024
  0.404000, -3.238860
  0.406000, -3.333316
  0.408000, -3.422970
  0.410000, -3.511736
  0.412000, -3.601196
  0.414000, -3.682513
  0.416000, -3.762249
  0.418000, -3.838197
  0.420000, -3.910078
  0.422000, -3.977482
  0.424000, -4.043974
  0.426000, -4.109870
  0.428000, -4.168902
  0.430000, -4.222053
  0.432000, -4.274415
  0.434000, -4.321583
  0.436000, -4.364493
  0.438000, -4.410073
  0.440000, -4.450614
  0.442000, -4.487776
  0.444000, -4.520883
  0.446000, -4.549291
  0.448000, -4.580776
  0.450000, -4.607301
  0.452000, -4.631800
  0.454000, -4.652789
  0.456000, -4.671454
  0.458000, -4.688616
  0.460000, -4.702564
  0.462000, -4.712044
  0.464000, -4.719517
  0.466000, -4.726711
  0.468000, -4.732203
  0.470000, -4.735545
  0.472000, -4.736783
  0.474000, -4.732658
  0.476000, -4.728449
  0.478000, -4.724189
  0.480000, -4.717975
  0.482000, -4.708020
  0.484000, -4.695026
  0.486000, -4.681151
  0.488000, -4.667203
  0.490000, -4.653460
  0.492000, -4.638950
  0.494000, -4.621351
  0.496000, -4.602961
  0.498000, -4.581409
  0.500000, -4.556262
  0.502000, -4.528043
  0.504000, -4.497238
  0.506000, -4.468394
  0.508000, -4.437213
  0.510000, -4.408660
  0.512000, -4.377434
  0.514000, -4.346119
  0.516000, -4.313412
  0.518000, -4.278458
  0.520000, -4.241287
  0.522000, -4.201720
  0.524000, -4.164622
  0.526000, -4.126628
  0.528000, -4.087836
  0.530000, -4.047271
  0.532000, -4.005145
  0.534000, -3.964132
  0.536000, -3.924577
  0.538000, -3.879989
  0.540000, -3.832604
  0.542000, -3.785174
  0.544000, -3.737590
  0.546000, -3.690824
  0.548000, -3.641603
  0.550000, -3.591753
  0.552000, -3.544269
  0.554000, -3.491856
  0.556000, -3.438397
  0.558000, -3.386509
  0.560000, -3.337718
  0.562000, -3.288721
  0.564000, -3.240071
  0.566000, -3.186216
  0.568000, -3.133560
  0.570000, -3.082989
  0.572000, -3.036735
  0.574000, -2.990316
  0.576000, -2.946482
  0.578000, -2.901256
  0.580000, -2.853298
  0.582000, -2.805167
  0.584000, -2.756139
  0.586000, -2.707654
  0.588000, -2.660252
  0.590000, -2.611807
  0.592000, -2.565275
  0.594000, -2.516931
  0.596000, -2.471708
  0.598000, -2.426086
  0.600000, -2.387116
  0.602000, -2.347648
  0.604000, -2.306422
  0.606000, -2.263427
  0.608000, -2.219343
  0.610000, -2.173624
  0.612000, -2.129974
  0.614000, -2.084160
  0.616000, -2.037941
  0.618000, -1.993135
  0.620000, -1.950578
  0.622000, -1.911333
  0.624000, -1.873317
  0.626000, -1.832249
  0.628000, -1.791127
  0.630000, -1.753282
  0.632000, -1.714561
  0.634000, -1.681421
  0.636000, -1.650763
  0.638000, -1.619672
  0.640000, -1.591201
  0.642000, -1.563074
  0.644000, -1.531608
  0.646000, -1.499494
  0.648000, -1.464311
  0.650000, -1.432057
  0.652000, -1.403252
  0.654000, -1.374730
  0.656000, -1.349894
  0.658000, -1.326558
  0.660000, -1.299860
  0.662000, -1.274541
  0.664000, -1.250148
  0.666000, -1.223601
  0.668000, -1.194237
  0.670000, -1.165538
  0.672000, -1.140389
  0.674000, -1.119312
  0.676000, -1.102392
  0.678000, -1.080308
  0.680000, -1.056442
  0.682000, -1.033616
  0.684000, -1.011005
  0.686000, -0.990118
  0.688000, -0.972110
  0.690000, -0.954895
  0.692000, -0.938564
  0.694000, -0.927331
  0.696000, -0.918996
  0.698000, -0.910000
  0.700000, -0.898710
  0.702000, -0.886761
  0.704000, -0.873904
  0.706000, -0.863425
  0.708000, -0.853981
  0.710000, -0.844368
  0.712000, -0.836116
  0.714000, -0.831627
  0.716000, -0.829916
  0.718000, -0.825540
  0.720000, -0.823699
  0.722000, -0.822501
  0.724000, -0.822305
  0.726000, -0.820391
  0.728000, -0.820044
  0.730000, -0.818333
  0.732000, -0.814952
  0.734000, -0.811271
  0.736000, -0.810212
  0.738000, -0.811899
  0.740000, -0.810303
  0.742000, -0.809298
  0.744000, -0.808473
  0.746000, -0.809840
  0.748000, -0.811723
  0.750000, -0.810581
  0.752000, -0.810294
  0.754000, -0.810712
  0.756000, -0.809833
  0.758000, -0.807894
  0.760000, -0.809262
  0.762000, -0.810933
  0.764000, -0.809198
  0.766000, -0.808046
  0.768000, -0.805428
  0.770000, -0.800927
  0.772000, -0.799777
  0.774000, -0.802156
  0.776000, -0.805442
  0.778000, -0.807746
  0.780000, -0.806537
  0.782000, -0.807778
  0.784000, -0.809811
  0.786000, -0.810122
  0.788000, -0.809487
  0.790000, -0.812434
  0.792000, -0.811434
  0.794000, -0.811482
  0.796000, -0.810768
  0.798000, -0.808732
  0.800000, -0.808817
  0.802000, -0.809058
  0.804000, -0.807691
  0.806000, -0.809146
  0.808000, -0.808297
  0.810000, -0.810009
  0.812000, -0.812332
  0.814000, -0.812927
  0.816000, -0.811383
  0.818000, -0.809848
  0.820000, -0.808930
  0.822000, -0.808464
  0.824000, -0.809092
  0.826000, -0.811142
  0.828000, -0.811425
  0.830000, -0.812568
  0.832000, -0.811872
  0.834000, -0.809029
  0.836000, -0.806366
  0.838000, -0.801650
  0.840000, -0.797930
  0.842000, -0.794763
  0.844000, -0.792264
  0.846000, -0.792134
  0.848000, -0.791976
  0.850000, -0.791463
  0.852000, -0.790145
  0.854000, -0.787004
  0.856000, -0.782480
  0.858000, -0.778618
  0.860000, -0.775827
  0.862000, -0.772163
  0.864000, -0.768158
  0.866000, -0.764139
  0.868000, -0.759892
  0.870000, -0.755187
  0.872000, -0.748983
  0.874000, -0.741696
  0.876000, -0.733997
  0.878000, -0.726321
  0.880000, -0.719448
  0.882000, -0.711985
  0.884000, -0.703785
  0.886000, -0.696074
  0.888000, -0.686366
  0.890000, -0.675557
  0.892000, -0.667615
  0.894000, -0.660525
  0.896000, -0.653406
  0.898000, -0.645626
  0.900000, -0.635793
  0.902000, -0.623810
  0.904000, -0.611307
  0.906000, -0.601343
  0.908000, -0.592587
  0.910000, -0.586588
  0.912000, -0.579376
  0.914000, -0.570026
  0.916000, -0.559859
  0.918000, -0.550078
  0.920000, -0.539478
  0.922000, -0.529587
  0.924000, -0.520448
  0.926000, -0.511186
  0.928000, -0.501234
  0.930000, -0.492727
  0.932000, -0.483394
  0.934000, -0.475427
  0.936000, -0.470493
  0.938000, -0.464612
  0.940000, -0.456625
  0.942000, -0.448177
  0.944000, -0.436745
