# PEG_ASPP
# Upscaled from ../surface/PEG/ASPP.dat to radius: 34.89955667698373 bead probs: 1.0
# surf-centre-dist[nm],U[kJ/mol]
  0.000000, 26.087034
  0.002000, 25.899861
  0.004000, 25.720903
  0.006000, 25.537583
  0.008000, 25.348521
  0.010000, 25.172458
  0.012000, 24.995660
  0.014000, 24.819584
  0.016000, 24.649036
  0.018000, 24.476860
  0.020000, 24.312592
  0.022000, 24.152851
  0.024000, 23.981600
  0.026000, 23.821307
  0.028000, 23.667656
  0.030000, 23.513336
  0.032000, 23.348781
  0.034000, 23.177727
  0.036000, 23.011419
  0.038000, 22.844471
  0.040000, 22.684334
  0.042000, 22.525375
  0.044000, 22.372261
  0.046000, 22.228755
  0.048000, 22.094067
  0.050000, 21.962989
  0.052000, 21.837368
  0.054000, 21.712673
  0.056000, 21.581862
  0.058000, 21.447322
  0.060000, 21.312648
  0.062000, 21.183197
  0.064000, 21.051482
  0.066000, 20.915273
  0.068000, 20.786397
  0.070000, 20.661548
  0.072000, 20.536907
  0.074000, 20.407313
  0.076000, 20.274757
  0.078000, 20.149020
  0.080000, 20.018491
  0.082000, 19.889260
  0.084000, 19.751915
  0.086000, 19.622559
  0.088000, 19.500855
  0.090000, 19.383471
  0.092000, 19.260916
  0.094000, 19.144985
  0.096000, 19.028548
  0.098000, 18.910882
  0.100000, 18.795923
  0.102000, 18.677754
  0.104000, 18.560053
  0.106000, 18.439991
  0.108000, 18.310632
  0.110000, 18.178525
  0.112000, 18.039978
  0.114000, 17.887603
  0.116000, 17.729710
  0.118000, 17.563464
  0.120000, 17.382011
  0.122000, 17.187904
  0.124000, 16.982558
  0.126000, 16.766771
  0.128000, 16.538932
  0.130000, 16.301944
  0.132000, 16.060612
  0.134000, 15.813082
  0.136000, 15.550905
  0.138000, 15.282398
  0.140000, 15.012457
  0.142000, 14.742187
  0.144000, 14.471036
  0.146000, 14.194766
  0.148000, 13.914498
  0.150000, 13.631797
  0.152000, 13.347170
  0.154000, 13.056799
  0.156000, 12.766535
  0.158000, 12.479217
  0.160000, 12.196682
  0.162000, 11.918729
  0.164000, 11.648075
  0.166000, 11.385800
  0.168000, 11.130706
  0.170000, 10.886623
  0.172000, 10.646976
  0.174000, 10.423461
  0.176000, 10.209346
  0.178000, 10.004228
  0.180000,  9.804198
  0.182000,  9.607763
  0.184000,  9.416114
  0.186000,  9.233401
  0.188000,  9.060370
  0.190000,  8.893505
  0.192000,  8.734755
  0.194000,  8.583412
  0.196000,  8.440619
  0.198000,  8.301747
  0.200000,  8.172351
  0.202000,  8.038891
  0.204000,  7.907284
  0.206000,  7.781821
  0.208000,  7.659615
  0.210000,  7.541296
  0.212000,  7.424495
  0.214000,  7.306299
  0.216000,  7.195170
  0.218000,  7.086684
  0.220000,  6.981367
  0.222000,  6.883491
  0.224000,  6.782109
  0.226000,  6.682290
