# PEG_ASN
# Upscaled from ../surface/PEG/ASN.dat to radius: 34.89955667698373 bead probs: 1.0
# surf-centre-dist[nm],U[kJ/mol]
  0.000000, 38.726704
  0.002000, 38.491952
  0.004000, 38.253047
  0.006000, 38.027737
  0.008000, 37.800717
  0.010000, 37.583622
  0.012000, 37.357625
  0.014000, 37.125241
  0.016000, 36.894072
  0.018000, 36.678295
  0.020000, 36.468324
  0.022000, 36.247455
  0.024000, 36.026330
  0.026000, 35.816743
  0.028000, 35.620868
  0.030000, 35.410382
  0.032000, 35.196000
  0.034000, 34.981102
  0.036000, 34.770086
  0.038000, 34.563332
  0.040000, 34.361950
  0.042000, 34.157166
  0.044000, 33.957960
  0.046000, 33.761916
  0.048000, 33.563237
  0.050000, 33.371453
  0.052000, 33.180264
  0.054000, 32.991450
  0.056000, 32.813262
  0.058000, 32.639544
  0.060000, 32.466057
  0.062000, 32.292061
  0.064000, 32.125759
  0.066000, 31.966103
  0.068000, 31.820746
  0.070000, 31.681518
  0.072000, 31.534910
  0.074000, 31.389526
  0.076000, 31.244879
  0.078000, 31.105678
  0.080000, 30.964711
  0.082000, 30.823311
  0.084000, 30.678420
  0.086000, 30.534148
  0.088000, 30.388252
  0.090000, 30.247557
  0.092000, 30.109524
  0.094000, 29.968648
  0.096000, 29.827751
  0.098000, 29.686397
  0.100000, 29.539371
  0.102000, 29.395946
  0.104000, 29.254139
  0.106000, 29.108727
  0.108000, 28.964878
  0.110000, 28.811008
  0.112000, 28.647672
  0.114000, 28.487448
  0.116000, 28.328639
  0.118000, 28.155368
  0.120000, 27.969177
  0.122000, 27.779725
  0.124000, 27.576516
  0.126000, 27.363754
  0.128000, 27.138339
  0.130000, 26.902844
  0.132000, 26.658877
  0.134000, 26.414076
  0.136000, 26.157470
  0.138000, 25.887937
  0.140000, 25.606010
  0.142000, 25.311678
  0.144000, 25.010529
  0.146000, 24.700951
  0.148000, 24.382672
  0.150000, 24.053038
  0.152000, 23.714285
  0.154000, 23.374634
  0.156000, 23.024424
  0.158000, 22.666811
  0.160000, 22.306602
  0.162000, 21.947804
  0.164000, 21.595331
  0.166000, 21.248083
  0.168000, 20.902921
  0.170000, 20.568963
  0.172000, 20.246679
  0.174000, 19.931544
  0.176000, 19.630093
  0.178000, 19.339987
  0.180000, 19.058677
  0.182000, 18.786910
  0.184000, 18.527814
  0.186000, 18.283909
  0.188000, 18.050074
  0.190000, 17.821420
  0.192000, 17.608967
  0.194000, 17.404597
  0.196000, 17.206835
  0.198000, 17.011665
  0.200000, 16.823924
  0.202000, 16.643448
  0.204000, 16.475695
  0.206000, 16.312810
  0.208000, 16.149188
  0.210000, 15.985252
  0.212000, 15.831924
  0.214000, 15.683290
  0.216000, 15.536362
  0.218000, 15.401970
  0.220000, 15.267892
  0.222000, 15.141876
  0.224000, 15.006476
  0.226000, 14.872579
  0.228000, 14.735277
  0.230000, 14.611026
  0.232000, 14.482419
  0.234000, 14.348423
  0.236000, 14.225848
  0.238000, 14.106922
  0.240000, 13.988433
  0.242000, 13.867022
  0.244000, 13.748005
  0.246000, 13.627960
  0.248000, 13.510750
  0.250000, 13.389831
  0.252000, 13.273843
  0.254000, 13.155653
  0.256000, 13.038799
  0.258000, 12.919497
  0.260000, 12.799195
  0.262000, 12.671590
  0.264000, 12.541984
