# PEG_HSE
# Upscaled from ../surface/PEG/HSE.dat to radius: 34.89955667698373 bead probs: 1.0
# surf-centre-dist[nm],U[kJ/mol]
  0.000000, 33.145454
  0.002000, 32.903242
  0.004000, 32.658702
  0.006000, 32.419007
  0.008000, 32.185974
  0.010000, 31.956946
  0.012000, 31.728892
  0.014000, 31.501155
  0.016000, 31.274975
  0.018000, 31.058462
  0.020000, 30.849887
  0.022000, 30.648819
  0.024000, 30.451548
  0.026000, 30.250210
  0.028000, 30.055753
  0.030000, 29.861971
  0.032000, 29.667572
  0.034000, 29.492741
  0.036000, 29.307311
  0.038000, 29.129225
  0.040000, 28.952999
  0.042000, 28.777646
  0.044000, 28.601978
  0.046000, 28.429509
  0.048000, 28.249870
  0.050000, 28.086623
  0.052000, 27.922276
  0.054000, 27.756691
  0.056000, 27.593167
  0.058000, 27.428846
  0.060000, 27.267382
  0.062000, 27.100153
  0.064000, 26.931966
  0.066000, 26.767151
  0.068000, 26.599283
  0.070000, 26.437665
  0.072000, 26.281526
  0.074000, 26.127966
  0.076000, 25.978499
  0.078000, 25.829451
  0.080000, 25.675457
  0.082000, 25.521493
  0.084000, 25.363889
  0.086000, 25.208276
  0.088000, 25.052568
  0.090000, 24.909523
  0.092000, 24.766809
  0.094000, 24.625396
  0.096000, 24.483162
  0.098000, 24.348236
  0.100000, 24.214957
  0.102000, 24.084435
  0.104000, 23.944484
  0.106000, 23.807487
  0.108000, 23.668932
  0.110000, 23.529965
  0.112000, 23.387810
  0.114000, 23.246280
  0.116000, 23.098474
  0.118000, 22.946413
  0.120000, 22.790024
  0.122000, 22.625517
  0.124000, 22.451070
  0.126000, 22.269956
  0.128000, 22.076350
  0.130000, 21.878539
  0.132000, 21.672636
  0.134000, 21.453221
  0.136000, 21.223400
  0.138000, 20.979591
  0.140000, 20.727104
  0.142000, 20.469490
  0.144000, 20.207121
  0.146000, 19.933420
  0.148000, 19.648553
  0.150000, 19.352106
  0.152000, 19.046415
  0.154000, 18.724905
  0.156000, 18.391854
  0.158000, 18.050737
  0.160000, 17.702006
  0.162000, 17.345892
  0.164000, 16.982192
  0.166000, 16.616618
  0.168000, 16.252789
  0.170000, 15.894829
  0.172000, 15.548123
  0.174000, 15.210133
  0.176000, 14.873279
  0.178000, 14.558148
  0.180000, 14.256830
  0.182000, 13.974485
  0.184000, 13.694869
  0.186000, 13.427862
  0.188000, 13.170076
  0.190000, 12.930017
  0.192000, 12.701057
  0.194000, 12.483021
  0.196000, 12.273742
  0.198000, 12.072448
  0.200000, 11.877793
  0.202000, 11.697270
  0.204000, 11.524365
  0.206000, 11.358825
  0.208000, 11.186793
  0.210000, 11.022612
  0.212000, 10.859400
  0.214000, 10.704807
  0.216000, 10.561169
  0.218000, 10.413969
  0.220000, 10.268349
  0.222000, 10.136505
  0.224000, 10.004670
  0.226000,  9.876838
  0.228000,  9.745561
  0.230000,  9.619567
  0.232000,  9.498696
  0.234000,  9.375347
  0.236000,  9.257653
  0.238000,  9.143616
  0.240000,  9.027730
  0.242000,  8.917494
  0.244000,  8.809916
  0.246000,  8.699945
  0.248000,  8.588983
  0.250000,  8.476765
  0.252000,  8.365403
  0.254000,  8.252623
  0.256000,  8.144947
  0.258000,  8.030072
  0.260000,  7.915203
  0.262000,  7.800785
  0.264000,  7.684459
  0.266000,  7.561619
  0.268000,  7.436751
  0.270000,  7.313409
  0.272000,  7.186912
  0.274000,  7.052401
  0.276000,  6.907627
  0.278000,  6.754471
  0.280000,  6.595478
  0.282000,  6.436904
  0.284000,  6.267452
  0.286000,  6.087965
  0.288000,  5.900072
  0.290000,  5.706473
  0.292000,  5.504220
  0.294000,  5.290278
  0.296000,  5.073047
  0.298000,  4.846798
  0.300000,  4.620286
  0.302000,  4.385663
  0.304000,  4.150089
  0.306000,  3.902418
  0.308000,  3.656269
  0.310000,  3.411710
  0.312000,  3.176978
  0.314000,  2.932150
  0.316000,  2.687292
  0.318000,  2.441646
  0.320000,  2.197134
  0.322000,  1.955110
  0.324000,  1.714732
  0.326000,  1.476169
  0.328000,  1.240700
  0.330000,  1.007693
  0.332000,  0.778173
  0.334000,  0.552775
  0.336000,  0.328950
  0.338000,  0.103346
  0.340000, -0.115568
  0.342000, -0.329502
  0.344000, -0.538743
  0.346000, -0.746410
  0.348000, -0.951251
  0.350000, -1.150550
  0.352000, -1.344565
  0.354000, -1.531557
  0.356000, -1.713927
  0.358000, -1.892118
  0.360000, -2.068149
  0.362000, -2.237330
  0.364000, -2.403871
  0.366000, -2.569713
  0.368000, -2.726992
  0.370000, -2.881664
  0.372000, -3.029269
