# PEG_PHE
# Upscaled from ../surface/PEG/PHE.dat to radius: 34.89955667698373 bead probs: 1.0
# surf-centre-dist[nm],U[kJ/mol]
  0.336000,-16.925099
  0.340000,-17.266897
  0.344000,-17.602493
  0.348000,-17.917455
  0.352000,-18.206771
  0.356000,-18.486891
  0.360000,-18.755920
  0.364000,-19.020472
  0.368000,-19.257593
  0.372000,-19.465224
  0.376000,-19.654453
  0.380000,-19.822959
  0.384000,-19.976323
  0.388000,-20.113315
  0.392000,-20.226780
  0.396000,-20.313382
  0.400000,-20.379793
  0.404000,-20.433787
  0.408000,-20.479049
  0.412000,-20.511396
  0.416000,-20.527249
  0.420000,-20.530634
  0.424000,-20.524433
  0.428000,-20.506684
  0.432000,-20.466067
  0.436000,-20.414534
  0.440000,-20.351681
  0.444000,-20.274397
  0.448000,-20.190481
  0.452000,-20.091989
  0.456000,-19.983012
  0.460000,-19.865991
  0.464000,-19.742006
  0.468000,-19.611114
  0.472000,-19.466252
  0.476000,-19.323838
  0.480000,-19.172946
  0.484000,-19.011364
  0.488000,-18.844169
  0.492000,-18.677256
  0.496000,-18.507654
  0.500000,-18.335138
  0.504000,-18.161594
  0.508000,-17.982488
  0.512000,-17.800109
  0.516000,-17.614609
  0.520000,-17.416636
  0.524000,-17.216755
  0.528000,-17.007923
  0.532000,-16.804540
  0.536000,-16.584386
  0.540000,-16.365071
  0.544000,-16.147262
  0.548000,-15.928345
  0.552000,-15.703958
  0.556000,-15.481514
  0.560000,-15.258144
  0.564000,-15.035987
  0.568000,-14.808681
  0.572000,-14.581470
  0.576000,-14.350333
  0.580000,-14.125660
  0.584000,-13.903032
  0.588000,-13.679553
  0.592000,-13.448793
  0.596000,-13.211047
  0.600000,-12.975376
  0.604000,-12.736608
  0.608000,-12.508202
  0.612000,-12.276511
  0.616000,-12.044046
  0.620000,-11.810358
  0.624000,-11.582655
  0.628000,-11.353724
  0.632000,-11.124839
  0.636000,-10.898850
  0.640000,-10.673294
  0.644000,-10.452087
  0.648000,-10.236568
  0.652000,-10.024883
  0.656000, -9.818159
  0.660000, -9.621109
  0.664000, -9.424347
  0.668000, -9.228800
  0.672000, -9.039311
  0.676000, -8.861993
  0.680000, -8.682722
  0.684000, -8.499736
  0.688000, -8.318191
  0.692000, -8.148085
  0.696000, -7.993781
  0.700000, -7.848854
  0.704000, -7.704588
  0.708000, -7.556701
  0.712000, -7.418111
  0.716000, -7.285780
  0.720000, -7.162066
  0.724000, -7.044791
  0.728000, -6.922693
  0.732000, -6.804430
  0.736000, -6.689117
  0.740000, -6.579116
  0.744000, -6.480807
  0.748000, -6.389856
  0.752000, -6.302530
  0.756000, -6.216212
  0.760000, -6.136305
  0.764000, -6.058183
  0.768000, -5.980256
  0.772000, -5.904856
  0.776000, -5.830990
  0.780000, -5.756416
  0.784000, -5.687702
  0.788000, -5.616970
  0.792000, -5.544582
