# PEG_TRP
# Upscaled from ../surface/PEG/TRP.dat to radius: 34.89955667698373 bead probs: 1.0
# surf-centre-dist[nm],U[kJ/mol]
  0.000000, -4.949011
  0.004000, -5.371300
  0.008000, -5.763061
  0.012000, -6.116841
  0.016000, -6.436002
  0.020000, -6.692472
  0.024000, -6.928843
  0.028000, -7.153413
  0.032000, -7.354631
  0.036000, -7.513003
  0.040000, -7.645581
  0.044000, -7.775532
  0.048000, -7.898538
  0.052000, -8.015862
  0.056000, -8.115403
  0.060000, -8.199749
  0.064000, -8.248950
  0.068000, -8.289828
  0.072000, -8.317679
  0.076000, -8.337445
  0.080000, -8.342225
  0.084000, -8.357697
  0.088000, -8.369361
  0.092000, -8.358851
  0.096000, -8.348772
  0.100000, -8.340077
  0.104000, -8.335521
  0.108000, -8.348879
  0.112000, -8.379641
  0.116000, -8.415649
  0.120000, -8.469693
  0.124000, -8.561374
  0.128000, -8.698645
  0.132000, -8.875249
  0.136000, -9.112372
  0.140000, -9.436946
  0.144000, -9.853724
  0.148000,-10.414474
  0.152000,-11.158131
  0.156000,-12.087733
  0.160000,-13.134909
  0.164000,-14.182335
  0.168000,-15.134592
  0.172000,-15.956917
  0.176000,-16.658760
  0.180000,-17.216241
  0.184000,-17.672431
  0.188000,-18.068876
  0.192000,-18.368609
  0.196000,-18.623542
  0.200000,-18.831452
  0.204000,-19.003533
  0.208000,-19.162242
  0.212000,-19.292781
  0.216000,-19.404992
  0.220000,-19.503352
  0.224000,-19.586955
  0.228000,-19.645304
  0.232000,-19.687406
  0.236000,-19.719776
  0.240000,-19.747316
  0.244000,-19.773587
  0.248000,-19.782097
  0.252000,-19.785949
  0.256000,-19.764569
  0.260000,-19.732857
  0.264000,-19.692533
  0.268000,-19.656329
  0.272000,-19.621086
  0.276000,-19.600616
  0.280000,-19.595010
  0.284000,-19.605707
  0.288000,-19.648309
  0.292000,-19.729069
  0.296000,-19.862790
  0.300000,-20.036343
  0.304000,-20.277451
  0.308000,-20.572571
  0.312000,-20.927368
  0.316000,-21.326419
  0.320000,-21.739052
  0.324000,-22.167423
  0.328000,-22.591460
  0.332000,-23.006533
  0.336000,-23.400920
  0.340000,-23.768534
  0.344000,-24.113025
  0.348000,-24.441167
  0.352000,-24.735227
  0.356000,-24.999168
  0.360000,-25.234063
  0.364000,-25.443593
  0.368000,-25.620092
  0.372000,-25.767459
  0.376000,-25.886754
  0.380000,-25.971291
  0.384000,-26.030408
  0.388000,-26.062983
  0.392000,-26.070352
  0.396000,-26.055879
  0.400000,-26.010220
  0.404000,-25.943303
  0.408000,-25.863573
  0.412000,-25.764688
  0.416000,-25.649594
  0.420000,-25.520144
  0.424000,-25.387814
  0.428000,-25.231960
  0.432000,-25.061206
  0.436000,-24.879445
  0.440000,-24.687604
  0.444000,-24.495504
  0.448000,-24.301921
  0.452000,-24.092093
  0.456000,-23.879086
  0.460000,-23.668037
  0.464000,-23.451999
  0.468000,-23.232981
  0.472000,-23.010471
  0.476000,-22.793518
  0.480000,-22.573983
  0.484000,-22.362304
  0.488000,-22.139633
  0.492000,-21.907732
  0.496000,-21.679029
  0.500000,-21.457313
  0.504000,-21.229298
  0.508000,-21.002651
  0.512000,-20.776272
  0.516000,-20.543500
  0.520000,-20.319195
  0.524000,-20.100837
  0.528000,-19.876060
  0.532000,-19.649199
  0.536000,-19.425114
  0.540000,-19.202496
  0.544000,-18.975025
  0.548000,-18.750163
  0.552000,-18.525113
  0.556000,-18.300968
  0.560000,-18.076265
  0.564000,-17.845182
  0.568000,-17.610453
  0.572000,-17.377507
  0.576000,-17.144420
  0.580000,-16.911211
  0.584000,-16.670427
  0.588000,-16.428613
  0.592000,-16.180380
  0.596000,-15.934132
  0.600000,-15.686787
  0.604000,-15.443932
  0.608000,-15.201852
  0.612000,-14.961136
  0.616000,-14.721107
  0.620000,-14.481611
  0.624000,-14.247031
  0.628000,-14.009183
  0.632000,-13.778188
  0.636000,-13.536714
  0.640000,-13.300083
  0.644000,-13.062807
  0.648000,-12.829151
  0.652000,-12.598229
  0.656000,-12.363888
  0.660000,-12.133979
  0.664000,-11.903372
  0.668000,-11.677160
  0.672000,-11.450934
  0.676000,-11.220572
  0.680000,-10.996172
  0.684000,-10.777307
  0.688000,-10.564271
  0.692000,-10.355083
  0.696000,-10.149133
  0.700000, -9.946954
  0.704000, -9.745449
  0.708000, -9.548580
  0.712000, -9.355433
  0.716000, -9.161879
  0.720000, -8.973436
  0.724000, -8.788712
  0.728000, -8.611650
  0.732000, -8.437493
  0.736000, -8.264088
  0.740000, -8.097755
  0.744000, -7.937579
  0.748000, -7.779646
  0.752000, -7.627463
  0.756000, -7.480560
  0.760000, -7.341378
  0.764000, -7.193694
  0.768000, -7.045389
  0.772000, -6.900959
  0.776000, -6.763122
  0.780000, -6.634361
  0.784000, -6.510301
  0.788000, -6.382477
  0.792000, -6.263389
  0.796000, -6.152601
  0.800000, -6.043056
  0.804000, -5.934886
  0.808000, -5.831462
  0.812000, -5.735508
  0.816000, -5.648179
  0.820000, -5.563830
  0.824000, -5.474045
  0.828000, -5.386545
  0.832000, -5.299925
  0.836000, -5.221686
  0.840000, -5.138652
  0.844000, -5.058767
  0.848000, -4.981813
  0.852000, -4.903234
  0.856000, -4.835458
  0.860000, -4.771198
  0.864000, -4.703699
  0.868000, -4.637532
  0.872000, -4.570107
  0.876000, -4.510245
  0.880000, -4.446714
  0.884000, -4.381108
  0.888000, -4.318501
  0.892000, -4.263820
  0.896000, -4.202834
  0.900000, -4.135584
  0.904000, -4.067472
  0.908000, -4.003376
  0.912000, -3.936758
  0.916000, -3.869348
  0.920000, -3.800419
  0.924000, -3.728150
  0.928000, -3.656463
  0.932000, -3.587292
  0.936000, -3.521175
  0.940000, -3.453997
  0.944000, -3.387744
  0.948000, -3.322215
  0.952000, -3.257887
  0.956000, -3.192915
  0.960000, -3.128692
  0.964000, -3.068972
  0.968000, -3.008890
  0.972000, -2.940091
  0.976000, -2.876308
  0.980000, -2.811338
  0.984000, -2.749601
  0.988000, -2.686951
  0.992000, -2.622595
  0.996000, -2.558510
  1.000000, -2.495884
  1.004000, -2.435839
  1.008000, -2.376974
  1.012000, -2.309840
  1.016000, -2.245499
  1.020000, -2.179903
  1.024000, -2.119806
  1.028000, -2.058310
  1.032000, -2.001235
  1.036000, -1.945738
  1.040000, -1.887790
  1.044000, -1.831228
  1.048000, -1.775530
  1.052000, -1.717652
  1.056000, -1.661182
  1.060000, -1.604567
  1.064000, -1.556016
  1.068000, -1.507482
  1.072000, -1.459655
  1.076000, -1.416581
  1.080000, -1.371762
  1.084000, -1.328056
  1.088000, -1.283379
  1.092000, -1.241878
  1.096000, -1.201350
  1.100000, -1.156704
  1.104000, -1.112441
  1.108000, -1.066940
  1.112000, -1.025299
  1.116000, -0.988942
  1.120000, -0.949013
  1.124000, -0.909867
  1.128000, -0.879065
  1.132000, -0.852871
  1.136000, -0.823300
  1.140000, -0.793505
  1.144000, -0.766776
  1.148000, -0.741909
  1.152000, -0.723413
  1.156000, -0.705460
  1.160000, -0.684093
  1.164000, -0.667457
  1.168000, -0.653487
  1.172000, -0.637232
  1.176000, -0.617364
  1.180000, -0.598910
  1.184000, -0.582023
  1.188000, -0.567738
  1.192000, -0.557192
  1.196000, -0.543565
  1.200000, -0.529033
  1.204000, -0.517072
  1.208000, -0.506278
  1.212000, -0.497607
  1.216000, -0.485774
  1.220000, -0.470252
  1.224000, -0.457591
  1.228000, -0.449279
  1.232000, -0.438562
  1.236000, -0.424050
  1.240000, -0.411096
  1.244000, -0.402127
  1.248000, -0.390442
  1.252000, -0.376242
  1.256000, -0.363419
  1.260000, -0.351115
  1.264000, -0.339070
  1.268000, -0.327529
  1.272000, -0.315775
  1.276000, -0.304740
  1.280000, -0.293935
  1.284000, -0.283494
  1.288000, -0.275302
  1.292000, -0.265405
  1.296000, -0.255335
  1.300000, -0.251665
  1.304000, -0.245172
  1.308000, -0.235278
  1.312000, -0.227076
  1.316000, -0.220648
  1.320000, -0.216523
  1.324000, -0.207402
  1.328000, -0.200007
  1.332000, -0.196254
  1.336000, -0.190187
  1.340000, -0.184671
  1.344000, -0.178857
  1.348000, -0.173682
  1.352000, -0.168452
  1.356000, -0.160645
  1.360000, -0.152789
  1.364000, -0.145447
  1.368000, -0.140947
  1.372000, -0.135587
  1.376000, -0.129700
  1.380000, -0.125033
  1.384000, -0.118873
  1.388000, -0.112973
  1.392000, -0.105921
  1.396000, -0.097252
  1.400000, -0.094709
  1.404000, -0.090626
  1.408000, -0.086223
  1.412000, -0.083508
  1.416000, -0.080254
  1.420000, -0.076845
  1.424000, -0.070693
  1.428000, -0.067449
  1.432000, -0.061498
  1.436000, -0.056526
  1.440000, -0.051092
  1.444000, -0.043360
  1.448000, -0.037710
  1.452000, -0.034056
  1.456000, -0.027780
  1.460000, -0.023474
  1.464000, -0.021791
  1.468000, -0.019413
  1.472000, -0.014964
  1.476000, -0.011929
  1.480000, -0.010403
  1.484000, -0.005682
  1.488000, -0.003146
  1.492000, -0.001801
  1.496000, -0.000279
  1.500000,  0.000000
  1.504000,  0.000000
  1.508000,  0.000000
