# PEG_GLU
# Upscaled from ../surface/PEG/GLU.dat to radius: 34.89955667698373 bead probs: 1.0
# surf-centre-dist[nm],U[kJ/mol]
  0.004000, 68.927006
  0.012000, 67.608628
  0.020000, 66.282849
  0.028000, 64.922818
  0.036000, 63.533330
  0.044000, 62.206045
  0.052000, 60.880048
  0.060000, 59.531047
  0.068000, 58.235318
  0.076000, 56.971510
  0.084000, 55.780069
  0.092000, 54.649811
  0.100000, 53.567047
  0.108000, 52.529745
  0.116000, 51.543404
  0.124000, 50.588066
  0.132000, 49.612679
  0.140000, 48.652034
  0.148000, 47.665903
  0.156000, 46.625221
  0.164000, 45.521500
  0.172000, 44.367054
  0.180000, 43.164835
  0.188000, 41.946850
  0.196000, 40.740255
  0.204000, 39.559425
  0.212000, 38.369650
  0.220000, 37.201289
  0.228000, 36.049424
  0.236000, 34.944627
  0.244000, 33.857727
  0.252000, 32.805248
  0.260000, 31.763133
  0.268000, 30.725334
  0.276000, 29.660925
  0.284000, 28.624890
  0.292000, 27.596297
  0.300000, 26.551090
  0.308000, 25.501026
  0.316000, 24.425578
  0.324000, 23.293736
  0.332000, 22.081689
  0.340000, 20.824708
  0.348000, 19.496334
  0.356000, 18.196538
  0.364000, 16.950325
  0.372000, 15.723358
  0.380000, 14.542444
  0.388000, 13.417873
  0.396000, 12.331068
  0.404000, 11.311921
  0.412000, 10.342291
  0.420000,  9.457521
  0.428000,  8.635588
  0.436000,  7.891256
  0.444000,  7.202507
  0.452000,  6.573508
  0.460000,  5.992200
  0.468000,  5.463108
  0.476000,  4.985683
  0.484000,  4.541143
  0.492000,  4.126617
  0.500000,  3.749577
  0.508000,  3.422801
  0.516000,  3.130473
  0.524000,  2.883041
  0.532000,  2.670564
  0.540000,  2.491462
  0.548000,  2.313759
  0.556000,  2.163677
  0.564000,  2.030025
  0.572000,  1.929894
  0.580000,  1.841796
  0.588000,  1.762347
  0.596000,  1.681696
  0.604000,  1.621848
  0.612000,  1.557880
  0.620000,  1.484296
  0.628000,  1.429450
  0.636000,  1.365773
  0.644000,  1.301701
  0.652000,  1.235215
  0.660000,  1.166926
  0.668000,  1.097830
  0.676000,  1.024385
  0.684000,  0.941078
  0.692000,  0.865326
  0.700000,  0.795085
  0.708000,  0.718507
  0.716000,  0.635726
  0.724000,  0.555633
  0.732000,  0.468436
  0.740000,  0.374542
  0.748000,  0.282104
  0.756000,  0.208432
  0.764000,  0.138072
  0.772000,  0.080503
  0.780000,  0.033545
  0.788000, -0.005170
  0.796000, -0.052971
  0.804000, -0.094837
  0.812000, -0.119213
  0.820000, -0.148050
  0.828000, -0.175570
  0.836000, -0.211289
  0.844000, -0.238172
  0.852000, -0.262382
  0.860000, -0.277561
  0.868000, -0.295116
  0.876000, -0.306787
  0.884000, -0.322682
  0.892000, -0.336812
  0.900000, -0.345969
  0.908000, -0.342045
  0.916000, -0.336035
  0.924000, -0.324875
  0.932000, -0.316145
  0.940000, -0.306840
  0.948000, -0.307460
  0.956000, -0.300938
  0.964000, -0.283648
  0.972000, -0.273535
  0.980000, -0.256792
  0.988000, -0.241946
  0.996000, -0.222303
  1.004000, -0.208311
  1.012000, -0.205528
  1.020000, -0.199407
  1.028000, -0.188976
  1.036000, -0.175454
  1.044000, -0.160419
  1.052000, -0.159866
  1.060000, -0.150813
  1.068000, -0.160564
  1.076000, -0.172864
  1.084000, -0.184252
  1.092000, -0.188509
  1.100000, -0.189794
  1.108000, -0.188473
  1.116000, -0.174210
  1.124000, -0.164923
  1.132000, -0.160073
  1.140000, -0.155282
  1.148000, -0.135873
  1.156000, -0.126359
  1.164000, -0.115834
  1.172000, -0.111693
  1.180000, -0.104087
  1.188000, -0.094550
  1.196000, -0.086481
  1.204000, -0.083090
  1.212000, -0.079404
  1.220000, -0.074764
  1.228000, -0.073783
  1.236000, -0.074729
  1.244000, -0.073553
  1.252000, -0.066831
  1.260000, -0.052339
  1.268000, -0.038950
  1.276000, -0.028015
  1.284000, -0.024157
  1.292000, -0.022415
  1.300000, -0.015769
  1.308000, -0.011140
  1.316000, -0.006954
  1.324000, -0.011245
  1.332000, -0.004635
  1.340000,  0.001141
  1.348000,  0.003031
  1.356000,  0.003620
  1.364000,  0.007771
  1.372000,  0.011381
  1.380000,  0.008977
  1.388000,  0.007321
  1.396000,  0.011331
  1.404000,  0.003997
  1.412000, -0.004112
  1.420000, -0.008391
  1.428000, -0.006625
  1.436000, -0.008921
  1.444000, -0.009781
  1.452000, -0.003320
  1.460000, -0.000892
  1.468000, -0.001275
  1.476000,  0.005213
  1.484000,  0.004268
  1.492000,  0.001736
  1.500000,  0.000000
  1.508000,  0.000000
