# PMF between COM of AGLU and TiO2 slab.
#
#              AGLU
# z (nm)   (kJ/mol)                
  0.1504  189.02446
  0.1536  188.55776
  0.1568  188.09996
  0.1600  187.65256
  0.1632  187.21396
  0.1664  186.78566
  0.1696  186.36566
  0.1728  185.95206
  0.1760  185.54276
  0.1792  185.13766
  0.1824  184.73246
  0.1856  184.32406
  0.1888  183.90786
  0.1920  183.47926
  0.1952  183.03026
  0.1984  182.54856
  0.2016  182.01866
  0.2048  181.41956
  0.2080  180.71956
  0.2112  179.87926
  0.2144  178.84496
  0.2176  177.55056
  0.2208  175.91276
  0.2240  173.83326
  0.2272  171.20706
  0.2304  167.92106
  0.2336  163.86946
  0.2368  158.96816
  0.2400  153.16826
  0.2432  146.48746
  0.2464  139.01576
  0.2496  130.91726
  0.2528  122.41676
  0.2560  113.76606
  0.2592  105.25456
  0.2624   97.20746
  0.2656   89.91346
  0.2688   83.51346
  0.2720   77.98846
  0.2752   73.23446
  0.2784   69.10546
  0.2816   65.40046
  0.2848   61.88546
  0.2880   58.39446
  0.2912   54.93046
  0.2944   51.63146
  0.2976   48.65746
  0.3008   46.07746
  0.3040   43.79546
  0.3072   41.60346
  0.3104   39.35046
  0.3136   37.08846
  0.3168   35.01146
  0.3200   33.20546
  0.3232   31.61346
  0.3264   30.15646
  0.3296   28.82446
  0.3328   27.63046
  0.3360   26.58746
  0.3392   25.66346
  0.3424   24.79046
  0.3456   23.89046
  0.3488   22.87746
  0.3520   21.72146
  0.3552   20.45346
  0.3584   19.15346
  0.3616   17.86646
  0.3648   16.59646
  0.3680   15.30246
  0.3712   13.93946
  0.3744   12.52246
  0.3776   11.12646
  0.3808    9.84846
  0.3840    8.74546
  0.3872    7.81046
  0.3904    6.99446
  0.3936    6.25446
  0.3968    5.56946
  0.4000    4.94246
  0.4032    4.38646
  0.4064    3.92546
  0.4096    3.56946
  0.4128    3.31146
  0.4160    3.10346
  0.4192    2.90846
  0.4224    2.66646
  0.4256    2.35446
  0.4288    1.97246
  0.4320    1.53246
  0.4352    1.04746
  0.4384    0.52646
  0.4416   -0.02454
  0.4448   -0.60054
  0.4480   -1.18054
  0.4512   -1.71754
  0.4544   -2.17754
  0.4576   -2.53154
  0.4608   -2.78554
  0.4640   -2.95754
  0.4672   -3.07854
  0.4704   -3.18054
  0.4736   -3.26654
  0.4768   -3.32554
  0.4800   -3.35854
  0.4832   -3.36554
  0.4864   -3.36254
  0.4896   -3.34854
  0.4928   -3.32354
  0.4960   -3.26954
  0.4992   -3.16754
  0.5024   -3.01854
  0.5056   -2.84054
  0.5088   -2.66754
  0.5120   -2.52454
  0.5152   -2.41454
  0.5184   -2.32854
  0.5216   -2.23854
