# Pt001_GLY
# h[nm],U(h)[kJ/mol]
0.200000000000000011,80.916878208431953112
0.201000000000000012,74.127440701186912975
0.202000000000000013,70.370429769341185988
0.203000000000000014,67.967759701336021294
0.204000000000000015,65.989799396794055042
0.205000000000000016,63.976072670951509735
0.206000000000000016,61.746745408207445394
0.207000000000000017,59.278392503797341817
0.208000000000000018,56.624655970328454657
0.209000000000000019,53.867732780738478482
0.210000000000000020,51.090595558497639672
0.211000000000000021,48.362781046061648738
0.212000000000000022,45.734733717963422350
0.213000000000000023,43.237258915329327635
0.214000000000000024,40.883769493683686846
0.215000000000000024,38.673814772629512504
0.216000000000000025,36.596945831682482719
0.217000000000000026,34.636361222830444717
0.218000000000000027,32.772040224946614728
0.219000000000000028,30.983242853033960529
0.220000000000000029,29.250363644207773461
0.221000000000000030,27.556189404162854117
0.222000000000000031,25.886643925713819669
0.223000000000000032,24.231115509817904297
0.224000000000000032,22.582463281942647626
0.225000000000000033,20.936790955558524985
0.226000000000000034,19.293065387957042844
0.227000000000000035,17.652644365675790539
0.228000000000000036,16.018765068284103847
0.229000000000000037,14.396032513598246538
0.230000000000000038,12.789936492680025637
0.231000000000000039,11.206416285393913768
0.232000000000000040,9.651484847789239652
0.233000000000000040,8.130918106101795217
0.234000000000000041,6.650010336554359469
0.235000000000000042,5.213393179771313335
0.236000000000000043,3.824913447120721344
0.237000000000000044,2.487563341140710094
0.238000000000000045,1.203455863657970415
0.239000000000000046,-0.026162128778202919
0.240000000000000047,-1.200866674168138193
0.241000000000000048,-2.320990332454899274
0.242000000000000048,-3.387539188427003634
0.243000000000000049,-4.402099029218447868
0.244000000000000050,-5.366735734284794113
0.245000000000000051,-6.283894137308186245
0.246000000000000052,-7.156298857852327444
0.247000000000000053,-7.986859880071946804
0.248000000000000054,-8.778584992736661263
0.249000000000000055,-9.534500609246764569
0.250000000000000056,-10.257581963188499685
0.251000000000000056,-10.950693225452681645
0.252000000000000057,-11.616537711338306593
0.253000000000000058,-12.257618036657200733
0.254000000000000059,-12.876205835559355606
0.255000000000000060,-13.474320463672896153
0.256000000000000061,-14.053715971837291931
0.257000000000000062,-14.615875541725959152
0.258000000000000063,-15.162012518655984650
0.259000000000000064,-15.693077152810065655
0.260000000000000064,-16.209768162304008854
0.261000000000000065,-16.712548254856834262
0.262000000000000066,-17.201662784621895241
0.263000000000000067,-17.677160772905541108
0.264000000000000068,-18.138917582462305234
0.265000000000000069,-18.586658601741170571
0.266000000000000070,-19.019983365275702880
0.267000000000000071,-19.438389607215061261
0.268000000000000071,-19.841296815032183787
0.269000000000000072,-20.228068918334923154
0.270000000000000073,-20.598035812372344822
0.271000000000000074,-20.950513476478871411
0.272000000000000075,-21.284822503779171399
0.273000000000000076,-21.600304909631031336
0.274000000000000077,-21.896339132331767985
0.275000000000000078,-22.172353180508611814
0.276000000000000079,-22.427835917425895218
0.277000000000000079,-22.662346503329025893
0.278000000000000080,-22.875522043131716998
0.279000000000000081,-23.067083508517924884
0.280000000000000082,-23.236840021182811000
0.281000000000000083,-23.384691597813446862
0.282000000000000084,-23.510630467854596759
0.283000000000000085,-23.614741082467041622
0.284000000000000086,-23.697198937708726874
0.285000000000000087,-23.758268337187356423
0.286000000000000087,-23.798299219565908658
0.287000000000000088,-23.817723174653401941
0.288000000000000089,-23.817048768662932190
0.289000000000000090,-23.796856294831378875
0.290000000000000091,-23.757792060206547546
0.291000000000000092,-23.700562313238922485
0.292000000000000093,-23.625926910058513641
0.293000000000000094,-23.534692810148769126
0.294000000000000095,-23.427707484701720375
0.295000000000000095,-23.305852313384995966
0.296000000000000096,-23.170036037688372943
0.297000000000000097,-23.021188331542646210
0.298000000000000098,-22.860253542599359378
0.299000000000000099,-22.688184650495809791
0.300000000000000100,-22.505937481658300214
0.301000000000000101,-22.314465213763170937
0.302000000000000102,-22.114713196911630178
0.303000000000000103,-21.907614112903115000
0.304000000000000103,-21.694083488729624776
0.305000000000000104,-21.475015575566480663
0.306000000000000105,-21.251279600106702361
0.307000000000000106,-21.023716391070728093
0.308000000000000107,-20.793135380115920441
0.309000000000000108,-20.560311973156714771
0.310000000000000109,-20.325985285273645786
0.311000000000000110,-20.090856229920625253
0.312000000000000111,-19.855585951015854107
0.313000000000000111,-19.620794584703233454
0.314000000000000112,-19.387060336077148293
0.315000000000000113,-19.154918854952160956
0.316000000000000114,-18.924862893810626474
0.317000000000000115,-18.697342230351985393
0.318000000000000116,-18.472763836577975383
0.319000000000000117,-18.251492276057476261
0.320000000000000118,-18.033850310902209912
0.321000000000000119,-17.820119700032012844
0.322000000000000119,-17.610542170497204495
0.323000000000000120,-17.405320543937797595
0.324000000000000121,-17.204620000679387459
0.325000000000000122,-17.008569464477751865
0.326000000000000123,-16.817263091513819262
0.327000000000000124,-16.630761847895012551
0.328000000000000125,-16.449095160626008294
0.329000000000000126,-16.272262627759115361
0.330000000000000127,-16.100235774212865891
0.331000000000000127,-15.932959840547800567
0.332000000000000128,-15.770355592800774147
0.333000000000000129,-15.612321142297952647
0.334000000000000130,-15.458733765183893638
0.335000000000000131,-15.309451712214968921
0.336000000000000132,-15.164316000163060139
0.337000000000000133,-15.023152176957761839
0.338000000000000134,-14.885772053456017616
0.339000000000000135,-14.751975395466306651
0.340000000000000135,-14.621551570365094008
0.341000000000000136,-14.494281143326466221
0.342000000000000137,-14.369937418837853471
0.343000000000000138,-14.248287923795896148
0.344000000000000139,-14.129095829064391765
0.345000000000000140,-14.012121306931920373
0.346000000000000141,-13.897122822427823152
0.347000000000000142,-13.783858356943946788
0.348000000000000143,-13.672086563064279829
0.349000000000000143,-13.561567849926728258
0.350000000000000144,-13.452065398831132725
0.351000000000000145,-13.343346109165949542
0.352000000000000146,-13.235181475053616751
0.353000000000000147,-13.127348393412546557
0.354000000000000148,-13.019629904403192455
0.355000000000000149,-12.911815865467184850
0.356000000000000150,-12.803703560384633420
0.357000000000000151,-12.695098244964654555
0.358000000000000151,-12.585813631151548719
0.359000000000000152,-12.475672311472836284
0.360000000000000153,-12.364506125878850895
0.361000000000000154,-12.252156473126433411
0.362000000000000155,-12.138474568943987464
0.363000000000000156,-12.023321653282005528
0.364000000000000157,-11.906569149004193164
0.365000000000000158,-11.788098774410308067
0.366000000000000159,-11.667802612003715268
0.367000000000000159,-11.545583135926012375
0.368000000000000160,-11.421353200479142487
0.369000000000000161,-11.295035992142237191
0.370000000000000162,-11.166564947468058833
0.371000000000000163,-11.035883639213311724
0.372000000000000164,-10.902945633017514737
0.373000000000000165,-10.767714316900537597
0.374000000000000166,-10.630162705796179168
0.375000000000000167,-10.490273223283061554
0.376000000000000167,-10.348037462612101223
0.377000000000000168,-10.203455929064482177
0.378000000000000169,-10.056537765605426671
0.379000000000000170,-9.907300463727818141
0.380000000000000171,-9.755769561305772442
0.381000000000000172,-9.601978329203769036
0.382000000000000173,-9.445967448309996684
0.383000000000000174,-9.287784678586097797
0.384000000000000175,-9.127484521647652116
0.385000000000000175,-8.965127878312738829
0.386000000000000176,-8.800781702478541746
0.387000000000000177,-8.634518652609768807
0.388000000000000178,-8.466416742047114141
0.389000000000000179,-8.296558989269378515
0.390000000000000180,-8.125033069170092048
0.391000000000000181,-7.951930966337554807
0.392000000000000182,-7.777348631257860134
0.393000000000000183,-7.601385640291669077
0.394000000000000183,-7.424144860210094343
0.395000000000000184,-7.245732118010517198
0.396000000000000185,-7.066255876671180935
0.397000000000000186,-6.885826917443935713
0.398000000000000187,-6.704558029226570071
0.399000000000000188,-6.522563705500944664
0.400000000000000189,-6.339959849270528913
0.401000000000000190,-6.156863486379442030
0.402000000000000191,-5.973392487547785734
0.403000000000000191,-5.789665299410929222
0.404000000000000192,-5.605800684807393353
0.405000000000000193,-5.421917472518064329
0.406000000000000194,-5.238134316620281616
0.407000000000000195,-5.054569465583429455
0.408000000000000196,-4.871340541197403340
0.409000000000000197,-4.688564327392805708
0.410000000000000198,-4.506356568980966593
0.411000000000000199,-4.324831780312964113
0.412000000000000199,-4.144103063830121059
0.413000000000000200,-3.964281938453797949
0.414000000000000201,-3.785478177738885730
0.415000000000000202,-3.607799657694253259
0.416000000000000203,-3.431352214154146818
0.417000000000000204,-3.256239509565903578
0.418000000000000205,-3.082562909043784050
0.419000000000000206,-2.910421365523346626
0.420000000000000207,-2.739911313837410933
0.421000000000000207,-2.571126573523101921
0.422000000000000208,-2.404158260158038907
0.423000000000000209,-2.239094705014987419
0.424000000000000210,-2.076021382815555150
0.425000000000000211,-1.915020847356555533
0.426000000000000212,-1.756172674776627973
0.427000000000000213,-1.599553414225519443
0.428000000000000214,-1.445236545694540187
0.429000000000000214,-1.293292444763192828
0.430000000000000215,-1.143788354014802611
0.431000000000000216,-0.996788360872533752
0.432000000000000217,-0.852353381605799321
0.433000000000000218,-0.710541151257548798
0.434000000000000219,-0.571406219242909907
0.435000000000000220,-0.434999950370962174
0.436000000000000221,-0.301370531042916945
0.437000000000000222,-0.170562980382121421
0.438000000000000222,-0.042619166053932969
0.439000000000000223,0.082422175463572209
0.440000000000000224,0.204525414393706390
0.441000000000000225,0.323657999192018986
0.442000000000000226,0.439790424321537199
0.443000000000000227,0.552896194496183102
0.444000000000000228,0.662951785611078148
0.445000000000000229,0.769936602573958795
0.446000000000000230,0.873832934246695503
0.447000000000000230,0.974625905700985284
0.448000000000000231,1.072303427986678548
0.449000000000000232,1.166856145605945638
0.450000000000000233,1.258277381880916534
0.451000000000000234,1.346563082396665445
0.452000000000000235,1.431711756695924764
0.453000000000000236,1.513724418396040550
0.454000000000000237,1.592604523892874768
0.455000000000000238,1.668357909810821216
0.456000000000000238,1.740992729351985790
0.457000000000000239,1.810519387692260507
0.458000000000000240,1.876950476565766524
0.459000000000000241,1.940300708174062194
0.460000000000000242,2.000586848550291563
0.461000000000000243,2.057827650503372574
0.462000000000000244,2.112043786261441625
0.463000000000000245,2.163257779928648539
0.464000000000000246,2.211493939863829805
0.465000000000000246,2.256778291084441168
0.466000000000000247,2.299138507793982988
0.467000000000000248,2.338603846126125596
0.468000000000000249,2.375205077193654368
0.469000000000000250,2.408974420525721527
0.470000000000000251,2.439945477972006671
0.471000000000000252,2.468153168147935173
0.472000000000000253,2.493633661490428199
0.473000000000000254,2.516424315989485905
0.474000000000000254,2.536563613656586558
0.475000000000000255,2.554091097786673092
0.476000000000000256,2.569047311066755768
0.477000000000000257,2.581473734579967871
0.478000000000000258,2.591412727750428413
0.479000000000000259,2.598907469270601123
0.480000000000000260,2.604001899049159352
0.481000000000000261,2.606740661214317800
0.482000000000000262,2.607169048203981099
0.483000000000000262,2.605332945971326808
0.484000000000000263,2.601278780331022666
0.485000000000000264,2.595053464468834115
0.486000000000000265,2.586704347634137591
0.487000000000000266,2.576279165032620888
0.488000000000000267,2.563825988933731370
0.489000000000000268,2.549393181004853570
0.490000000000000269,2.533029345882274797
0.491000000000000270,2.514783285986339934
0.492000000000000270,2.494703957586463794
0.493000000000000271,2.472840428119361000
0.494000000000000272,2.449241834762299064
0.495000000000000273,2.423957344260893265
