# #Autogenerated fromHID,HIE,HIP at pH: 7.4
# #h[nm],U[kJ/mol]
  0.348000,-14.910503
  0.349000,-14.842486
  0.350000,-14.774470
  0.351000,-14.697845
  0.352000,-14.621221
  0.353000,-14.536576
  0.354000,-14.451931
  0.355000,-14.361771
  0.356000,-14.271610
  0.357000,-14.175485
  0.358000,-14.079360
  0.359000,-13.976135
  0.360000,-13.872910
  0.361000,-13.764777
  0.362000,-13.656645
  0.363000,-13.545586
  0.364000,-13.434526
  0.365000,-13.320688
  0.366000,-13.206849
  0.367000,-13.095153
  0.368000,-12.983458
  0.369000,-12.869709
  0.370000,-12.755960
  0.371000,-12.640819
  0.372000,-12.525678
  0.373000,-12.410299
  0.374000,-12.294920
  0.375000,-12.176937
  0.376000,-12.058953
  0.377000,-11.939671
  0.378000,-11.820390
  0.379000,-11.700573
  0.380000,-11.580755
  0.381000,-11.459169
  0.382000,-11.337582
  0.383000,-11.216090
  0.384000,-11.094599
  0.385000,-10.971876
  0.386000,-10.849153
  0.387000,-10.727791
  0.388000,-10.606429
  0.389000,-10.489418
  0.390000,-10.372407
  0.391000,-10.257504
  0.392000,-10.142600
  0.393000,-10.032362
  0.394000, -9.922124
  0.395000, -9.815389
  0.396000, -9.708653
  0.397000, -9.606001
  0.398000, -9.503349
  0.399000, -9.405065
  0.400000, -9.306781
  0.401000, -9.210646
  0.402000, -9.114511
  0.403000, -9.023156
  0.404000, -8.931801
  0.405000, -8.845306
  0.406000, -8.758810
  0.407000, -8.679116
  0.408000, -8.599421
  0.409000, -8.524871
  0.410000, -8.450322
  0.411000, -8.381645
  0.412000, -8.312968
  0.413000, -8.250288
  0.414000, -8.187609
  0.415000, -8.128032
  0.416000, -8.068455
  0.417000, -8.006664
  0.418000, -7.944874
  0.419000, -7.884811
  0.420000, -7.824749
  0.421000, -7.761731
  0.422000, -7.698713
  0.423000, -7.632517
  0.424000, -7.566321
  0.425000, -7.499005
  0.426000, -7.431689
  0.427000, -7.362003
  0.428000, -7.292317
  0.429000, -7.223306
  0.430000, -7.154295
  0.431000, -7.086957
  0.432000, -7.019618
  0.433000, -6.958008
  0.434000, -6.896397
  0.435000, -6.839497
  0.436000, -6.782597
  0.437000, -6.728236
  0.438000, -6.673874
  0.439000, -6.623036
  0.440000, -6.572197
  0.441000, -6.528749
  0.442000, -6.485301
  0.443000, -6.443638
  0.444000, -6.401975
  0.445000, -6.361382
  0.446000, -6.320789
  0.447000, -6.278596
  0.448000, -6.236402
  0.449000, -6.193092
  0.450000, -6.149783
  0.451000, -6.103929
  0.452000, -6.058075
  0.453000, -6.004399
  0.454000, -5.950723
  0.455000, -5.892428
  0.456000, -5.834132
  0.457000, -5.773694
  0.458000, -5.713256
  0.459000, -5.651518
  0.460000, -5.589781
  0.461000, -5.523961
  0.462000, -5.458141
  0.463000, -5.396806
  0.464000, -5.335472
  0.465000, -5.275288
  0.466000, -5.215105
  0.467000, -5.157850
  0.468000, -5.100595
  0.469000, -5.047451
  0.470000, -4.994307
  0.471000, -4.946298
  0.472000, -4.898288
  0.473000, -4.855330
  0.474000, -4.812372
  0.475000, -4.769299
  0.476000, -4.726227
  0.477000, -4.684891
  0.478000, -4.643555
  0.479000, -4.602768
  0.480000, -4.561982
  0.481000, -4.519086
  0.482000, -4.476189
  0.483000, -4.432234
  0.484000, -4.388279
  0.485000, -4.344432
  0.486000, -4.300585
  0.487000, -4.256331
  0.488000, -4.212077
  0.489000, -4.172860
  0.490000, -4.133643
  0.491000, -4.100329
  0.492000, -4.067015
  0.493000, -4.037212
  0.494000, -4.007410
  0.495000, -3.982573
  0.496000, -3.957735
  0.497000, -3.935137
  0.498000, -3.912539
  0.499000, -3.890829
  0.500000, -3.869120
  0.501000, -3.848926
  0.502000, -3.828733
  0.503000, -3.808893
  0.504000, -3.789053
  0.505000, -3.767056
  0.506000, -3.745059
  0.507000, -3.724143
  0.508000, -3.703227
  0.509000, -3.681662
  0.510000, -3.660096
  0.511000, -3.638612
  0.512000, -3.617127
  0.513000, -3.595808
  0.514000, -3.574488
  0.515000, -3.553159
  0.516000, -3.531829
  0.517000, -3.510175
  0.518000, -3.488522
  0.519000, -3.463701
  0.520000, -3.438880
  0.521000, -3.414119
  0.522000, -3.389358
  0.523000, -3.362357
  0.524000, -3.335356
  0.525000, -3.306414
  0.526000, -3.277472
  0.527000, -3.244603
  0.528000, -3.211734
  0.529000, -3.177449
  0.530000, -3.143164
  0.531000, -3.105848
  0.532000, -3.068532
  0.533000, -3.030851
  0.534000, -2.993170
  0.535000, -2.957303
  0.536000, -2.921436
  0.537000, -2.882737
  0.538000, -2.844037
  0.539000, -2.802115
  0.540000, -2.760193
  0.541000, -2.716080
  0.542000, -2.671968
  0.543000, -2.627520
  0.544000, -2.583072
  0.545000, -2.536441
  0.546000, -2.489810
  0.547000, -2.440014
  0.548000, -2.390217
  0.549000, -2.337821
  0.550000, -2.285424
  0.551000, -2.229127
  0.552000, -2.172829
  0.553000, -2.112464
  0.554000, -2.052098
  0.555000, -1.992504
  0.556000, -1.932911
  0.557000, -1.866658
  0.558000, -1.800404
  0.559000, -1.732762
  0.560000, -1.665120
  0.561000, -1.595096
  0.562000, -1.525072
  0.563000, -1.454021
  0.564000, -1.382970
  0.565000, -1.310055
  0.566000, -1.237140
  0.567000, -1.165292
  0.568000, -1.093445
  0.569000, -1.020195
  0.570000, -0.946945
  0.571000, -0.876212
  0.572000, -0.805479
  0.573000, -0.734207
  0.574000, -0.662934
  0.575000, -0.592948
  0.576000, -0.522962
  0.577000, -0.453686
  0.578000, -0.384410
  0.579000, -0.316281
  0.580000, -0.248152
  0.581000, -0.183207
  0.582000, -0.118261
  0.583000, -0.054071
  0.584000,  0.010118
  0.585000,  0.070527
  0.586000,  0.130936
  0.587000,  0.187203
  0.588000,  0.243470
  0.589000,  0.297834
  0.590000,  0.352197
  0.591000,  0.399213
  0.592000,  0.446229
  0.593000,  0.488817
  0.594000,  0.531406
  0.595000,  0.566849
  0.596000,  0.602291
  0.597000,  0.631638
  0.598000,  0.660985
  0.599000,  0.683410
  0.600000,  0.705835
  0.601000,  0.722842
  0.602000,  0.739849
  0.603000,  0.752491
  0.604000,  0.765133
  0.605000,  0.772650
  0.606000,  0.780166
  0.607000,  0.785295
  0.608000,  0.790424
  0.609000,  0.794645
  0.610000,  0.798865
  0.611000,  0.801886
  0.612000,  0.804907
  0.613000,  0.806204
