#Name  kT        Joules        kJ/mol    
GLY    0.697     2.887E-21     1.743     
ALA    1.410     5.838E-21     3.524     
ARG    1.627     6.738E-21     4.067     
ASN    1.726     7.149E-21     4.315     
ASP    0.812     3.362E-21     2.029     
CYS    1.704     7.058E-21     4.260     
GLN    1.649     6.830E-21     4.123     
GLU    1.594     6.600E-21     3.984     
HID    1.444     5.980E-21     3.609     
HIE    1.444     5.980E-21     3.609     
HIP    1.444     5.980E-21     3.609     
HIS    1.444     5.980E-21     3.609     
ILE    1.264     5.235E-21     3.160     
LEU    1.252     5.187E-21     3.131     
LYS    1.444     5.980E-21     3.609     
MET    1.560     6.462E-21     3.900     
PHE    1.693     7.013E-21     4.233     
PRO    1.371     5.681E-21     3.429     
SER    1.671     6.922E-21     4.178     
THR    1.455     6.027E-21     3.638     
TRP    1.952     8.086E-21     4.880     
TYR    1.549     6.415E-21     3.872     
VAL    1.276     5.283E-21     3.189     
CYM    1.704     7.058E-21     4.260     
PAS    0.812     3.362E-21     2.029     
PGL    1.594     6.600E-21     3.984     
BGL    0.917     3.797E-21     2.292     
MAN    1.283     5.315E-21     3.208     
FUC    1.360     5.633E-21     3.400     
NGL    1.295     5.363E-21     3.237     
NGA    1.163     4.816E-21     2.907     
NC4    0.523     2.165E-21     1.307     
MAS    0.401     1.659E-21     1.002     
DMP    0.631     2.613E-21     1.577     
MMM    0.795     3.294E-21     1.988     
BTE    0.876     3.630E-21     2.191     
CHO    0.523     2.165E-21     1.307     
CHL    1.096     4.540E-21     2.740     
