# Generated by Parinaz Mosaddeghi Amini at University College Dublin, March 2023
# PMF between COM of side chain analogos GLN and Iron (fe-111) slab.
# 
# z(nm), (KJ/mol)
  0.223781, 52.883529
  0.225167, 47.960976
  0.226553, 43.018565
  0.227938, 38.074195
  0.229324, 33.151090
  0.230710, 28.266201
  0.232096, 23.438494
  0.233481, 18.694755
  0.234867, 14.053242
  0.236253,  9.540271
  0.237639,  5.184211
  0.239024,  1.010064
  0.240410, -2.952612
  0.241796, -6.673841
  0.243182,-10.134557
  0.244567,-13.319093
  0.245953,-16.224783
  0.247339,-18.866116
  0.248725,-21.265818
  0.250110,-23.453927
  0.251496,-25.469713
  0.252882,-27.353721
  0.254268,-29.132586
  0.255653,-30.826342
  0.257039,-32.442896
  0.258425,-33.978732
  0.259811,-35.426954
  0.261196,-36.776650
  0.262582,-38.029042
  0.263968,-39.191077
  0.265354,-40.270399
  0.266739,-41.267864
  0.268125,-42.181195
  0.269511,-43.005530
  0.270897,-43.747676
  0.272282,-44.431181
  0.273668,-45.090778
  0.275054,-45.741005
  0.276440,-46.374789
  0.277825,-46.962901
  0.279211,-47.465646
  0.280597,-47.850993
  0.281983,-48.106961
  0.283368,-48.239286
  0.284754,-48.264389
  0.286140,-48.205060
  0.287526,-48.079069
  0.288911,-47.906265
  0.290297,-47.693783
  0.291683,-47.454748
  0.293069,-47.201111
  0.294454,-46.933119
  0.295840,-46.666047
  0.297226,-46.408465
  0.298612,-46.172200
  0.299997,-45.953014
  0.301383,-45.759753
  0.302769,-45.585548
  0.304155,-45.420736
  0.305540,-45.259928
  0.306926,-45.083670
  0.308312,-44.888537
  0.309698,-44.676143
  0.311083,-44.445032
  0.312469,-44.184382
  0.313855,-43.912429
  0.315241,-43.626465
  0.316626,-43.331309
  0.318012,-43.025687
  0.319398,-42.701959
  0.320784,-42.353891
  0.322169,-41.966630
  0.323555,-41.530248
  0.324941,-41.043580
  0.326327,-40.502049
  0.327712,-39.916049
  0.329098,-39.298147
  0.330484,-38.660733
  0.331870,-38.021637
  0.333255,-37.388810
  0.334641,-36.770547
  0.336027,-36.161236
  0.337413,-35.568888
  0.338798,-34.987512
  0.340184,-34.423156
  0.341570,-33.868771
  0.342956,-33.334500
  0.344341,-32.806665
  0.345727,-32.282317
  0.347113,-31.753158
  0.348499,-31.223531
  0.349884,-30.681910
  0.351270,-30.135999
  0.352656,-29.596118
  0.354042,-29.084782
  0.355427,-28.610263
  0.356813,-28.184388
  0.358199,-27.809462
  0.359585,-27.492208
  0.360970,-27.228261
  0.362356,-27.006552
  0.363742,-26.824347
  0.365128,-26.671787
  0.366513,-26.542641
  0.367899,-26.426954
  0.369285,-26.321873
  0.370671,-26.220080
  0.372057,-26.113478
  0.373442,-26.001999
  0.374828,-25.878199
  0.376214,-25.732884
  0.377600,-25.563443
  0.378985,-25.353531
  0.380371,-25.108968
  0.381757,-24.823197
  0.383143,-24.501102
  0.384528,-24.149471
  0.385914,-23.771313
  0.387300,-23.381463
  0.388686,-22.983382
  0.390071,-22.580073
  0.391457,-22.181126
  0.392843,-21.776086
  0.394229,-21.373438
  0.395614,-20.963744
  0.397000,-20.546128
  0.398386,-20.117698
  0.399772,-19.683373
  0.401157,-19.236594
  0.402543,-18.791863
  0.403929,-18.351545
  0.405315,-17.918002
  0.406700,-17.499484
  0.408086,-17.101089
  0.409472,-16.722171
  0.410858,-16.366092
  0.412243,-16.031994
  0.413629,-15.714990
  0.415015,-15.411482
  0.416401,-15.122700
  0.417786,-14.838304
  0.419172,-14.554742
  0.420558,-14.274804
  0.421944,-13.988198
  0.423329,-13.697708
  0.424715,-13.396759
  0.426101,-13.087111
  0.427487,-12.768258
  0.428872,-12.442408
  0.430258,-12.113569
  0.431644,-11.787471
  0.433030,-11.468092
  0.434415,-11.165030
  0.435801,-10.878302
  0.437187,-10.619221
  0.438573,-10.386272
  0.439958,-10.181836
  0.441344,-10.007425
  0.442730, -9.871160
  0.444116, -9.756450
  0.445501, -9.669536
  0.446887, -9.603727
  0.448273, -9.557703
  0.449659, -9.528630
  0.451044, -9.506434
  0.452430, -9.492645
  0.453816, -9.480357
  0.455202, -9.463272
  0.456587, -9.442471
  0.457973, -9.411855
  0.459359, -9.369249
  0.460745, -9.314458
  0.462130, -9.244373
  0.463516, -9.160952
  0.464902, -9.068662
  0.466288, -8.966085
  0.467673, -8.859740
  0.469059, -8.748120
  0.470445, -8.636436
  0.471831, -8.524885
  0.473216, -8.409849
  0.474602, -8.288520
  0.475988, -8.166247
  0.477374, -8.036932
  0.478759, -7.893859
  0.480145, -7.736541
  0.481531, -7.566326
  0.482917, -7.379805
  0.484302, -7.174854
  0.485688, -6.946803
  0.487074, -6.700074
  0.488460, -6.436055
  0.489845, -6.154578
  0.491231, -5.847051
  0.492617, -5.526036
  0.494003, -5.188043
  0.495388, -4.836499
  0.496774, -4.467406
  0.498160, -4.084759
  0.499546, -3.692014
  0.500931, -3.285665
  0.502317, -2.875110
  0.503703, -2.454071
  0.505089, -2.026661
  0.506474, -1.598134
  0.507860, -1.174661
  0.509246, -0.763109
  0.510632, -0.370832
  0.512017,  0.000734
  0.513403,  0.343695
  0.514789,  0.659327
  0.516175,  0.944778
  0.517561,  1.203687
  0.518946,  1.437947
  0.520332,  1.653753
  0.521718,  1.849739
  0.523104,  2.035909
  0.524489,  2.207455
  0.525875,  2.374495
  0.527261,  2.524518
  0.528647,  2.662915
  0.530032,  2.783852
  0.531418,  2.882321
  0.532804,  2.951737
  0.534190,  2.997487
  0.535575,  3.016032
  0.536961,  3.004992
  0.538347,  2.966492
  0.539733,  2.900598
  0.541118,  2.814164
  0.542504,  2.707343
  0.543890,  2.579981
  0.545276,  2.434889
  0.546661,  2.276324
  0.548047,  2.100538
  0.549433,  1.912744
  0.550819,  1.714105
  0.552204,  1.505812
  0.553590,  1.289656
  0.554976,  1.068802
  0.556362,  0.848037
  0.557747,  0.628121
  0.559133,  0.410191
  0.560519,  0.193082
  0.561905, -0.023109
  0.563290, -0.237784
  0.564676, -0.454558
  0.566062, -0.668215
  0.567448, -0.883321
