# Generated by Parinaz Mosaddeghi Amini at University College Dublin, March 2023
# PMF between COM of side chain analogos CYS and Iron (fe-111) slab.
# 
# z(nm), (KJ/mol)
  0.588872, -5.120704
  0.590570, -5.131797
  0.592269, -5.133747
  0.593967, -5.142473
  0.595665, -5.149975
  0.597363, -5.149837
  0.599061, -5.148909
  0.600760, -5.146528
  0.602458, -5.141492
  0.604156, -5.138360
  0.605854, -5.135064
  0.607552, -5.128639
  0.609251, -5.121760
  0.610949, -5.110402
  0.612647, -5.098643
  0.614345, -5.081621
  0.616043, -5.067532
  0.617741, -5.048387
  0.619440, -5.024177
  0.621138, -4.997278
  0.622836, -4.963098
  0.624534, -4.927053
  0.626232, -4.883616
  0.627931, -4.834327
  0.629629, -4.785775
  0.631327, -4.728560
  0.633025, -4.668265
  0.634723, -4.607672
  0.636422, -4.543075
  0.638120, -4.479932
  0.639818, -4.416604
  0.641516, -4.355996
  0.643214, -4.294409
  0.644913, -4.237774
  0.646611, -4.183391
  0.648309, -4.135107
  0.650007, -4.090366
  0.651705, -4.051026
  0.653404, -4.015050
  0.655102, -3.984359
  0.656800, -3.957447
  0.658498, -3.934944
  0.660196, -3.914894
  0.661895, -3.899977
  0.663593, -3.886765
  0.665291, -3.877770
  0.666989, -3.865696
  0.668687, -3.861634
  0.670386, -3.854591
  0.672084, -3.845725
  0.673782, -3.844825
  0.675480, -3.842289
  0.677178, -3.838194
  0.678877, -3.835103
  0.680575, -3.831011
  0.682273, -3.825304
  0.683971, -3.817713
  0.685669, -3.805111
  0.687368, -3.789951
  0.689066, -3.767444
  0.690764, -3.741475
  0.692462, -3.710404
  0.694160, -3.668867
  0.695859, -3.622993
  0.697557, -3.567842
  0.699255, -3.506047
  0.700953, -3.440151
  0.702651, -3.367010
  0.704350, -3.285005
  0.706048, -3.197897
  0.707746, -3.107054
  0.709444, -3.009756
  0.711142, -2.910588
  0.712841, -2.814178
  0.714539, -2.713137
  0.716237, -2.616239
  0.717935, -2.524519
  0.719633, -2.435383
  0.721332, -2.347111
  0.723030, -2.266463
  0.724728, -2.189665
  0.726426, -2.118156
  0.728124, -2.052816
  0.729823, -1.989403
  0.731521, -1.927409
  0.733219, -1.867231
  0.734917, -1.809172
  0.736615, -1.751591
  0.738314, -1.696621
  0.740012, -1.639666
  0.741710, -1.582296
  0.743408, -1.530385
  0.745106, -1.475589
  0.746805, -1.424211
  0.748503, -1.371320
  0.750201, -1.325280
  0.751899, -1.283251
  0.753597, -1.246576
  0.755296, -1.215973
  0.756994, -1.192351
  0.758692, -1.171766
  0.760390, -1.156112
  0.762088, -1.145010
  0.763787, -1.134611
  0.765485, -1.127397
  0.767183, -1.123647
  0.768881, -1.123302
  0.770579, -1.119419
  0.772278, -1.113906
  0.773976, -1.107861
  0.775674, -1.097123
  0.777372, -1.087084
  0.779070, -1.072834
  0.780769, -1.065910
  0.782467, -1.056184
  0.784165, -1.046108
  0.785863, -1.037348
  0.787561, -1.032395
  0.789260, -1.036365
  0.790958, -1.041348
  0.792656, -1.052891
  0.794354, -1.068144
  0.796052, -1.090788
  0.797750, -1.118998
  0.799449, -1.155617
  0.801147, -1.198047
  0.802845, -1.243303
  0.804543, -1.293091
  0.806241, -1.347243
  0.807940, -1.401669
  0.809638, -1.461303
  0.811336, -1.520812
  0.813034, -1.582096
  0.814732, -1.641808
  0.816431, -1.704019
  0.818129, -1.766086
  0.819827, -1.826996
  0.821525, -1.885258
  0.823223, -1.947901
  0.824922, -2.008042
  0.826620, -2.067537
  0.828318, -2.129859
  0.830016, -2.191438
  0.831714, -2.253860
  0.833413, -2.320198
  0.835111, -2.381697
  0.836809, -2.444475
  0.838507, -2.509818
  0.840205, -2.568996
  0.841904, -2.626676
  0.843602, -2.685697
  0.845300, -2.740157
  0.846998, -2.793575
