# Generated by Parinaz Mosaddeghi Amini at University College Dublin, March 2023
# PMF between COM of side chain analogos PHE and Iron (fe-111) slab.
# 
# z(nm), (KJ/mol)
  0.224215, 42.884704
  0.225827, 36.368798
  0.227440, 29.806090
  0.229052, 23.240510
  0.230665, 16.720837
  0.232277, 10.296328
  0.233889,  4.020271
  0.235502, -2.056419
  0.237114, -7.887361
  0.238727,-13.433505
  0.240339,-18.663573
  0.241951,-23.549249
  0.243564,-28.067031
  0.245176,-32.192812
  0.246789,-35.918532
  0.248401,-39.233595
  0.250013,-42.162143
  0.251626,-44.737526
  0.253238,-47.007732
  0.254850,-49.023221
  0.256463,-50.835869
  0.258075,-52.486588
  0.259688,-54.007059
  0.261300,-55.416254
  0.262912,-56.718001
  0.264525,-57.899163
  0.266137,-58.935874
  0.267750,-59.804956
  0.269362,-60.499671
  0.270974,-61.026582
  0.272587,-61.414984
  0.274199,-61.713510
  0.275812,-61.960536
  0.277424,-62.185128
  0.279036,-62.374911
  0.280649,-62.504791
  0.282261,-62.520290
  0.283874,-62.364465
  0.285486,-61.999860
  0.287098,-61.420771
  0.288711,-60.653298
  0.290323,-59.753893
  0.291936,-58.788395
  0.293548,-57.826791
  0.295160,-56.899071
  0.296773,-56.013438
  0.298385,-55.146071
  0.299997,-54.256485
  0.301610,-53.301148
  0.303222,-52.248271
  0.304835,-51.105446
  0.306447,-49.870887
  0.308059,-48.573848
  0.309672,-47.241404
  0.311284,-45.897415
  0.312897,-44.560898
  0.314509,-43.246482
  0.316121,-41.960407
  0.317734,-40.713962
  0.319346,-39.516484
  0.320959,-38.360695
  0.322571,-37.254296
  0.324183,-36.203770
  0.325796,-35.217914
  0.327408,-34.290244
  0.329021,-33.420928
  0.330633,-32.603915
  0.332245,-31.833821
  0.333858,-31.104797
  0.335470,-30.419713
  0.337083,-29.777858
  0.338695,-29.184414
  0.340307,-28.644532
  0.341920,-28.146468
  0.343532,-27.692012
  0.345144,-27.271891
  0.346757,-26.876354
  0.348369,-26.502427
  0.349982,-26.146570
  0.351594,-25.815079
  0.353206,-25.505514
  0.354819,-25.219480
  0.356431,-24.967268
  0.358044,-24.751268
  0.359656,-24.569554
  0.361268,-24.421602
  0.362881,-24.299836
  0.364493,-24.194832
  0.366106,-24.105441
  0.367718,-24.017671
  0.369330,-23.928044
  0.370943,-23.831717
  0.372555,-23.726770
  0.374168,-23.623216
  0.375780,-23.526769
  0.377392,-23.441915
  0.379005,-23.371458
  0.380617,-23.306980
  0.382229,-23.248913
  0.383842,-23.182735
  0.385454,-23.102635
  0.387067,-22.997248
  0.388679,-22.860605
  0.390291,-22.693792
  0.391904,-22.498288
  0.393516,-22.273193
  0.395129,-22.024375
  0.396741,-21.753528
  0.398353,-21.461609
  0.399966,-21.151562
  0.401578,-20.834279
  0.403191,-20.505819
  0.404803,-20.176918
  0.406415,-19.852072
  0.408028,-19.535259
  0.409640,-19.225922
  0.411253,-18.923016
  0.412865,-18.632585
  0.414477,-18.346900
  0.416090,-18.062590
  0.417702,-17.781517
  0.419315,-17.499074
  0.420927,-17.222126
  0.422539,-16.948362
  0.424152,-16.686335
  0.425764,-16.429267
  0.427376,-16.181792
  0.428989,-15.949638
  0.430601,-15.733845
  0.432214,-15.535402
  0.433826,-15.358133
  0.435438,-15.196372
  0.437051,-15.052293
  0.438663,-14.924776
  0.440276,-14.805416
  0.441888,-14.690215
  0.443500,-14.572046
  0.445113,-14.446011
  0.446725,-14.306975
  0.448338,-14.148836
  0.449950,-13.970805
  0.451562,-13.773459
  0.453175,-13.569292
  0.454787,-13.357901
  0.456400,-13.143224
  0.458012,-12.936768
  0.459624,-12.737452
  0.461237,-12.545478
  0.462849,-12.360061
  0.464462,-12.176371
  0.466074,-11.986434
  0.467686,-11.792790
  0.469299,-11.581317
  0.470911,-11.359887
  0.472523,-11.118962
  0.474136,-10.866427
  0.475748,-10.593401
  0.477361,-10.309667
  0.478973,-10.013275
  0.480585, -9.713675
  0.482198, -9.399742
  0.483810, -9.081431
  0.485423, -8.760770
  0.487035, -8.429386
  0.488647, -8.089802
  0.490260, -7.746549
  0.491872, -7.404954
  0.493485, -7.087743
  0.495097, -6.811214
  0.496709, -6.592973
  0.498322, -6.444030
  0.499934, -6.381025
  0.501547, -6.386630
  0.503159, -6.453237
  0.504771, -6.558990
  0.506384, -6.694725
  0.507996, -6.839376
  0.509609, -6.983160
  0.511221, -7.121164
  0.512833, -7.253731
  0.514446, -7.375332
  0.516058, -7.483138
  0.517670, -7.574646
  0.519283, -7.645435
  0.520895, -7.690627
  0.522508, -7.708791
  0.524120, -7.694531
  0.525732, -7.642462
  0.527345, -7.556754
  0.528957, -7.433362
  0.530570, -7.267445
  0.532182, -7.064081
  0.533794, -6.819643
  0.535407, -6.537167
  0.537019, -6.212787
  0.538632, -5.858055
  0.540244, -5.481962
  0.541856, -5.086619
  0.543469, -4.686154
  0.545081, -4.293842
  0.546694, -3.914538
  0.548306, -3.561958
  0.549918, -3.242476
  0.551531, -2.966623
  0.553143, -2.734999
  0.554755, -2.552126
  0.556368, -2.419638
  0.557980, -2.328146
  0.559593, -2.274878
  0.561205, -2.257104
  0.562817, -2.263671
  0.564430, -2.293934
  0.566042, -2.344039
  0.567655, -2.409731
  0.569267, -2.486405
  0.570879, -2.571822
  0.572492, -2.663911
  0.574104, -2.754176
  0.575717, -2.837089
  0.577329, -2.908391
  0.578941, -2.964359
  0.580554, -3.012128
  0.582166, -3.045788
  0.583779, -3.061760
  0.585391, -3.071026
  0.587003, -3.074527
  0.588616, -3.067487
  0.590228, -3.051295
  0.591841, -3.026388
  0.593453, -2.991749
  0.595065, -2.944616
  0.596678, -2.882271
  0.598290, -2.808262
  0.599902, -2.718798
  0.601515, -2.612986
  0.603127, -2.495881
  0.604740, -2.364269
  0.606352, -2.223560
  0.607964, -2.073287
  0.609577, -1.915168
  0.611189, -1.751427
  0.612802, -1.587642
  0.614414, -1.420824
  0.616026, -1.254977
  0.617639, -1.092926
  0.619251, -0.931006
  0.620864, -0.771524
  0.622476, -0.615702
  0.624088, -0.467502
  0.625701, -0.325669
  0.627313, -0.198109
  0.628926, -0.083991
  0.630538,  0.019890
  0.632150,  0.100972
  0.633763,  0.160456
  0.635375,  0.202478
  0.636988,  0.222898
  0.638600,  0.224014
  0.640212,  0.207673
  0.641825,  0.173002
  0.643437,  0.126763
  0.645049,  0.070742
  0.646662,  0.005345
  0.648274, -0.065669
  0.649887, -0.141960
  0.651499, -0.218793
  0.653111, -0.297858
  0.654724, -0.372379
  0.656336, -0.445397
  0.657949, -0.520264
  0.659561, -0.594875
  0.661173, -0.667171
  0.662786, -0.741132
  0.664398, -0.814615
  0.666011, -0.891049
  0.667623, -0.971666
  0.669235, -1.058793
  0.670848, -1.155930
  0.672460, -1.256914
  0.674073, -1.366780
  0.675685, -1.479789
  0.677297, -1.600856
  0.678910, -1.724000
  0.680522, -1.848688
  0.682135, -1.970180
  0.683747, -2.092420
  0.685359, -2.207559
  0.686972, -2.316079
  0.688584, -2.415304
  0.690196, -2.505147
  0.691809, -2.584613
  0.693421, -2.651561
  0.695034, -2.705930
  0.696646, -2.747122
  0.698258, -2.778662
  0.699871, -2.798618
  0.701483, -2.812015
  0.703096, -2.819698
  0.704708, -2.823945
  0.706320, -2.830369
  0.707933, -2.841582
  0.709545, -2.856107
  0.711158, -2.879846
  0.712770, -2.907295
  0.714382, -2.940946
  0.715995, -2.980536
  0.717607, -3.023521
  0.719220, -3.065309
  0.720832, -3.101733
  0.722444, -3.135052
  0.724057, -3.162367
  0.725669, -3.180440
  0.727281, -3.193677
  0.728894, -3.196024
  0.730506, -3.191586
  0.732119, -3.178188
  0.733731, -3.156600
  0.735343, -3.125948
  0.736956, -3.094351
  0.738568, -3.058808
  0.740181, -3.023564
  0.741793, -2.983922
  0.743405, -2.945521
  0.745018, -2.903198
  0.746630, -2.860969
  0.748243, -2.816868
  0.749855, -2.770980
  0.751467, -2.725672
  0.753080, -2.683515
  0.754692, -2.645148
  0.756305, -2.604606
  0.757917, -2.564729
  0.759529, -2.530387
  0.761142, -2.497919
  0.762754, -2.469634
  0.764367, -2.441508
  0.765979, -2.417735
  0.767591, -2.393218
  0.769204, -2.372061
  0.770816, -2.350498
  0.772428, -2.330007
  0.774041, -2.302250
  0.775653, -2.273711
  0.777266, -2.237820
  0.778878, -2.200662
  0.780490, -2.157037
  0.782103, -2.105026
  0.783715, -2.048601
  0.785328, -1.987502
  0.786940, -1.921272
  0.788552, -1.850910
  0.790165, -1.778595
  0.791777, -1.699501
  0.793390, -1.620300
  0.795002, -1.542538
  0.796614, -1.461434
  0.798227, -1.383695
  0.799839, -1.302873
  0.801452, -1.226479
  0.803064, -1.148120
  0.804676, -1.074554
  0.806289, -0.999729
  0.807901, -0.925975
  0.809514, -0.853559
  0.811126, -0.786008
  0.812738, -0.719468
  0.814351, -0.654838
  0.815963, -0.592596
  0.817575, -0.535908
  0.819188, -0.482845
  0.820800, -0.433489
  0.822413, -0.388299
  0.824025, -0.350659
  0.825637, -0.315732
  0.827250, -0.282739
  0.828862, -0.251784
  0.830475, -0.222555
  0.832087, -0.198036
  0.833699, -0.174035
  0.835312, -0.146736
  0.836924, -0.118100
  0.838537, -0.085521
  0.840149, -0.054897
  0.841761, -0.024109
  0.843374,  0.010321
  0.844986,  0.049743
  0.846599,  0.092815
  0.848211,  0.135217
  0.849823,  0.178377
  0.851436,  0.221306
  0.853048,  0.265555
  0.854661,  0.308376
  0.856273,  0.349921
  0.857885,  0.386067
  0.859498,  0.418261
  0.861110,  0.440479
  0.862722,  0.457905
  0.864335,  0.469849
  0.865947,  0.474455
  0.867560,  0.470913
  0.869172,  0.468937
  0.870784,  0.463123
  0.872397,  0.450672
  0.874009,  0.437931
  0.875622,  0.423289
  0.877234,  0.411323
  0.878846,  0.400450
  0.880459,  0.387463
  0.882071,  0.380040
  0.883684,  0.373881
  0.885296,  0.372760
  0.886908,  0.372123
  0.888521,  0.371487
  0.890133,  0.371509
  0.891746,  0.374065
  0.893358,  0.372494
  0.894970,  0.373336
  0.896583,  0.370207
  0.898195,  0.365905
  0.899808,  0.356584
  0.901420,  0.345717
  0.903032,  0.329857
  0.904645,  0.309321
  0.906257,  0.286787
  0.907869,  0.255696
  0.909482,  0.223982
  0.911094,  0.187500
  0.912707,  0.148434
  0.914319,  0.108955
  0.915931,  0.068411
  0.917544,  0.029199
  0.919156, -0.008508
  0.920769, -0.044201
  0.922381, -0.075061
  0.923993, -0.099233
  0.925606, -0.123057
  0.927218, -0.139280
  0.928831, -0.158028
  0.930443, -0.174004
  0.932055, -0.189903
  0.933668, -0.206009
  0.935280, -0.225328
  0.936893, -0.250981
  0.938505, -0.279101
  0.940117, -0.315207
  0.941730, -0.357546
  0.943342, -0.408262
  0.944954, -0.460221
  0.946567, -0.519099
  0.948179, -0.580483
  0.949792, -0.640775
  0.951404, -0.702095
  0.953016, -0.761949
  0.954629, -0.819989
  0.956241, -0.873429
  0.957854, -0.924095
  0.959466, -0.970258
  0.961078, -1.012012
  0.962691, -1.051937
  0.964303, -1.089017
  0.965916, -1.118664
