# Generated by Parinaz Mosaddeghi Amini at University College Dublin, March 2023
# PMF between COM of side chain analogos TYR and Iron (fe-111) slab.
# 
# z(nm), (KJ/mol)
  0.225329, 23.566161
  0.226605, 17.929412
  0.227882, 12.300084
  0.229159,  6.701537
  0.230436,  1.164121
  0.231713, -4.284223
  0.232990, -9.615134
  0.234267,-14.796414
  0.235544,-19.802293
  0.236820,-24.606456
  0.238097,-29.184353
  0.239374,-33.519052
  0.240651,-37.586502
  0.241928,-41.375994
  0.243205,-44.876868
  0.244482,-48.095727
  0.245758,-51.048394
  0.247035,-53.762592
  0.248312,-56.254669
  0.249589,-58.549376
  0.250866,-60.665760
  0.252143,-62.621777
  0.253420,-64.429367
  0.254697,-66.100081
  0.255973,-67.644362
  0.257250,-69.070987
  0.258527,-70.380819
  0.259804,-71.578755
  0.261081,-72.669139
  0.262358,-73.662257
  0.263635,-74.565558
  0.264912,-75.395111
  0.266188,-76.164559
  0.267465,-76.885436
  0.268742,-77.562975
  0.270019,-78.191310
  0.271296,-78.752505
  0.272573,-79.225178
  0.273850,-79.586199
  0.275127,-79.826396
  0.276403,-79.947744
  0.277680,-79.964980
  0.278957,-79.896833
  0.280234,-79.754911
  0.281511,-79.548937
  0.282788,-79.272455
  0.284065,-78.922833
  0.285341,-78.495241
  0.286618,-77.990785
  0.287895,-77.418843
  0.289172,-76.790492
  0.290449,-76.111570
  0.291726,-75.394778
  0.293003,-74.645711
  0.294280,-73.876045
  0.295556,-73.081659
  0.296833,-72.265160
  0.298110,-71.416168
  0.299387,-70.540000
  0.300664,-69.637808
  0.301941,-68.694345
  0.303218,-67.713469
  0.304495,-66.689914
  0.305771,-65.619469
  0.307048,-64.501780
  0.308325,-63.337058
  0.309602,-62.132350
  0.310879,-60.895230
  0.312156,-59.645635
  0.313433,-58.396854
  0.314709,-57.152036
  0.315986,-55.933506
  0.317263,-54.749810
  0.318540,-53.600889
  0.319817,-52.485215
  0.321094,-51.407676
  0.322371,-50.354257
  0.323648,-49.330702
  0.324924,-48.321122
  0.326201,-47.334220
  0.327478,-46.362590
  0.328755,-45.407012
  0.330032,-44.470117
  0.331309,-43.552993
  0.332586,-42.658384
  0.333863,-41.789722
  0.335139,-40.950748
  0.336416,-40.141489
  0.337693,-39.354339
  0.338970,-38.604489
  0.340247,-37.880136
  0.341524,-37.187964
  0.342801,-36.526362
  0.344078,-35.895199
  0.345354,-35.298988
  0.346631,-34.730814
  0.347908,-34.190682
  0.349185,-33.669684
  0.350462,-33.168732
  0.351739,-32.680248
  0.353016,-32.199274
  0.354292,-31.721009
  0.355569,-31.246979
  0.356846,-30.775047
  0.358123,-30.312267
  0.359400,-29.868544
  0.360677,-29.443381
  0.361954,-29.045501
  0.363231,-28.678255
  0.364507,-28.345465
  0.365784,-28.043705
  0.367061,-27.774084
  0.368338,-27.529426
  0.369615,-27.317495
  0.370892,-27.127560
