# #Autogenerated fromHID,HIE,HIP at pH: 7.4
# #h[nm],U[kJ/mol]
  0.068000,258.467079
  0.069000,256.982684
  0.070000,255.498290
  0.071000,254.189347
  0.072000,252.880403
  0.073000,251.591907
  0.074000,250.303411
  0.075000,249.020170
  0.076000,247.736929
  0.077000,246.433310
  0.078000,245.129691
  0.079000,243.804112
  0.080000,242.478533
  0.081000,241.118725
  0.082000,239.758918
  0.083000,238.356644
  0.084000,236.954369
  0.085000,235.506149
  0.086000,234.057929
  0.087000,232.557120
  0.088000,231.056311
  0.089000,229.498785
  0.090000,227.941258
  0.091000,226.319780
  0.092000,224.698301
  0.093000,223.007110
  0.094000,221.315918
  0.095000,219.549938
  0.096000,217.783959
  0.097000,215.937710
  0.098000,214.091461
  0.099000,212.160565
  0.100000,210.229669
  0.101000,208.215335
  0.102000,206.201000
  0.103000,204.109315
  0.104000,202.017629
  0.105000,199.861665
  0.106000,197.705701
  0.107000,195.506094
  0.108000,193.306488
  0.109000,191.085482
  0.110000,188.864476
  0.111000,186.639800
  0.112000,184.415125
  0.113000,182.202148
  0.114000,179.989170
  0.115000,177.794025
  0.116000,175.598881
  0.117000,173.427313
  0.118000,171.255746
  0.119000,169.116262
  0.120000,166.976779
  0.121000,164.880533
  0.122000,162.784288
  0.123000,160.744733
  0.124000,158.705177
  0.125000,156.732404
  0.126000,154.759631
  0.127000,152.857880
  0.128000,150.956129
  0.129000,149.113613
  0.130000,147.271098
  0.131000,145.467012
  0.132000,143.662927
  0.133000,141.880017
  0.134000,140.097107
  0.135000,138.324905
  0.136000,136.552702
  0.137000,134.781519
  0.138000,133.010337
  0.139000,131.243259
  0.140000,129.476182
  0.141000,127.713188
  0.142000,125.950193
  0.143000,124.198825
  0.144000,122.447456
  0.145000,120.712668
  0.146000,118.977879
  0.147000,117.271227
  0.148000,115.564574
  0.149000,113.897352
  0.150000,112.230131
  0.151000,110.606456
  0.152000,108.982781
  0.153000,107.401133
  0.154000,105.819485
  0.155000,104.271219
  0.156000,102.722952
  0.157000,101.197504
  0.158000, 99.672056
  0.159000, 98.156117
  0.160000, 96.640177
  0.161000, 95.122562
  0.162000, 93.604947
  0.163000, 92.076318
  0.164000, 90.547690
  0.165000, 89.008933
  0.166000, 87.470176
  0.167000, 85.935219
  0.168000, 84.400262
  0.169000, 82.882288
  0.170000, 81.364313
  0.171000, 79.882417
  0.172000, 78.400521
  0.173000, 76.969941
  0.174000, 75.539362
  0.175000, 74.163633
  0.176000, 72.787905
  0.177000, 71.460452
  0.178000, 70.132999
  0.179000, 68.842825
  0.180000, 67.552650
  0.181000, 66.287673
  0.182000, 65.022695
  0.183000, 63.771719
  0.184000, 62.520743
  0.185000, 61.273842
  0.186000, 60.026941
  0.187000, 58.781542
  0.188000, 57.536143
  0.189000, 56.295423
  0.190000, 55.054702
  0.191000, 53.825326
  0.192000, 52.595949
  0.193000, 51.387510
  0.194000, 50.179072
  0.195000, 48.999680
  0.196000, 47.820289
  0.197000, 46.678553
  0.198000, 45.536818
  0.199000, 44.437259
  0.200000, 43.337700
  0.201000, 42.275634
  0.202000, 41.213569
  0.203000, 40.189744
  0.204000, 39.165920
  0.205000, 38.165946
  0.206000, 37.165972
  0.207000, 36.183896
  0.208000, 35.201820
  0.209000, 34.230744
  0.210000, 33.259668
  0.211000, 32.294319
  0.212000, 31.328970
  0.213000, 30.371291
  0.214000, 29.413612
  0.215000, 28.469169
  0.216000, 27.524726
  0.217000, 26.603624
  0.218000, 25.682521
  0.219000, 24.792769
  0.220000, 23.903017
  0.221000, 23.050794
  0.222000, 22.198572
  0.223000, 21.386250
  0.224000, 20.573929
  0.225000, 19.793441
  0.226000, 19.012953
  0.227000, 18.257445
  0.228000, 17.501937
  0.229000, 16.759144
  0.230000, 16.016351
  0.231000, 15.284675
  0.232000, 14.552999
  0.233000, 13.833872
  0.234000, 13.114745
  0.235000, 12.417501
  0.236000, 11.720257
  0.237000, 11.052836
  0.238000, 10.385414
  0.239000,  9.749123
  0.240000,  9.112833
  0.241000,  8.502749
  0.242000,  7.892665
  0.243000,  7.307082
  0.244000,  6.721500
  0.245000,  6.148576
  0.246000,  5.575652
  0.247000,  5.012958
  0.248000,  4.450265
  0.249000,  3.898636
  0.250000,  3.347007
  0.251000,  2.811859
  0.252000,  2.276711
  0.253000,  1.763547
  0.254000,  1.250383
  0.255000,  0.759129
  0.256000,  0.267875
  0.257000, -0.192100
  0.258000, -0.652075
  0.259000, -1.079681
  0.260000, -1.507286
  0.261000, -1.907259
  0.262000, -2.307232
  0.263000, -2.681270
  0.264000, -3.055308
  0.265000, -3.399174
  0.266000, -3.743039
  0.267000, -4.065339
  0.268000, -4.387639
  0.269000, -4.690884
  0.270000, -4.994129
  0.271000, -5.280354
  0.272000, -5.566579
  0.273000, -5.841416
  0.274000, -6.116254
  0.275000, -6.380423
  0.276000, -6.644592
  0.277000, -6.899734
  0.278000, -7.154876
  0.279000, -7.403009
  0.280000, -7.651142
  0.281000, -7.886771
  0.282000, -8.122400
  0.283000, -8.341935
  0.284000, -8.561470
  0.285000, -8.764754
  0.286000, -8.968038
  0.287000, -9.148942
  0.288000, -9.329847
  0.289000, -9.489026
  0.290000, -9.648205
  0.291000, -9.788226
  0.292000, -9.928247
  0.293000,-10.050637
  0.294000,-10.173026
  0.295000,-10.280405
  0.296000,-10.387783
  0.297000,-10.489449
  0.298000,-10.591114
  0.299000,-10.692549
  0.300000,-10.793984
  0.301000,-10.890773
  0.302000,-10.987563
  0.303000,-11.075850
  0.304000,-11.164137
  0.305000,-11.252534
  0.306000,-11.340932
  0.307000,-11.423883
  0.308000,-11.506833
  0.309000,-11.585494
