#Material name, surface folder, Hamaker file, default shape
Ag100-pmfp,surface_pmfp/Ag100-pmfp,hamaker/Null.dat,1
Ag110-pmfp,surface_pmfp/Ag110-pmfp,hamaker/Null.dat,1
Ag111-pmfp,surface_pmfp/Ag111-pmfp,hamaker/Null.dat,1
Al2O3-001-pmfp,surface_pmfp/Al2O3-001-pmfp,hamaker/Null.dat,1
AlFCC100UCD-pmfp,surface_pmfp/AlFCC100UCD-pmfp,hamaker/Null.dat,1
AlFCC110UCD-pmfp,surface_pmfp/AlFCC110UCD-pmfp,hamaker/Null.dat,1
AlFCC111UCD-pmfp,surface_pmfp/AlFCC111UCD-pmfp,hamaker/Null.dat,1
Au-001-PE-pmfp,surface_pmfp/Au-001-PE-pmfp,hamaker/Null.dat,1
Au-001-PEG-pmfp,surface_pmfp/Au-001-PEG-pmfp,hamaker/Null.dat,1
AuFCC100-Ablate0-pmfp,surface_pmfp/AuFCC100-Ablate0-pmfp,hamaker/Null.dat,1
AuFCC100-Ablate100-pmfp,surface_pmfp/AuFCC100-Ablate100-pmfp,hamaker/Null.dat,1
AuFCC100-Ablate25-pmfp,surface_pmfp/AuFCC100-Ablate25-pmfp,hamaker/Null.dat,1
AuFCC100-Ablate5-pmfp,surface_pmfp/AuFCC100-Ablate5-pmfp,hamaker/Null.dat,1
AuFCC100-Ablate50-pmfp,surface_pmfp/AuFCC100-Ablate50-pmfp,hamaker/Null.dat,1
AuFCC100-Ablate75-pmfp,surface_pmfp/AuFCC100-Ablate75-pmfp,hamaker/Null.dat,1
AuFCC100-pmfp,surface_pmfp/AuFCC100-pmfp,hamaker/Null.dat,1
AuFCC100UCD-pmfp,surface_pmfp/AuFCC100UCD-pmfp,hamaker/Null.dat,1
AuFCC110UCD-pmfp,surface_pmfp/AuFCC110UCD-pmfp,hamaker/Null.dat,1
AuFCC111UCD-pmfp,surface_pmfp/AuFCC111UCD-pmfp,hamaker/Null.dat,1
C-amorph-2-pmfp,surface_pmfp/C-amorph-2-pmfp,hamaker/Null.dat,1
C-amorph-3-pmfp,surface_pmfp/C-amorph-3-pmfp,hamaker/Null.dat,1
CNT15-COO--10-pmfp,surface_pmfp/CNT15-COO--10-pmfp,hamaker/Null.dat,1
CNT15-COO--3-pmfp,surface_pmfp/CNT15-COO--3-pmfp,hamaker/Null.dat,1
CNT15-COOH-3-pmfp,surface_pmfp/CNT15-COOH-3-pmfp,hamaker/Null.dat,1
CNT15-COOH-30-pmfp,surface_pmfp/CNT15-COOH-30-pmfp,hamaker/Null.dat,1
CNT15-NH2-14-pmfp,surface_pmfp/CNT15-NH2-14-pmfp,hamaker/Null.dat,1
CNT15-NH2-2-pmfp,surface_pmfp/CNT15-NH2-2-pmfp,hamaker/Null.dat,1
CNT15-NH3+-2-pmfp,surface_pmfp/CNT15-NH3+-2-pmfp,hamaker/Null.dat,1
CNT15-NH3+-4-pmfp,surface_pmfp/CNT15-NH3+-4-pmfp,hamaker/Null.dat,1
CNT15-OH-14-pmfp,surface_pmfp/CNT15-OH-14-pmfp,hamaker/Null.dat,1
CNT15-OH-4-pmfp,surface_pmfp/CNT15-OH-4-pmfp,hamaker/Null.dat,1
CNT15-pmfp,surface_pmfp/CNT15-pmfp,hamaker/Null.dat,1
CaO001-pmfp,surface_pmfp/CaO001-pmfp,hamaker/Null.dat,1
CdSeWurtzite2-10-pmfp,surface_pmfp/CdSeWurtzite2-10-pmfp,hamaker/Null.dat,1
Ce-001-pmfp,surface_pmfp/Ce-001-pmfp,hamaker/Null.dat,1
Cr2O3-001-pmfp,surface_pmfp/Cr2O3-001-pmfp,hamaker/Null.dat,1
Cu001-pmfp,surface_pmfp/Cu001-pmfp,hamaker/Null.dat,1
Cu110-pmfp,surface_pmfp/Cu110-pmfp,hamaker/Null.dat,1
Cu111-pmfp,surface_pmfp/Cu111-pmfp,hamaker/Null.dat,1
Fe001-pmfp,surface_pmfp/Fe001-pmfp,hamaker/Null.dat,1
Fe110-pmfp,surface_pmfp/Fe110-pmfp,hamaker/Null.dat,1
Fe111-pmfp,surface_pmfp/Fe111-pmfp,hamaker/Null.dat,1
Fe2O3-001O-pmfp,surface_pmfp/Fe2O3-001O-pmfp,hamaker/Null.dat,1
GoldBrush-pmfp,surface_pmfp/GoldBrush-pmfp,hamaker/Null.dat,1
Hydroxyapatite-001-pmfp,surface_pmfp/Hydroxyapatite-001-pmfp,hamaker/Null.dat,1
Pt001-pmfp,surface_pmfp/Pt001-pmfp,hamaker/Null.dat,1
SiO2-Amorphous-pmfp,surface_pmfp/SiO2-Amorphous-pmfp,hamaker/Null.dat,1
SiO2-Quartz-pmfp,surface_pmfp/SiO2-Quartz-pmfp,hamaker/Null.dat,1
TiO2-ana-100-pmfp,surface_pmfp/TiO2-ana-100-pmfp,hamaker/Null.dat,1
TiO2-ana-101-pmfp,surface_pmfp/TiO2-ana-101-pmfp,hamaker/Null.dat,1
TiO2-rut-100-pmfp,surface_pmfp/TiO2-rut-100-pmfp,hamaker/Null.dat,1
TiO2-rut-110-pmfp,surface_pmfp/TiO2-rut-110-pmfp,hamaker/Null.dat,1
TricalciumSilicate001-pmfp,surface_pmfp/TricalciumSilicate001-pmfp,hamaker/Null.dat,1
bi-graphene-pmfp,surface_pmfp/bi-graphene-pmfp,hamaker/Null.dat,1
graphene-pmfp,surface_pmfp/graphene-pmfp,hamaker/Null.dat,1
grapheneoxide-pmfp,surface_pmfp/grapheneoxide-pmfp,hamaker/Null.dat,1
redgrapheneoxide-pmfp,surface_pmfp/redgrapheneoxide-pmfp,hamaker/Null.dat,1
tri-graphene-pmfp,surface_pmfp/tri-graphene-pmfp,hamaker/Null.dat,1
