# z (nm)   (kJ/mol)
  0.0840  268.72750
  0.0860  265.73659
  0.0880  262.72804
  0.0900  259.86160
  0.0920  256.96361
  0.0940  254.07566
  0.0960  251.12068
  0.0980  248.12373
  0.1000  245.04850
  0.1020  241.88634
  0.1040  238.62794
  0.1060  235.26476
  0.1080  231.78710
  0.1100  228.19386
  0.1120  224.48136
  0.1140  220.66457
  0.1160  216.73759
  0.1180  212.71867
  0.1200  208.61181
  0.1220  204.42977
  0.1240  200.19374
  0.1260  195.91427
  0.1280  191.61799
  0.1300  187.31652
  0.1320  183.02827
  0.1340  178.77917
  0.1360  174.57468
  0.1380  170.42060
  0.1400  166.31955
  0.1420  162.26779
  0.1440  158.26308
  0.1460  154.30227
  0.1480  150.39167
  0.1500  146.53323
  0.1520  142.72979
  0.1540  138.99287
  0.1560  135.31696
  0.1580  131.70895
  0.1600  128.16199
  0.1620  124.69303
  0.1640  121.30081
  0.1660  117.99734
  0.1680  114.79741
  0.1700  111.68714
  0.1720  108.65294
  0.1740  105.66716
  0.1760  102.69913
  0.1780   99.73092
  0.1800   96.75162
  0.1820   93.76625
  0.1840   90.78522
  0.1860   87.82403
  0.1880   84.90212
  0.1900   82.01966
  0.1920   79.17744
  0.1940   76.37941
  0.1960   73.61794
  0.1980   70.90280
  0.2000   68.23356
  0.2020   65.63060
  0.2040   63.09177
  0.2060   60.62421
  0.2080   58.22609
  0.2100   55.89680
  0.2120   53.62575
  0.2140   51.40112
  0.2160   49.21845
  0.2180   47.05852
  0.2200   44.92095
  0.2220   42.81033
  0.2240   40.71938
  0.2260   38.66396
  0.2280   36.65171
  0.2300   34.67984
  0.2320   32.75349
  0.2340   30.88940
  0.2360   29.08650
  0.2380   27.36403
  0.2400   25.70182
  0.2420   24.10728
  0.2440   22.57452
  0.2460   21.07748
  0.2480   19.60876
  0.2500   18.15570
  0.2520   16.70373
  0.2540   15.26130
  0.2560   13.82430
  0.2580   12.41464
  0.2600   11.05012
  0.2620    9.74183
  0.2640    8.50819
  0.2660    7.35271
  0.2680    6.26964
  0.2700    5.24679
  0.2720    4.27002
  0.2740    3.32767
  0.2760    2.39822
  0.2780    1.48478
  0.2800    0.57703
  0.2820   -0.31400
  0.2840   -1.17601
  0.2860   -1.99185
  0.2880   -2.75532
  0.2900   -3.45433
  0.2920   -4.08696
  0.2940   -4.64868
  0.2960   -5.15521
  0.2980   -5.62216
  0.3000   -6.05339
  0.3020   -6.46386
  0.3040   -6.87047
  0.3060   -7.27024
  0.3080   -7.66836
  0.3100   -8.05401
  0.3120   -8.43054
  0.3140   -8.78315
  0.3160   -9.10651
  0.3180   -9.38311
  0.3200   -9.61892
  0.3220   -9.81678
  0.3240   -9.96858
  0.3260  -10.08242
  0.3280  -10.17182
  0.3300  -10.25051
  0.3320  -10.32739
  0.3340  -10.39449
  0.3360  -10.46425
  0.3380  -10.54381
  0.3400  -10.62717
  0.3420  -10.70376
  0.3440  -10.76990
  0.3460  -10.82042
  0.3480  -10.84850
  0.3500  -10.84446
  0.3520  -10.81328
  0.3540  -10.75654
  0.3560  -10.67591
  0.3580  -10.57236
  0.3600  -10.47182
  0.3620  -10.36843
  0.3640  -10.27947
