# PMF between COM of SHIE and TiO2 slab.
#
#              SHIE
# z (nm)   (kJ/mol)                
  1.0368    1.09222
  1.0400    1.07522
  1.0432    1.06322
  1.0464    1.06522
  1.0496    1.06822
  1.0528    1.07422
  1.0560    1.07722
  1.0592    1.08222
  1.0624    1.08522
  1.0656    1.09922
  1.0688    1.12522
  1.0720    1.14622
  1.0752    1.14322
  1.0784    1.11022
  1.0816    1.07522
  1.0848    1.05722
  1.0880    1.06622
  1.0912    1.09222
  1.0944    1.11922
  1.0976    1.13622
  1.1008    1.14122
  1.1040    1.13222
  1.1072    1.11022
  1.1104    1.09022
  1.1136    1.08022
  1.1168    1.09222
  1.1200    1.11222
  1.1232    1.13122
  1.1264    1.13722
  1.1296    1.11922
  1.1328    1.08622
  1.1360    1.05022
  1.1392    1.03622
  1.1424    1.04722
  1.1456    1.06722
  1.1488    1.07922
  1.1520    1.07722
  1.1552    1.06922
  1.1584    1.05822
  1.1616    1.03022
  1.1648    0.98722
  1.1680    0.92622
  1.1712    0.86722
  1.1744    0.81922
  1.1776    0.79622
  1.1808    0.78722
  1.1840    0.78722
  1.1872    0.79222
  1.1904    0.79622
  1.1936    0.79622
  1.1968    0.79722
  1.2000    0.78622
  1.2032    0.76122
  1.2064    0.71922
  1.2096    0.66922
  1.2128    0.62322
  1.2160    0.58622
  1.2192    0.56722
  1.2224    0.56322
  1.2256    0.56022
  1.2288    0.55622
  1.2320    0.56322
  1.2352    0.59122
  1.2384    0.61222
  1.2416    0.59422
  1.2448    0.53322
  1.2480    0.46522
  1.2512    0.42522
  1.2544    0.42822
  1.2576    0.46222
  1.2608    0.49722
  1.2640    0.51122
  1.2672    0.49822
  1.2704    0.46122
  1.2736    0.42222
  1.2768    0.39422
  1.2800    0.39022
  1.2832    0.39622
  1.2864    0.40622
  1.2896    0.40222
  1.2928    0.37622
  1.2960    0.34622
  1.2992    0.32622
  1.3024    0.32122
  1.3056    0.33722
  1.3088    0.37122
  1.3120    0.40322
  1.3152    0.42622
  1.3184    0.43522
  1.3216    0.43722
  1.3248    0.42422
  1.3280    0.39722
  1.3312    0.35922
  1.3344    0.32222
  1.3376    0.29922
  1.3408    0.29122
  1.3440    0.29122
  1.3472    0.29622
  1.3504    0.29722
  1.3536    0.29922
  1.3568    0.30422
  1.3600    0.30822
  1.3632    0.32322
  1.3664    0.34322
  1.3696    0.35622
  1.3728    0.35622
  1.3760    0.33422
  1.3792    0.30522
  1.3824    0.28622
