#Material name, surface folder, Hamaker file, default shape,LJ cutoff
AuFCC100-pmfp,surface-pmfp/AuFCC100-pmfp,hamaker-pmfp/AuFCC100-PMFP.dat,1,1
CdSeWurtzite2-10-pmfp,surface-pmfp/CdSeWurtzite2-10-pmfp,hamaker-pmfp/CdSeWurtzite2-10-PMFP.dat,1,1
Rutile-100-old-pmfp,surface-pmfp/Rutile-100-old-pmfp,hamaker-pmfp/Rutile-100-old-PMFP.dat,1,1
CNT15-pmfp,surface-pmfp/CNT15-pmfp,hamaker-pmfp/CNT15-PMFP.dat,4,1
mwCNT15-pmfp,surface-pmfp/CNT15-pmfp,hamaker-pmfp/CNT15-PMFP.dat,5,1
CNT15-COOH-30-pmfp,surface-pmfp/CNT15-COOH-30-pmfp,hamaker-pmfp/CNT15-COOH-30-PMFP.dat,4,1
mwCNT15-COOH-30-pmfp,surface-pmfp/CNT15-COOH-30-pmfp,hamaker-pmfp/CNT15-COOH-30-PMFP.dat,5,1
CNT15-COOH-3-pmfp,surface-pmfp/CNT15-COOH-3-pmfp,hamaker-pmfp/CNT15-COOH-3-PMFP.dat,4,1
mwCNT15-COOH-3-pmfp,surface-pmfp/CNT15-COOH-3-pmfp,hamaker-pmfp/CNT15-COOH-3-PMFP.dat,5,1
CNT15-COO--10-pmfp,surface-pmfp/CNT15-COO--10-pmfp,hamaker-pmfp/CNT15-COO--10-PMFP.dat,4,1
mwCNT15-COO--10-pmfp,surface-pmfp/CNT15-COO--10-pmfp,hamaker-pmfp/CNT15-COO--10-PMFP.dat,5,1
CNT15-COO--3-pmfp,surface-pmfp/CNT15-COO--3-pmfp,hamaker-pmfp/CNT15-COO--3-PMFP.dat,4,1
mwCNT15-COO--3-pmfp,surface-pmfp/CNT15-COO--3-pmfp,hamaker-pmfp/CNT15-COO--3-PMFP.dat,5,1
CNT15-NH2-14-pmfp,surface-pmfp/CNT15-NH2-14-pmfp,hamaker-pmfp/CNT15-NH2-14-PMFP.dat,4,1
mwCNT15-NH2-14-pmfp,surface-pmfp/CNT15-NH2-14-pmfp,hamaker-pmfp/CNT15-NH2-14-PMFP.dat,5,1
CNT15-NH2-2-pmfp,surface-pmfp/CNT15-NH2-2-pmfp,hamaker-pmfp/CNT15-NH2-2-PMFP.dat,4,1
mwCNT15-NH2-2-pmfp,surface-pmfp/CNT15-NH2-2-pmfp,hamaker-pmfp/CNT15-NH2-2-PMFP.dat,5,1
CNT15-NH3+-4-pmfp,surface-pmfp/CNT15-NH3+-4-pmfp,hamaker-pmfp/CNT15-NH3+-4-PMFP.dat,4,1
mwCNT15-NH3+-4-pmfp,surface-pmfp/CNT15-NH3+-4-pmfp,hamaker-pmfp/CNT15-NH3+-4-PMFP.dat,5,1
CNT15-NH3+-2-pmfp,surface-pmfp/CNT15-NH3+-2-pmfp,hamaker-pmfp/CNT15-NH3+-2-PMFP.dat,4,1
mwCNT15-NH3+-2-pmfp,surface-pmfp/CNT15-NH3+-2-pmfp,hamaker-pmfp/CNT15-NH3+-2-PMFP.dat,5,1
CNT15-OH-14-pmfp,surface-pmfp/CNT15-OH-14-pmfp,hamaker-pmfp/CNT15-OH-14-PMFP.dat,4,1
mwCNT15-OH-14-pmfp,surface-pmfp/CNT15-OH-14-pmfp,hamaker-pmfp/CNT15-OH-14-PMFP.dat,5,1
CNT15-OH-4-pmfp,surface-pmfp/CNT15-OH-4-pmfp,hamaker-pmfp/CNT15-OH-4-PMFP.dat,4,1
mwCNT15-OH-4-pmfp,surface-pmfp/CNT15-OH-4-pmfp,hamaker-pmfp/CNT15-OH-4-PMFP.dat,5,1
