# #h[nm], U[kJ/mol]
  0.127259, 81.016343
  0.128075, 79.289074
  0.128892, 77.578251
  0.129708, 75.883753
  0.130525, 74.208290
  0.131341, 72.548521
  0.132158, 70.907527
  0.132974, 69.281517
  0.133791, 67.672855
  0.134607, 66.079251
  0.135424, 64.501720
  0.136240, 62.938138
  0.137057, 61.389473
  0.137873, 59.857407
  0.138690, 58.339703
  0.139506, 56.836719
  0.140323, 55.346778
  0.141139, 53.870805
  0.141956, 52.410014
  0.142772, 50.962687
  0.143589, 49.528679
  0.144405, 48.112299
  0.145222, 46.710966
  0.146038, 45.325767
  0.146855, 43.957828
  0.147671, 42.604327
  0.148488, 41.268226
  0.149304, 39.947831
  0.150121, 38.646512
  0.150937, 37.361576
  0.151754, 36.098398
  0.152570, 34.854232
  0.153387, 33.629610
  0.154203, 32.427227
  0.155020, 31.249463
  0.155836, 30.093842
  0.156653, 28.963623
  0.157469, 27.860039
  0.158286, 26.783573
  0.159102, 25.736803
  0.159919, 24.718069
  0.160735, 23.728741
  0.161552, 22.771139
  0.162368, 21.845432
  0.163185, 20.949962
  0.164001, 20.088613
  0.164818, 19.258151
  0.165634, 18.460185
  0.166451, 17.693940
  0.167267, 16.959220
  0.168084, 16.256210
  0.168900, 15.582073
  0.169717, 14.937689
  0.170533, 14.321412
  0.171350, 13.734422
  0.172166, 13.172303
  0.172983, 12.636129
  0.173799, 12.126382
  0.174616, 11.638351
  0.175432, 11.171120
  0.176249, 10.722960
  0.177065, 10.290648
  0.177882,  9.871875
  0.178698,  9.468546
  0.179515,  9.073491
  0.180331,  8.685968
  0.181148,  8.307672
  0.181964,  7.930415
  0.182781,  7.555115
  0.183597,  7.178246
  0.184414,  6.800797
  0.185230,  6.420107
  0.186047,  6.037656
  0.186863,  5.657501
  0.187680,  5.277014
  0.188496,  4.894876
  0.189313,  4.512170
  0.190129,  4.132225
  0.190946,  3.758472
  0.191762,  3.386370
  0.192579,  3.018180
  0.193395,  2.656321
  0.194212,  2.308929
  0.195028,  1.969650
  0.195845,  1.644582
  0.196661,  1.333542
  0.197478,  1.040969
  0.198294,  0.766916
  0.199111,  0.510270
  0.199927,  0.271411
  0.200744,  0.054802
  0.201560, -0.145116
  0.202377, -0.327426
  0.203193, -0.494596
  0.204010, -0.650612
  0.204826, -0.794115
  0.205643, -0.929824
  0.206459, -1.062076
  0.207276, -1.190809
  0.208092, -1.318158
  0.208909, -1.444250
  0.209725, -1.573866
  0.210542, -1.698824
  0.211358, -1.828281
  0.212175, -1.958443
  0.212991, -2.086430
  0.213808, -2.211905
  0.214624, -2.334355
  0.215441, -2.455021
  0.216257, -2.563113
  0.217074, -2.666854
  0.217890, -2.765848
  0.218707, -2.855247
  0.219523, -2.938582
  0.220340, -3.017996
  0.221156, -3.088327
  0.221973, -3.152194
  0.222789, -3.205521
  0.223606, -3.251616
  0.224422, -3.291280
  0.225239, -3.320936
  0.226055, -3.344966
  0.226872, -3.361751
  0.227688, -3.371573
  0.228505, -3.373743
  0.229321, -3.368531
  0.230138, -3.358027
  0.230954, -3.337467
  0.231771, -3.316114
  0.232587, -3.291984
  0.233404, -3.256296
  0.234220, -3.221759
  0.235037, -3.187386
  0.235853, -3.149163
  0.236670, -3.115741
  0.237486, -3.076290
  0.238303, -3.037718
  0.239119, -3.000135
  0.239936, -2.965306
  0.240752, -2.930974
  0.241569, -2.898061
  0.242385, -2.867989
  0.243202, -2.839999
  0.244018, -2.816807
  0.244835, -2.794266
  0.245651, -2.776167
  0.246468, -2.762988
  0.247284, -2.751587
  0.248101, -2.745837
  0.248917, -2.742153
  0.249734, -2.745702
  0.250550, -2.752184
  0.251367, -2.766285
  0.252183, -2.787204
  0.253000, -2.813520
  0.253816, -2.848900
  0.254633, -2.888362
  0.255449, -2.933650
  0.256266, -2.987785
  0.257082, -3.046980
  0.257899, -3.112773
  0.258715, -3.185529
  0.259532, -3.266957
  0.260348, -3.357164
  0.261165, -3.453732
  0.261981, -3.559916
  0.262798, -3.676200
  0.263614, -3.799509
