,,z/nm,(kJ/mol),E/ kbT,density,,,,,
,,0.502,137.7646,55.10584,1.16906260088632E-24,,,,,
,,0.504,135.14961,54.059844,3.32742333717971E-24,,,,,
,,0.506,132.5929,53.03716,9.252393102589E-24,,,,,
,,0.508,130.03425,52.0137,2.57476209321533E-23,,,,,
,,0.51,127.43303,50.973212,7.28811645519289E-23,,,,,
,,0.512,124.85924,49.943696,2.04046157775752E-22,,,,,
,,0.514,122.42377,48.969508,5.40521401401105E-22,,,,,
,,0.516,120.19722,48.078888,1.31705601335101E-21,,,,,
,,0.518,118.16616,47.266464,2.96780598096904E-21,,,,,
,,0.52,116.19674,46.478696,6.52467375597815E-21,,,,,
,,0.522,114.15128,45.660512,1.47873924001895E-20,,,,,
,,0.524,111.96645,44.78658,3.5435245232761E-20,,,,,
,,0.526,109.67826,43.871304,8.84982654932025E-20,,,,,
,,0.528,107.40304,42.961216,2.19877583506241E-19,,,,,
,,0.53,105.2527,42.10108,5.19676733999036E-19,,,,,
,,0.532,103.27231,41.308924,1.14752525783192E-18,,,,,
,,0.534,101.43328,40.573312,2.39460831308915E-18,,,,,
,,0.536,99.62006,39.848024,4.94564639734972E-18,,,,,
,,0.538,97.72624,39.090496,1.05490485802944E-17,,,,,
,,0.54,95.68491,38.273964,2.38686927604463E-17,,,,,
,,0.542,93.48907,37.395628,5.74493490720959E-17,,,,,
,,0.544,91.1725,36.469,1.45115746236117E-16,,,,,
,,0.546,88.81121,35.524484,3.7317507290852E-16,,,,,
,,0.548,86.45093,34.580372,9.59257621046826E-16,,,,,
,,0.55,84.10525,33.6421,2.45144193152071E-15,,,,,
,,0.552,81.77458,32.709832,6.22730960803649E-15,,,,,
,,0.554,79.43965,31.77586,1.58459887868615E-14,,,,,
,,0.556,77.07814,30.831256,4.07526307102824E-14,,,,,
,,0.558,74.69854,29.879416,1.0556853838387E-13,,,,,
,,0.56,72.31203,28.924812,2.74229238896765E-13,,,,,
,,0.562,69.96275,27.9851,7.01819602784037E-13,,,,,
,,0.564,67.68151,27.072604,1.74790358069855E-12,,,,,
,,0.566,65.50537,26.202148,4.17399293456573E-12,,,,,
,,0.568,63.42871,25.371484,9.57865433391969E-12,,,,,
,,0.57,61.43305,24.57322,2.12807118588709E-11,,,,,
,,0.572,59.50983,23.803932,4.59286504857735E-11,,,,,
,,0.574,57.64624,23.058496,9.67882028942548E-11,,,,,
,,0.576,55.85237,22.340948,1.9835792800328E-10,,,,,
,,0.578,54.1444,21.65776,3.92784500201085E-10,,,,,
,,0.58,52.54671,21.018684,7.44220316949252E-10,,,,,
,,0.582,51.0802,20.43208,1.33801321313686E-09,,,,,
,,0.584,49.71714,19.886856,2.30806575193426E-09,,,,,
,,0.586,48.43989,19.375956,3.84706237259466E-09,,,,,
,,0.588,47.22068,18.888272,6.26509553319722E-09,,,,,
,,0.59,46.03386,18.413544,1.0071622712005E-08,,,,,
,,0.592,44.85722,17.942888,1.61251124604084E-08,,,,,
,,0.594,43.68366,17.473464,2.57852297310237E-08,,,,,
,,0.596,42.50786,17.003144,4.12694219426662E-08,,,,,
,,0.598,41.34839,16.539356,6.56219233118963E-08,,,,,
,,0.6,40.21394,16.085576,1.03305419344941E-07,,,,,
,,0.602,39.13474,15.653896,1.59074053160986E-07,,,,,
,,0.604,38.10914,15.243656,2.39753146303736E-07,,,,,
,,0.606,37.14121,14.856484,3.53110781724265E-07,,,,,
,,0.608,36.22284,14.489136,5.09856766843535E-07,,,,,
,,0.61,35.336,14.1344,0.000000727,,,,,
,,0.612,34.45654,13.782616,1.03344156531374E-06,,,,,
,,0.614,33.58447,13.433788,1.46480563009575E-06,,,,,
,,0.616,32.69998,13.079992,2.08656371624558E-06,,,,,
,,0.618,31.8133,12.72532,2.97484089818037E-06,,,,,
,,0.62,30.93403,12.373612,4.22871666426714E-06,,,,,
,,0.622,30.07378,12.029512,5.96553390579444E-06,,,,,
,,0.624,29.23884,11.695536,8.33092552928643E-06,,,,,
,,0.626,28.42967,11.371868,1.15149081646903E-05,,,,,
,,0.628,27.65877,11.063508,0.000015674,,,,,
,,0.63,26.93236,10.772944,0.000020959,,,,,
,,0.632,26.23968,10.495872,2.76503547516632E-05,,,,,
,,0.634,25.58056,10.232224,3.59916352742311E-05,,,,,
