# z (nm)   (kJ/mol)
  0.0820  268.98181
  0.0840  266.41548
  0.0860  263.88286
  0.0880  261.21927
  0.0900  258.44070
  0.0920  255.77956
  0.0940  253.14139
  0.0960  250.44365
  0.0980  247.77178
  0.1000  245.07972
  0.1020  242.35119
  0.1040  239.57197
  0.1060  236.72675
  0.1080  233.82136
  0.1100  230.81879
  0.1120  227.73148
  0.1140  224.53666
  0.1160  221.22548
  0.1180  217.77815
  0.1200  214.18238
  0.1220  210.42438
  0.1240  206.50051
  0.1260  202.42575
  0.1280  198.22529
  0.1300  193.93943
  0.1320  189.61402
  0.1340  185.29098
  0.1360  180.99870
  0.1380  176.75644
  0.1400  172.56637
  0.1420  168.43289
  0.1440  164.34434
  0.1460  160.29968
  0.1480  156.29126
  0.1500  152.33588
  0.1520  148.44714
  0.1540  144.64744
  0.1560  140.93764
  0.1580  137.30138
  0.1600  133.72642
  0.1620  130.21091
  0.1640  126.75426
  0.1660  123.37347
  0.1680  120.06963
  0.1700  116.85212
  0.1720  113.70299
  0.1740  110.60924
  0.1760  107.53504
  0.1780  104.45839
  0.1800  101.34933
  0.1820   98.19011
  0.1840   94.98652
  0.1860   91.75517
  0.1880   88.53574
  0.1900   85.37909
  0.1920   82.32259
  0.1940   79.40618
  0.1960   76.62623
  0.1980   73.95298
  0.2000   71.33603
  0.2020   68.72145
  0.2040   66.06430
  0.2060   63.36182
  0.2080   60.61908
  0.2100   57.87559
  0.2120   55.17524
  0.2140   52.55847
  0.2160   50.04860
  0.2180   47.64461
  0.2200   45.34018
  0.2220   43.10862
  0.2240   40.92951
  0.2260   38.79125
  0.2280   36.68381
  0.2300   34.60552
  0.2320   32.55793
  0.2340   30.54403
  0.2360   28.57521
  0.2380   26.63435
  0.2400   24.72865
  0.2420   22.85272
  0.2440   20.99415
  0.2460   19.17099
  0.2480   17.40535
  0.2500   15.70851
  0.2520   14.08651
  0.2540   12.54012
  0.2560   11.06363
  0.2580    9.62650
  0.2600    8.21146
  0.2620    6.80734
  0.2640    5.41385
  0.2660    4.06299
  0.2680    2.74499
  0.2700    1.48822
  0.2720    0.29323
  0.2740   -0.83703
  0.2760   -1.91073
  0.2780   -2.93996
  0.2800   -3.92169
  0.2820   -4.84962
  0.2840   -5.72936
  0.2860   -6.56724
  0.2880   -7.36320
  0.2900   -8.12428
  0.2920   -8.86077
  0.2940   -9.56756
  0.2960  -10.23778
  0.2980  -10.87183
  0.3000  -11.46186
  0.3020  -11.99874
  0.3040  -12.47106
  0.3060  -12.88766
  0.3080  -13.25568
  0.3100  -13.58214
  0.3120  -13.87083
  0.3140  -14.13005
  0.3160  -14.37810
  0.3180  -14.61163
  0.3200  -14.83119
  0.3220  -15.03105
  0.3240  -15.21425
  0.3260  -15.36820
  0.3280  -15.48722
  0.3300  -15.56804
  0.3320  -15.61585
  0.3340  -15.63275
  0.3360  -15.61192
  0.3380  -15.56388
  0.3400  -15.49474
  0.3420  -15.39887
  0.3440  -15.29290
  0.3460  -15.17751
  0.3480  -15.05127
  0.3500  -14.91852
  0.3520  -14.77168
  0.3540  -14.61609
  0.3560  -14.45199
  0.3580  -14.27051
  0.3600  -14.07020
  0.3620  -13.84696
  0.3640  -13.61425
  0.3660  -13.35995
  0.3680  -13.09554
  0.3700  -12.81977
  0.3720  -12.54848
  0.3740  -12.29184
  0.3760  -12.05044
  0.3780  -11.82740
  0.3800  -11.62156
  0.3820  -11.42963
  0.3840  -11.24914
  0.3860  -11.07008
  0.3880  -10.88199
  0.3900  -10.68346
  0.3920  -10.46378
  0.3940  -10.23037
  0.3960  -10.00892
  0.3980   -9.78313
  0.4000   -9.57076
  0.4020   -9.36968
  0.4040   -9.19246
  0.4060   -9.03176
  0.4080   -8.88962
  0.4100   -8.75945
  0.4120   -8.64363
  0.4140   -8.53590
  0.4160   -8.43092
  0.4180   -8.32263
  0.4200   -8.20517
  0.4220   -8.08521
  0.4240   -7.96040
  0.4260   -7.82915
  0.4280   -7.69566
  0.4300   -7.56890
  0.4320   -7.44179
  0.4340   -7.31459
  0.4360   -7.19094
  0.4380   -7.06642
  0.4400   -6.95969
  0.4420   -6.86196
  0.4440   -6.77149
  0.4460   -6.68786
  0.4480   -6.61112
  0.4500   -6.53923
  0.4520   -6.47098
  0.4540   -6.40431
  0.4560   -6.33861
  0.4580   -6.27410
  0.4600   -6.20324
  0.4620   -6.12111
  0.4640   -6.03258
  0.4660   -5.94194
  0.4680   -5.84007
  0.4700   -5.73297
  0.4720   -5.61558
  0.4740   -5.49581
  0.4760   -5.38148
  0.4780   -5.26965
  0.4800   -5.16183
  0.4820   -5.06240
  0.4840   -4.97326
  0.4860   -4.89868
  0.4880   -4.83445
  0.4900   -4.78391
  0.4920   -4.73753
