# Tobermorite-004_CS-65596-AC
# h[nm],U(h)[kJ/mol]
0.149999999999999994,152.500272710333604209
0.150999999999999995,150.142548321482053097
0.151999999999999996,147.666243635403304779
0.152999999999999997,145.153211880274795931
0.153999999999999998,142.659681178894061304
0.154999999999999999,140.216768649204993835
0.156000000000000000,137.836224079873716164
0.157000000000000001,135.517206673030727870
0.158000000000000002,133.252181192505588569
0.159000000000000002,131.031275380225935123
0.160000000000000003,128.845078859263225013
0.161000000000000004,126.686144476308143680
0.162000000000000005,124.549537098280552527
0.163000000000000006,122.432759477220628241
0.164000000000000007,120.335326574305582881
0.165000000000000008,118.258190004508918491
0.166000000000000009,116.203148936061509744
0.167000000000000010,114.172329705290195534
0.168000000000000010,112.167775378952768506
0.169000000000000011,110.191157697344991107
0.170000000000000012,108.243605298304231610
0.171000000000000013,106.325631569435543611
0.172000000000000014,104.437140732068741045
0.173000000000000015,102.577489967669066573
0.174000000000000016,100.745587074456423693
0.175000000000000017,98.940006174167734798
0.176000000000000018,97.159107582448683615
0.177000000000000018,95.401151579961393168
0.178000000000000019,93.664399147171451432
0.179000000000000020,91.947195576733051325
0.180000000000000021,90.248035182380306196
0.181000000000000022,88.565607081861173810
0.182000000000000023,86.898823286934785415
0.183000000000000024,85.246831152695747846
0.184000000000000025,83.609012698133170716
0.185000000000000026,81.984973486920338814
0.186000000000000026,80.374523723599253344
0.187000000000000027,78.777654038578830864
0.188000000000000028,77.194508158662259234
0.189000000000000029,75.625354330884675846
0.190000000000000030,74.070557019341705995
0.191000000000000031,72.530550051870505968
0.192000000000000032,71.005812072956700831
0.193000000000000033,69.496844872023828543
0.194000000000000034,68.004154908405695323
0.195000000000000034,66.528238148125140583
0.196000000000000035,65.069568162684362278
0.197000000000000036,63.628587314045354617
0.198000000000000037,62.205700759215766027
0.199000000000000038,60.801272948020915976
0.200000000000000039,59.415626254080848412
0.201000000000000040,58.049041367071971820
0.202000000000000041,56.701759079600471125
0.203000000000000042,55.373983120370425581
0.204000000000000042,54.065883713156132728
0.205000000000000043,52.777601575242798049
0.206000000000000044,51.509252106816312278
0.207000000000000045,50.260929562092101719
0.208000000000000046,49.032711032033461152
0.209000000000000047,47.824660105994766468
0.210000000000000048,46.636830114557355387
0.211000000000000049,45.469266887539681932
0.212000000000000050,44.322010989243395329
0.213000000000000050,43.195099417252755813
0.214000000000000051,42.088566771498520325
0.215000000000000052,41.002445916938754067
0.216000000000000053,39.936768176296119748
0.217000000000000054,38.891563099094966560
0.218000000000000055,37.866857860078049214
0.219000000000000056,36.862676344294783348
0.220000000000000057,35.879037978087140459
0.221000000000000058,34.915956365210483625
0.222000000000000058,33.973437785739349692
0.223000000000000059,33.051479612546877718
0.224000000000000060,32.150068696293388371
0.225000000000000061,31.269179765281069905
0.226000000000000062,30.408773881456944821
0.227000000000000063,29.568796988481455656
0.228000000000000064,28.749178582296103457
0.229000000000000065,27.949830529166355575
0.230000000000000066,27.170646050868441534
0.231000000000000066,26.411498891620162510
0.232000000000000067,25.672242676606703782
0.233000000000000068,24.952710467570454966
0.234000000000000069,24.252714516961091817
0.235000000000000070,23.572046218596632627
0.236000000000000071,22.910476249680833405
0.237000000000000072,22.267754896352464300
0.238000000000000073,21.643612552700801643
0.239000000000000073,21.037760381352292427
0.240000000000000074,20.449891122289784562
0.241000000000000075,19.879680035488682677
0.242000000000000076,19.326785962208962388
0.243000000000000077,18.790852489340721831
0.244000000000000078,18.271509201032351655
0.245000000000000079,17.768373001901590413
0.246000000000000080,17.281049496411906574
0.247000000000000081,16.809134409456518711
0.248000000000000081,16.352215033805045152
0.249000000000000082,15.909871690803353061
0.250000000000000111,15.481679191551396713
0.251000000000000112,15.067208286694068420
0.252000000000000113,14.666027093923592162
0.253000000000000114,14.277702493292272479
0.254000000000000115,13.901801481450965170
0.255000000000000115,13.537892476950101894
0.256000000000000116,13.185546569750503210
0.257000000000000117,12.844338709080876271
0.258000000000000118,12.513848824738801113
0.259000000000000119,12.193662877852494475
0.260000000000000120,11.883373837996824562
0.261000000000000121,11.582582584384562452
0.262000000000000122,11.290898729626510644
