# #Autogenerated fromHID,HIE,HIP at pH: 7.4
# #h[nm],U[kJ/mol]
  0.379000, -8.325886
  0.380000, -8.265049
  0.381000, -8.204212
  0.382000, -8.143652
  0.383000, -8.083093
  0.384000, -8.023151
  0.385000, -7.963210
  0.386000, -7.903126
  0.387000, -7.843043
  0.388000, -7.783398
  0.389000, -7.723753
  0.390000, -7.664066
  0.391000, -7.604378
  0.392000, -7.544789
  0.393000, -7.485200
  0.394000, -7.425790
  0.395000, -7.366381
  0.396000, -7.307089
  0.397000, -7.247797
  0.398000, -7.188603
  0.399000, -7.129410
  0.400000, -7.069995
  0.401000, -7.010580
  0.402000, -6.951264
  0.403000, -6.891947
  0.404000, -6.832909
  0.405000, -6.773871
  0.406000, -6.714752
  0.407000, -6.655634
  0.408000, -6.596374
  0.409000, -6.537114
  0.410000, -6.477551
  0.411000, -6.417989
  0.412000, -6.358606
  0.413000, -6.299222
  0.414000, -6.240160
  0.415000, -6.181098
  0.416000, -6.121912
  0.417000, -6.062727
  0.418000, -6.003541
  0.419000, -5.944356
  0.420000, -5.885350
  0.421000, -5.826343
  0.422000, -5.767356
  0.423000, -5.708368
  0.424000, -5.649659
  0.425000, -5.590949
  0.426000, -5.531919
  0.427000, -5.472888
  0.428000, -5.414259
  0.429000, -5.355629
  0.430000, -5.297099
  0.431000, -5.238569
  0.432000, -5.180538
  0.433000, -5.122508
  0.434000, -5.064977
  0.435000, -5.007447
  0.436000, -4.949275
  0.437000, -4.891102
  0.438000, -4.833609
  0.439000, -4.776116
  0.440000, -4.718722
  0.441000, -4.661328
  0.442000, -4.604755
  0.443000, -4.548181
  0.444000, -4.492429
  0.445000, -4.436677
  0.446000, -4.381282
  0.447000, -4.325888
  0.448000, -4.270914
  0.449000, -4.215939
  0.450000, -4.161644
  0.451000, -4.107349
  0.452000, -4.053875
  0.453000, -4.000400
  0.454000, -3.947605
  0.455000, -3.894810
  0.456000, -3.843255
  0.457000, -3.791700
  0.458000, -3.740726
  0.459000, -3.689752
  0.460000, -3.639777
  0.461000, -3.589803
  0.462000, -3.540508
  0.463000, -3.491212
  0.464000, -3.443016
  0.465000, -3.394820
  0.466000, -3.347525
  0.467000, -3.300229
  0.468000, -3.254255
  0.469000, -3.208281
  0.470000, -3.163806
  0.471000, -3.119332
  0.472000, -3.075956
  0.473000, -3.032581
  0.474000, -2.990106
  0.475000, -2.947632
  0.476000, -2.906559
  0.477000, -2.865485
  0.478000, -2.825912
  0.479000, -2.786339
  0.480000, -2.748167
  0.481000, -2.709995
  0.482000, -2.673464
  0.483000, -2.636934
  0.484000, -2.601261
  0.485000, -2.565589
  0.486000, -2.531738
  0.487000, -2.497887
  0.488000, -2.465356
  0.489000, -2.432826
  0.490000, -2.401456
  0.491000, -2.370086
  0.492000, -2.340456
  0.493000, -2.310827
  0.494000, -2.283000
  0.495000, -2.255173
  0.496000, -2.228747
  0.497000, -2.202320
  0.498000, -2.177715
  0.499000, -2.153110
  0.500000, -2.129807
  0.501000, -2.106504
  0.502000, -2.084701
  0.503000, -2.062898
  0.504000, -2.042496
  0.505000, -2.022094
  0.506000, -2.003414
  0.507000, -1.984734
  0.508000, -1.967474
  0.509000, -1.950214
  0.510000, -1.934015
  0.511000, -1.917816
  0.512000, -1.903260
  0.513000, -1.888703
  0.514000, -1.875948
