# #Autogenerated fromHID,HIE at pH: 7.4
# #h[nm],U[kJ/mol]
  0.182147, 71.015056
  0.183147, 68.884850
  0.184147, 66.741938
  0.185147, 64.569875
  0.186147, 62.375316
  0.187147, 60.170466
  0.188147, 57.942448
  0.189147, 55.712161
  0.190147, 53.471734
  0.191147, 51.231270
  0.192147, 48.993769
  0.193147, 46.760048
  0.194147, 44.534301
  0.195147, 42.325683
  0.196147, 40.125477
  0.197147, 37.950667
  0.198147, 35.789676
  0.199147, 33.651754
  0.200147, 31.540625
  0.201147, 29.443947
  0.202147, 27.394293
  0.203147, 25.355014
  0.204147, 23.358226
  0.205147, 21.386581
  0.206147, 19.444312
  0.207147, 17.555727
  0.208147, 15.677642
  0.209147, 13.867360
  0.210147, 12.072967
  0.211147, 10.335133
  0.212147,  8.647932
  0.213147,  6.974543
  0.214147,  5.407377
  0.215147,  3.841709
  0.216147,  2.366310
  0.217147,  0.931307
  0.218147, -0.462237
  0.219147, -1.758674
  0.220147, -3.052015
  0.221147, -4.228668
  0.222147, -5.388194
  0.223147, -6.481412
  0.224147, -7.508103
  0.225147, -8.522408
  0.226147, -9.430391
  0.227147,-10.338374
  0.228147,-11.173146
  0.229147,-11.977966
  0.230147,-12.757328
  0.231147,-13.480679
  0.232147,-14.204030
  0.233147,-14.869173
  0.234147,-15.528627
  0.235147,-16.160491
  0.236147,-16.765450
  0.237147,-17.363830
  0.238147,-17.916606
  0.239147,-18.468530
  0.240147,-18.975515
  0.241147,-19.465414
  0.242147,-19.931924
  0.243147,-20.354174
  0.244147,-20.775970
  0.245147,-21.137177
  0.246147,-21.494955
  0.247147,-21.823904
  0.248147,-22.128992
  0.249147,-22.427352
  0.250147,-22.698682
  0.251147,-22.966750
  0.252147,-23.218900
  0.253147,-23.459840
  0.254147,-23.692082
  0.255147,-23.905440
  0.256147,-24.112629
  0.257147,-24.288808
  0.258147,-24.455114
  0.259147,-24.590872
  0.260147,-24.703054
  0.261147,-24.796205
  0.262147,-24.850181
  0.263147,-24.896649
  0.264147,-24.895884
  0.265147,-24.883623
  0.266147,-24.849769
  0.267147,-24.796217
  0.268147,-24.733890
  0.269147,-24.646851
  0.270147,-24.554881
  0.271147,-24.446919
  0.272147,-24.332125
  0.273147,-24.208416
  0.274147,-24.074408
  0.275147,-23.935216
  0.276147,-23.776914
  0.277147,-23.614494
  0.278147,-23.431641
  0.279147,-23.237315
  0.280147,-23.028848
  0.281147,-22.797789
  0.282147,-22.560627
  0.283147,-22.294793
  0.284147,-22.022818
  0.285147,-21.732749
  0.286147,-21.430375
  0.287147,-21.120777
  0.288147,-20.790512
  0.289147,-20.458991
  0.290147,-20.118154
  0.291147,-19.774663
  0.292147,-19.430590
  0.293147,-19.087218
  0.294147,-18.744568
  0.295147,-18.409038
  0.296147,-18.073902
  0.297147,-17.751362
  0.298147,-17.435415
  0.299147,-17.124612
  0.300147,-16.829346
  0.301147,-16.534110
  0.302147,-16.256126
  0.303147,-15.981435
  0.304147,-15.715016
  0.305147,-15.459131
  0.306147,-15.203718
  0.307147,-14.965729
  0.308147,-14.727740
  0.309147,-14.499146
  0.310147,-14.276030
  0.311147,-14.056450
  0.312147,-13.847493
  0.313147,-13.638536
  0.314147,-13.441736
  0.315147,-13.246925
  0.316147,-13.055870
  0.317147,-12.868820
  0.318147,-12.682217
  0.319147,-12.501272
  0.320147,-12.320684
  0.321147,-12.141041
  0.322147,-11.963039
  0.323147,-11.783544
  0.324147,-11.604226
  0.325147,-11.425360
  0.326147,-11.242326
  0.327147,-11.061408
  0.328147,-10.877235
  0.329147,-10.694592
  0.330147,-10.511793
  0.331147,-10.329421
  0.332147,-10.149002
  0.333147, -9.971272
  0.334147, -9.797428
  0.335147, -9.627275
  0.336147, -9.464753
  0.337147, -9.304087
  0.338147, -9.158014
  0.339147, -9.014865
  0.340147, -8.882675
  0.341147, -8.758972
  0.342147, -8.641086
  0.343147, -8.537732
  0.344147, -8.436445
  0.345147, -8.351406
  0.346147, -8.270547
  0.347147, -8.199451
  0.348147, -8.138612
  0.349147, -8.080680
  0.350147, -8.040121
  0.351147, -7.999635
  0.352147, -7.971809
  0.353147, -7.948767
  0.354147, -7.931287
  0.355147, -7.926054
  0.356147, -7.920172
  0.357147, -7.928877
  0.358147, -7.938210
  0.359147, -7.954262
  0.360147, -7.975767
  0.361147, -7.999721
  0.362147, -8.031815
  0.363147, -8.064300
  0.364147, -8.101060
  0.365147, -8.139000
  0.366147, -8.178509
  0.367147, -8.217814
  0.368147, -8.257818
  0.369147, -8.290550
  0.370147, -8.323589
  0.371147, -8.350191
  0.372147, -8.372292
  0.373147, -8.390617
  0.374147, -8.394604
  0.375147, -8.399300
  0.376147, -8.384365
  0.377147, -8.366200
  0.378147, -8.338361
  0.379147, -8.298467
  0.380147, -8.256986
  0.381147, -8.195385
  0.382147, -8.133784
  0.383147, -8.063400
  0.384147, -7.988840
  0.385147, -7.911685
  0.386147, -7.828892
  0.387147, -7.746100
  0.388147, -7.662467
  0.389147, -7.578786
  0.390147, -7.496194
  0.391147, -7.414327
  0.392147, -7.333061
  0.393147, -7.251777
  0.394147, -7.170492
  0.395147, -7.091763
  0.396147, -7.012285
  0.397147, -6.932287
  0.398147, -6.846610
  0.399147, -6.760890
  0.400147, -6.669096
  0.401147, -6.574942
  0.402147, -6.472838
  0.403147, -6.361785
  0.404147, -6.247315
  0.405147, -6.118729
  0.406147, -5.988625
  0.407147, -5.841753
  0.408147, -5.689643
  0.409147, -5.529392
  0.410147, -5.358197
  0.411147, -5.184714
  0.412147, -4.995680
  0.413147, -4.805115
  0.414147, -4.606311
  0.415147, -4.403910
  0.416147, -4.198632
  0.417147, -3.987271
  0.418147, -3.775256
  0.419147, -3.559392
  0.420147, -3.342589
  0.421147, -3.126530
  0.422147, -2.910028
  0.423147, -2.693900
  0.424147, -2.483159
  0.425147, -2.270074
  0.426147, -2.067978
  0.427147, -1.866952
  0.428147, -1.673743
  0.429147, -1.492431
  0.430147, -1.309063
  0.431147, -1.151420
  0.432147, -0.991574
  0.433147, -0.847385
  0.434147, -0.711754
  0.435147, -0.580232
  0.436147, -0.464354
  0.437147, -0.347771
  0.438147, -0.237746
  0.439147, -0.128854
  0.440147, -0.016775
  0.441147,  0.098994
  0.442147,  0.214486
  0.443147,  0.346243
  0.444147,  0.476618
  0.445147,  0.621827
  0.446147,  0.773405
  0.447147,  0.924924
  0.448147,  1.085226
  0.449147,  1.242992
  0.450147,  1.398546
  0.451147,  1.553954
  0.452147,  1.698524
  0.453147,  1.839170
  0.454147,  1.972780
  0.455147,  2.087086
  0.456147,  2.200945
  0.457147,  2.294858
  0.458147,  2.384808
  0.459147,  2.468391
  0.460147,  2.545246
  0.461147,  2.621442
  0.462147,  2.693935
  0.463147,  2.766427
  0.464147,  2.841856
  0.465147,  2.919081
  0.466147,  2.997075
  0.467147,  3.077284
  0.468147,  3.157492
  0.469147,  3.236715
  0.470147,  3.315704
  0.471147,  3.390882
  0.472147,  3.461966
  0.473147,  3.531480
  0.474147,  3.587797
  0.475147,  3.644004
  0.476147,  3.687503
