# AuFCC100UCD_HIESCA-JS
# h[nm],U(h)[kJ/mol]
0.200000000000000011,131.412247232212223480
0.201000000000000012,122.738473880084413281
0.202000000000000013,117.467480631467239505
0.203000000000000014,113.703556547050808945
0.204000000000000015,110.409970482215427978
0.205000000000000016,107.083205814700704650
0.206000000000000016,103.534700876038840534
0.207000000000000017,99.748276559301970678
0.208000000000000018,95.790080501706512450
0.209000000000000019,91.754326121693097207
0.210000000000000020,87.732885619051501180
0.211000000000000021,83.800316614811649174
0.212000000000000022,80.008474733683016211
0.213000000000000023,76.386727590585564940
0.214000000000000024,72.945120813364070500
0.215000000000000024,69.678791505088227609
0.216000000000000025,66.572582798177194263
0.217000000000000026,63.605262934231802774
0.218000000000000027,60.753051957144904804
0.219000000000000028,57.992351970402886252
0.220000000000000029,55.301694949934166345
0.221000000000000030,52.662988708980947195
0.222000000000000031,50.062173726610517122
0.223000000000000032,47.489413312216335328
0.224000000000000032,44.938935552690260522
0.225000000000000033,42.408633618712592295
0.226000000000000034,39.899515317701776951
0.227000000000000035,37.415075916368977005
0.228000000000000036,34.960651873244131593
0.229000000000000037,32.542798188064850251
0.230000000000000038,30.168719083530834979
0.231000000000000039,27.845770862125142742
0.232000000000000040,25.581046999905620254
0.233000000000000040,23.381048701138276158
0.234000000000000041,21.251439026492089823
0.235000000000000042,19.196875078808965043
0.236000000000000043,17.220910336268239860
0.237000000000000044,15.325957827378715592
0.238000000000000045,13.513304231270552691
0.239000000000000046,11.783164971712118074
0.240000000000000047,10.134770792923623262
0.241000000000000048,8.566477025135517565
0.242000000000000048,7.075887658421562421
0.243000000000000049,5.659987357573703193
0.244000000000000050,4.315275601335228473
0.245000000000000051,3.037898165650550819
0.246000000000000052,1.823772156368744346
0.247000000000000053,0.668701707266408096
0.248000000000000054,-0.431517721088536532
0.249000000000000055,-1.481007785300743063
0.250000000000000056,-2.483729170064431280
0.251000000000000056,-3.443417170076480627
0.252000000000000057,-4.363530721541158286
0.253000000000000058,-5.247214324154958476
0.254000000000000059,-6.097272036328183376
0.255000000000000060,-6.916152538992973220
0.256000000000000061,-7.705944137620804213
0.257000000000000062,-8.468378499118745850
0.258000000000000063,-9.204841891585973102
0.259000000000000064,-9.916392702549416072
0.260000000000000064,-10.603784047999322837
0.261000000000000065,-11.267490343784867690
0.262000000000000066,-11.907736786945127605
0.263000000000000067,-12.524530782320521638
0.264000000000000068,-13.117694445026193861
0.265000000000000069,-13.686897408456905723
0.266000000000000070,-14.231689267444405544
0.267000000000000071,-14.751531084590624232
0.268000000000000071,-15.245825482740638535
0.269000000000000072,-15.713944936584734791
0.270000000000000073,-16.155257960418147434
0.271000000000000074,-16.569152966409724570
0.272000000000000075,-16.955059637890713020
0.273000000000000076,-17.312467724957304682
0.274000000000000077,-17.640943225072902578
0.275000000000000078,-17.940141959493796975
0.276000000000000079,-18.209820597487301086
0.277000000000000079,-18.449845214818552108
0.278000000000000080,-18.660197501270069154
0.279000000000000081,-18.840978754495928627
0.280000000000000082,-18.992411814792809821
0.281000000000000083,-19.114841107901050066
0.282000000000000084,-19.208730971236871454
0.283000000000000085,-19.274662443501586750
0.284000000000000086,-19.313328698893990065
0.285000000000000087,-19.325529305627220822
0.286000000000000087,-19.312163484552286263
0.287000000000000088,-19.274222537816399381
0.288000000000000089,-19.212781610005610133
0.289000000000000090,-19.128990935473858315
0.290000000000000091,-19.024066715846199571
0.291000000000000092,-18.899281761277194391
0.292000000000000093,-18.755956018182281753
0.293000000000000094,-18.595447095053891928
0.294000000000000095,-18.419140886804960644
0.295000000000000095,-18.228442387006829506
0.296000000000000096,-18.024766766537148044
0.297000000000000097,-17.809530786635242805
0.298000000000000098,-17.584144604264757561
0.299000000000000099,-17.350004018077850532
0.300000000000000100,-17.108483194212666945
0.301000000000000101,-16.860927902676685619
0.302000000000000102,-16.608649287197678746
0.303000000000000103,-16.352918184175440075
0.304000000000000103,-16.094959999746343726
0.305000000000000104,-15.835950147975140112
0.306000000000000105,-15.577010047804213499
0.307000000000000106,-15.319203671601224315
0.308000000000000107,-15.063534633933787887
0.309000000000000108,-14.810943805536449958
0.310000000000000109,-14.562307434294684327
0.311000000000000110,-14.318435752422578489
0.312000000000000111,-14.080072046823479681
0.313000000000000111,-13.847892167864472412
0.314000000000000112,-13.622504450432955991
0.315000000000000113,-13.404450020144278000
0.316000000000000114,-13.194203456901590243
0.317000000000000115,-12.992173787640771465
0.318000000000000116,-12.798705779993968079
0.319000000000000117,-12.614081508746556537
0.320000000000000118,-12.438522167314690847
0.321000000000000119,-12.272190097008733645
0.322000000000000119,-12.115191007546229685
0.323000000000000120,-11.967576363112865323
0.324000000000000121,-11.829345909219902921
0.325000000000000122,-11.700450316651068050
0.326000000000000123,-11.580793919912235168
0.327000000000000124,-11.470237528775939495
0.328000000000000125,-11.368601292736080666
0.329000000000000126,-11.275667599438463640
0.330000000000000127,-11.191183989420975919
0.331000000000000127,-11.114866070770080597
0.332000000000000128,-11.046400418567285939
0.333000000000000129,-10.985447445253370802
0.334000000000000130,-10.931644229269311452
0.335000000000000131,-10.884607290537104518
0.336000000000000132,-10.843935302512138108
0.337000000000000133,-10.809211731669799761
0.338000000000000134,-10.780007396376351636
0.339000000000000135,-10.755882938135723492
0.340000000000000135,-10.736391199197127477
0.341000000000000136,-10.721079501451077576
0.342000000000000137,-10.709491822432601893
0.343000000000000138,-10.701170865089416395
0.344000000000000139,-10.695660018758918142
0.345000000000000140,-10.692505209531740107
0.346000000000000141,-10.691256638860936690
0.347000000000000142,-10.691470409906349559
0.348000000000000143,-10.692710041683906041
0.349000000000000143,-10.694547871620130763
0.350000000000000144,-10.696566347596411006
0.351000000000000145,-10.698359211004431657
0.352000000000000146,-10.699532572728220003
0.353000000000000147,-10.699705884319016036
0.354000000000000148,-10.698512806940202680
0.355000000000000149,-10.695601980931726871
0.356000000000000150,-10.690637699079633904
0.357000000000000151,-10.683300486877779889
0.358000000000000151,-10.673287593238494964
0.359000000000000152,-10.660313395247680290
0.360000000000000153,-10.644109720671078634
0.361000000000000154,-10.624426092002654087
0.362000000000000155,-10.601029895906467715
0.363000000000000156,-10.573706481940877921
0.364000000000000157,-10.542259194470869232
0.365000000000000158,-10.506509341672758850
0.366000000000000159,-10.466296105515564108
0.367000000000000159,-10.421476396569163470
0.368000000000000160,-10.371924657440123596
0.369000000000000161,-10.317532618574395187
0.370000000000000162,-10.258209010093505498
0.371000000000000163,-10.193879233248136273
0.372000000000000164,-10.124484994981283847
0.373000000000000165,-10.049983908994912341
0.374000000000000166,-9.970349066608202193
0.375000000000000167,-9.885568580585113452
0.376000000000000167,-9.795645104994067154
0.377000000000000168,-9.700595334043706330
0.378000000000000169,-9.600449482717618110
0.379000000000000170,-9.495250751907788000
0.380000000000000171,-9.385054780621809201
0.381000000000000172,-9.269929087714206872
0.382000000000000173,-9.149952505466810493
0.383000000000000174,-9.025214607218916996
0.384000000000000175,-8.895815131124042097
0.385000000000000175,-8.761863401988238209
0.386000000000000176,-8.623477753024417325
0.387000000000000177,-8.480784949238929116
0.388000000000000178,-8.333919614050989466
0.389000000000000179,-8.183023660632363416
0.390000000000000180,-8.028245729344744674
0.391000000000000181,-7.869740632545052961
0.392000000000000182,-7.707668807925564636
0.393000000000000183,-7.542195781454998027
