#Name  kT        Joules        kJ/mol    
ALA    53.281    2.207E-19     133.202   
ARG    54.391    2.253E-19     135.978   
ASN    54.897    2.274E-19     137.242   
ASP    55.064    2.281E-19     137.659   
CYS    54.785    2.269E-19     136.963   
GLN    54.504    2.258E-19     136.260   
GLU    54.221    2.246E-19     135.553   
GLY    54.785    2.269E-19     136.963   
HIS    55.064    2.281E-19     137.659   
ILE    52.535    2.176E-19     131.336   
LEU    52.475    2.173E-19     131.187   
LYS    53.455    2.214E-19     133.638   
MET    54.050    2.239E-19     135.125   
PHE    54.729    2.267E-19     136.823   
PRO    53.086    2.199E-19     132.715   
SER    54.617    2.262E-19     136.542   
THR    53.513    2.216E-19     133.783   
TRP    56.049    2.322E-19     140.124   
TYR    53.993    2.236E-19     134.983   
VAL    52.594    2.178E-19     131.485   
CHL    48.695    2.017E-19     121.739   
PHO    49.262    2.040E-19     123.155   
EST    48.054    1.990E-19     120.134   
CYM    54.785    2.269E-19     136.963   
DGL    50.747    2.102E-19     126.867   
ETA    50.117    2.076E-19     125.294   
HID    55.064    2.281E-19     137.659   
HIE    55.064    2.281E-19     137.659   
HIP    55.064    2.281E-19     137.659   
COL    52.535    2.176E-19     131.336
GAN    54.221    2.246E-19     135.553
