PDB,Concentration/M
1AX8,2.68225953543265E-08
1DH4,2.54473161033797E-05
1HPT,2.70365581286E-08
1HUP,2.56272949816401E-09
1IMV,1.55467265503541E-07
1LHW,5.93892048699148E-09
1NDX,3.07969818957742E-10
1NUH,2.37540975818329E-09
1P7X,7.74533343660444E-10
1QDD,2.50920933212322E-09
1YCK,1.19644747135429E-09
1ZXQ,1.20702029098976E-09
2FJ9,9.95619275189167E-09
2HGS,2.09983773981101E-10
2HZR,3.85410791502162E-06
2I5F,2.74143302180685E-09
2KNT,2.90977655825809E-10
2NSM,1.37704165551008E-08
2PKT,1.63561765358173E-09
2QYQ,9.02312770100204E-09
2RHP,3.92334853951427E-09
2V5Y,2.87142141469435E-10
3APX,9.32084904461297E-06
3DHP,2.76969948760559E-10
3ERB,4.20329538358073E-07
3GW3,2.45176159070292E-10
3KQ0,9.35692412385165E-06
3Q2C,5.26626221772834E-10
3RGK,1.22206703910615E-08
3SH5,2.55956316788601E-10
3SVA,3.0381669725932E-07
3T0O,7.80163495132458E-10
4AQJ,2.35376165983785E-09
4CYY,9.82249351013822E-10
4DOU,4.54304535473612E-09
4ENZ,7.03735526369625E-07
4F2A,3.46993936737526E-10
4GLP,1.04800878331171E-08
4JHS,2.03665987780041E-06
4K0N,8.17145191843405E-10
4MTH,1.03119360659964E-09
4N5U,1.64412647560351E-10
4NH9,9.51670289502428E-10
4RQR,2.88722826086956E-09
4XAT,1.01187142005312E-09
4YEQ,5.52478155304517E-11
4YU8,3.60676009892828E-09
5A2F,8.75549138275322E-10
5A7H,7.35752787063547E-10
5DQY,1.36321036039874E-09
5DZZ,6.02819991922212E-11
5E13,8.17260542661E-08
5EC3,2.89313214937464E-10
5H1D,4.35009570210545E-10
5I7Q,1.17145008785876E-09
5IEI,9.47608200455581E-11
5IR3,8.75378004138151E-06
5LG8,5.99400599400599E-10
5LLK,3.48929095555259E-10
5LVE,2.54473161033797E-05
5M9V,1.69184290030211E-08
5MHP,3.93963270501242E-10
5MPI,1.85414972972202E-09
5NRF,2.32193649503686E-10
5NUB,2.5206431986093E-05
5O7D,2.21898464641937E-09
5OG0,4.88258544524529E-10
5OOH,6.329400063294E-09
5VC1,2.18076658686325E-09
5VHG,5.34324544081775E-09
5W6E,2.76963180188987E-09
5WY9,5.70640544010652E-07
5YJH,1.71464088989862E-10
6AYL,2.85345471839119E-09
6CZS,3.47649355511579E-09
6DUM,2.18730633225183E-09
6END,3.60828462149094E-10
6ENP,6.97836706210747E-10
6ESM,3.56878839633944E-10
6EW1,1.46043121903262E-09
6F8O,3.90483362619585E-10
6FMF,1.26049605367774E-10
6FUY,7.26984870637081E-10
6GS6,7.77259604707972E-09
6I3I,2.06945855438913E-07
6IBD,3.07595354559914E-09
6JE7,2.30657228941716E-05
6M8Z,1.15630184505555E-09
6N8Y,1.05687932359723E-09
6NCO,3.87232394755767E-07
6O1S,3.64298724954463E-08
6OLX,1.03945192534845E-09
6QAE,2.48472624163232E-09
6QNV,1.74380223621877E-10
6RQ7,5.35696187870101E-08
9CA2,1.43609382479655E-09
