# pdb=1N5U, R=20nm, Zeta=0.0

0.2      -14.03335     -89.97962     1.76384
0.4      -18.50354     -124.33884    1.95870
0.6      -19.65738     -131.57381    2.05532
0.8      -19.58859     -130.53809    2.09634       
1.0      -19.43618     -132.58190    2.07555       
1.2      -19.34756     -130.98817    2.08642       
1.4      -19.34729     -130.43506    2.07429       
1.6      -19.32900     -132.73454    2.08508       
1.8      -19.31473     -131.83723    2.08946       
2.0      -19.31022     -131.29207    2.09956       
2.2      -19.29971     -131.00762    2.07432       
2.4      -19.25805     -130.43981    2.08603       
2.6      -19.22072     -129.97826    2.08489
2.8      -19.21598     -129.78234    2.07730       
3.0      -19.20394     -130.40868    2.10490
