#Material name, surface folder, Hamaker file, default shape
silicaquartz,surface/SiO2-Quartz,hamaker/SiO2_Quartz.dat,1
silicaamorph,surface/SiO2-Amorphous,hamaker/SiO2_Amorph.dat,1
anatase100,surface/TiO2-ana-100,hamaker/TiO2_Anatase.dat,1
anatase101,surface/TiO2-ana-101,hamaker/TiO2_Anatase.dat,1
rutile110,surface/TiO2-rut-110,hamaker/TiO2_Rutile.dat,1
rutile100,surface/TiO2-rut-100,hamaker/TiO2_Rutile.dat,1
fe2o3,surface/Fe2O3-001O,hamaker/Fe2O3.dat,1
CdSe,surface/CdSe/Wurtzite/2-10/sca,hamaker/CdSe.dat,1
gold-fullAA,surface/Au/100-FullAA,hamaker/Metal.dat,1
carbonblack,surface/C_amorph-1,hamaker/CarbonAmorph.dat,1
cnt,surface/CNT15,hamaker/CNTFilm.dat,4
cntOH4,surface/CNT15-OH-4,hamaker/CNTFilm.dat,4
cntOH14,surface/CNT15-OH-14,hamaker/CNTFilm.dat,4
cntCOOH3,surface/CNT15-COOH-3,hamaker/CNTFilm.dat,4
cntCOOH30,surface/CNT15-COOH-30,hamaker/CNTFilm.dat,4
cntCOO--3,surface/CNT15-COO--3,hamaker/CNTFilm.dat,4
cntCOO--10,surface/CNT15-COO--10,hamaker/CNTFilm.dat,4
cntNH2-2,surface/CNT15-NH2-2,hamaker/CNTFilm.dat,4
cntNH2-14,surface/CNT15-NH2-14,hamaker/CNTFilm.dat,4
cntNH3+-2,surface/CNT15-NH3+-2,hamaker/CNTFilm.dat,4
cntNH3+-4,surface/CNT15-NH3+-4,hamaker/CNTFilm.dat,4
mwcnt,surface/CNT15,hamaker/CNTFilm.dat,5
mwcntOH4,surface/CNT15-OH-4,hamaker/CNTFilm.dat,5
mwcntOH14,surface/CNT15-OH-14,hamaker/CNTFilm.dat,5
mwcntCOOH3,surface/CNT15-COOH-3,hamaker/CNTFilm.dat,5
mwcntCOOH30,surface/CNT15-COOH-30,hamaker/CNTFilm.dat,5
mwcntCOO--3,surface/CNT15-COO--3,hamaker/CNTFilm.dat,5
mwcntCOO--10,surface/CNT15-COO--10,hamaker/CNTFilm.dat,5
mwcntNH2-2,surface/CNT15-NH2-2,hamaker/CNTFilm.dat,5
mwcntNH2-14,surface/CNT15-NH2-14,hamaker/CNTFilm.dat,5
mwcntNH3+-2,surface/CNT15-NH3+-2,hamaker/CNTFilm.dat,5
mwcntNH3+-4,surface/CNT15-NH3+-4,hamaker/CNTFilm.dat,5
grapheneoxide,surface/grapheneoxide,hamaker/Graphene.dat,1
redgrapheneoxide,surface/redgrapheneoxide,hamaker/Graphene.dat,1
graphene,surface/graphene,hamaker/Graphene.dat,1
bi-graphene,surface/bi-graphene,hamaker/Graphene.dat,1
tri-graphene,surface/tri-graphene,hamaker/Graphene.dat,1
grapheneoxide-hollow,surface/grapheneoxide,hamaker/Null.dat,1
redgrapheneoxide-hollow,surface/redgrapheneoxide,hamaker/Null.dat,1
graphene-hollow,surface/graphene,hamaker/Null.dat,1
bi-graphene-hollow,surface/bi-graphene,hamaker/Null.dat,1
tri-graphene-hollow,surface/tri-graphene,hamaker/Null.dat,1
goldcube,surface/Au/100-FullAA,hamaker/Metal.dat,3
peg-3b,surface/PEG-3B,hamaker/PEG.dat,1
peg-plane,surface/PEG-Plane,hamaker/PEG.dat,1
Au100,surface/Au/100,hamaker/Metal.dat,1
Au110,surface/Au/110,hamaker/Metal.dat,1
Au111,surface/Au/111,hamaker/Metal.dat,1
Ag100,surface/Ag/100,hamaker/Metal.dat,1
Ag110,surface/Ag/110,hamaker/Metal.dat,1
Ag111,surface/Ag/111,hamaker/Metal.dat,1
Fe100,surface/FeFCC100,hamaker/Metal.dat,1
Fe110,surface/FeFCC110,hamaker/Metal.dat,1
Fe111,surface/FeFCC111,hamaker/Metal.dat,1
Al100,surface/AlFCC100,hamaker/Metal.dat,1
Al110,surface/AlFCC110,hamaker/Metal.dat,1
Al111,surface/AlFCC111,hamaker/Metal.dat,1
graphenecylinder,surface/graphene,hamaker/CNTFilm.dat,2
