#Name  kT        Joules        kJ/mol    
ALA    1.700     7.040E-21     4.249     
ARG    9.604     3.978E-20     24.009    
LYS    11.955    4.951E-20     29.886    
HID    9.725     4.028E-20     24.313    
HIE    9.732     4.031E-20     24.329    
ASP    10.920    4.523E-20     27.301    
GLU    9.249     3.831E-20     23.123    
SER    7.052     2.921E-20     17.630    
THR    6.020     2.493E-20     15.049    
ASN    9.295     3.850E-20     23.238    
GLN    8.153     3.377E-20     20.382    
CYS    16.935    7.014E-20     42.338    
GLY    8.754     3.626E-20     21.885    
PRO    8.182     3.389E-20     20.454    
VAL    3.577     1.482E-20     8.943     
ILE    3.845     1.593E-20     9.613     
LEU    3.798     1.573E-20     9.496     
MET    9.920     4.109E-20     24.799    
PHE    6.100     2.527E-20     15.251    
TYR    7.346     3.043E-20     18.366    
TRP    8.741     3.621E-20     21.853    
HIP    11.525    4.773E-20     28.812    
ETA    32.743    1.356E-19     81.859    
PHO    12.653    5.241E-20     31.634    
CHL    21.536    8.920E-20     53.841    
DGL    9.883     4.094E-20     24.708    
EST    7.500     3.106E-20     18.749    
CYM    17.016    7.048E-20     42.540    
GAN    8.356     3.461E-20     20.891    
HIS    10.222    4.234E-20     25.556    
X00    2.583     1.070E-20     6.458     
X01    12.109    5.016E-20     30.274    
X02    10.771    4.461E-20     26.928    
X03    7.945     3.291E-20     19.863    
X04    21.011    8.702E-20     52.526    
X05    8.550     3.541E-20     21.374    
X06    6.466     2.678E-20     16.166    
X07    8.531     3.533E-20     21.327    
X08    8.523     3.530E-20     21.308    
X09    2.064     8.550E-21     5.161     
X0A    2.023     8.381E-21     5.058     
X0B    5.648     2.340E-20     14.121    
X0C    10.892    4.511E-20     27.229    
X0D    4.772     1.976E-20     11.929    
X0E    7.613     3.153E-20     19.032    
X0F    4.852     2.010E-20     12.130    
X0G    7.771     3.219E-20     19.427    
X0H    6.375     2.640E-20     15.937    
X0I    1.952     8.086E-21     4.881     
X0J    10.252    4.246E-20     25.629    
X0K    14.311    5.928E-20     35.777    
X0L    11.629    4.817E-20     29.072    
X0M    17.841    7.390E-20     44.603    
X0N    6.615     2.740E-20     16.538    
X0O    8.682     3.596E-20     21.705    
X0P    2.960     1.226E-20     7.401     
X0Q    27.254    1.129E-19     68.136    
X0R    17.841    7.390E-20     44.603    
X0S    14.311    5.928E-20     35.777    
X0T    6.615     2.740E-20     16.538    
X0U    10.252    4.246E-20     25.629    
X0V    11.629    4.817E-20     29.072    
X0W    17.164    7.109E-20     42.911    
X0X    10.635    4.405E-20     26.589    
X0Y    9.296     3.850E-20     23.240    
X0Z    9.296     3.850E-20     23.240    
X10    9.799     4.059E-20     24.498    
X11    7.256     3.005E-20     18.139    
X12    9.134     3.783E-20     22.836    
X13    8.616     3.569E-20     21.539    
X14    8.682     3.596E-20     21.705    
X15    3.046     1.262E-20     7.615     
X16    3.577     1.482E-20     8.943     
X17    2.817     1.167E-20     7.043     
X18    3.786     1.568E-20     9.466     
X19    4.118     1.706E-20     10.295    
X1A    4.371     1.811E-20     10.929    
X1B    4.372     1.811E-20     10.929    
X1C    5.075     2.102E-20     12.688    
X1D    12.661    5.244E-20     31.652    
X1E    21.537    8.920E-20     53.842    
X1F    7.500     3.107E-20     18.751    
X1G    11.525    4.773E-20     28.812    
X1H    32.743    1.356E-19     81.856    
X1I    13.420    5.558E-20     33.550    
X1J    8.953     3.708E-20     22.382    
X1K    8.356     3.461E-20     20.890    
X1L    9.651     3.997E-20     24.127    
X1M    8.857     3.668E-20     22.141    
X1N    9.821     4.068E-20     24.553    
X1O    9.841     4.076E-20     24.602    
X1P    9.811     4.064E-20     24.529    
X1Q    5.203     2.155E-20     13.008    
X1R    8.494     3.518E-20     21.236    
X1S    6.302     2.610E-20     15.755    
X1T    66.841    2.769E-19     167.102   
X1U    7.796     3.229E-20     19.490    
X1V    16.245    6.729E-20     40.612    
X1W    14.267    5.909E-20     35.668    
X1X    8.715     3.610E-20     21.788    
X1Y    8.094     3.352E-20     20.235    
X1Z    7.581     3.140E-20     18.952    
X20    12.050    4.991E-20     30.125    
X21    8.753     3.625E-20     21.883    
X22    15.233    6.310E-20     38.084    
X23    8.583     3.555E-20     21.459    
X24    24.934    1.033E-19     62.335    
X25    13.637    5.649E-20     34.093    
X26    9.174     3.800E-20     22.934    
X27    6.182     2.560E-20     15.454    
X28    14.841    6.147E-20     37.103    
X29    3.408     1.412E-20     8.520     
X2A    10.880    4.506E-20     27.200    
X2B    8.603     3.563E-20     21.506    
X2C    7.578     3.139E-20     18.944    
X2D    10.759    4.456E-20     26.898    
X2E    9.042     3.745E-20     22.606    
X2F    8.335     3.452E-20     20.838    
X2G    11.493    4.760E-20     28.732    
X2H    8.144     3.373E-20     20.360    
X2I    9.049     3.748E-20     22.623    
X2J    16.689    6.913E-20     41.723    
X2K    8.572     3.551E-20     21.431    
X2L    9.361     3.877E-20     23.403    
X2M    10.147    4.203E-20     25.368    
X2N    13.683    5.667E-20     34.208    
X2O    8.611     3.567E-20     21.528    
X2P    11.126    4.608E-20     27.815    
X2Q    11.586    4.799E-20     28.966    
X2R    8.511     3.525E-20     21.277    
X2S    5.443     2.254E-20     13.607    
X2T    7.809     3.234E-20     19.523    
