#Predicted Hamaker constants for ZnS-sphalerite-110-coated
#Estimated self-vacuum-self Hamaker: 30.20225055171786#Nominal refractive index: 1.7085057481574069
#Name  kT        Joules        kJ/mol    
ALA    2.562     1.061E-20     6.405     
ARG    -4.402    -1.823E-20    -11.006   
LYS    2.900     1.201E-20     7.251     
HID    3.597     1.490E-20     8.992     
HIE    3.644     1.509E-20     9.111     
ASP    9.191     3.807E-20     22.978    
GLU    8.693     3.601E-20     21.732    
SER    9.295     3.850E-20     23.237    
THR    4.556     1.887E-20     11.390    
ASN    7.949     3.293E-20     19.873    
GLN    -0.570    -2.360E-21    -1.425    
CYS    15.741    6.520E-20     39.353    
GLY    11.828    4.899E-20     29.570    
PRO    3.279     1.358E-20     8.199     
VAL    1.654     6.852E-21     4.136     
ILE    -3.641    -1.508E-20    -9.102    
LEU    1.526     6.319E-21     3.814     
MET    1.420     5.882E-21     3.550     
PHE    0.296     1.228E-21     0.741     
TYR    -1.553    -6.432E-21    -3.882    
TRP    -2.396    -9.924E-21    -5.990    
HIP    1.184     4.904E-21     2.960     
ETA    26.844    1.112E-19     67.110    
PHO    -0.866    -3.589E-21    -2.166    
CHL    24.058    9.965E-20     60.145    
DGL    4.991     2.067E-20     12.478    
EST    4.600     1.905E-20     11.500    
CYM    8.921     3.695E-20     22.303    
GAN    2.997     1.241E-20     7.492     
MAN    9.330     3.864E-20     23.325    
FUC    7.509     3.110E-20     18.772    
BGL    12.118    5.019E-20     30.296    
NGL    2.102     8.707E-21     5.255     
NGA    4.781     1.980E-20     11.952    
NC4    24.054    9.963E-20     60.135    
MAS    4.596     1.903E-20     11.489    
PRA    2.997     1.241E-20     7.492     
DMP    -1.307    -5.414E-21    -3.268    
MMM    26.836    1.112E-19     67.091    
BTE    3.025     1.253E-20     7.562     
PAS    7.662     3.174E-20     19.156    
PGL    7.592     3.145E-20     18.980    
HMA    6.164     2.553E-20     15.410    
HMB    5.863     2.428E-20     14.657    
HMC    3.715     1.539E-20     9.287     
HMD    4.628     1.917E-20     11.569    
HFE    -4.711    -1.951E-20    -11.779   
PBB    0.000     0.000E+00     0.000     
NXX    0.000     0.000E+00     0.000     
HIS    2.987     1.237E-20     7.467     
HAF    2.987     1.237E-20     7.467     
HAS    5.525     2.288E-20     13.812    
X00    11.189    4.634E-20     27.972    
X01    -3.269    -1.354E-20    -8.171    
X02    10.297    4.265E-20     25.743    
X03    8.355     3.461E-20     20.887    
