#Name  kT        Joules        kJ/mol    
ALA    0.952     3.944E-21     2.381     
ARG    5.381     2.229E-20     13.452    
LYS    6.698     2.774E-20     16.745    
HID    5.449     2.257E-20     13.623    
HIE    5.453     2.258E-20     13.631    
ASP    6.119     2.534E-20     15.297    
GLU    5.182     2.147E-20     12.956    
SER    3.951     1.637E-20     9.878     
THR    3.373     1.397E-20     8.432     
ASN    5.208     2.157E-20     13.020    
GLN    4.568     1.892E-20     11.420    
CYS    9.489     3.930E-20     23.722    
GLY    4.905     2.032E-20     12.262    
PRO    4.584     1.899E-20     11.460    
VAL    2.004     8.301E-21     5.011     
ILE    2.154     8.923E-21     5.386     
LEU    2.128     8.815E-21     5.321     
MET    5.558     2.302E-20     13.895    
PHE    3.418     1.416E-20     8.545     
TYR    4.116     1.705E-20     10.291    
TRP    4.898     2.029E-20     12.244    
HIP    6.457     2.675E-20     16.143    
ETA    18.346    7.599E-20     45.865    
PHO    7.090     2.937E-20     17.724    
CHL    12.067    4.998E-20     30.167    
DGL    5.538     2.294E-20     13.844    
EST    4.202     1.740E-20     10.505    
CYM    9.534     3.949E-20     23.835    
GAN    4.682     1.939E-20     11.705    
HIS    5.728     2.372E-20     14.319    
X00    1.447     5.995E-21     3.618     
X01    6.785     2.810E-20     16.962    
X02    6.035     2.500E-20     15.088    
X03    4.452     1.844E-20     11.129    
X04    11.772    4.876E-20     29.431    
X05    4.790     1.984E-20     11.976    
X06    3.623     1.501E-20     9.058     
X07    4.780     1.980E-20     11.949    
X08    4.775     1.978E-20     11.939    
X09    1.157     4.791E-21     2.891     
X0A    1.134     4.696E-21     2.834     
X0B    3.165     1.311E-20     7.912     
X0C    6.103     2.528E-20     15.257    
X0D    2.674     1.107E-20     6.684     
X0E    4.265     1.767E-20     10.664    
X0F    2.719     1.126E-20     6.796     
X0G    4.354     1.803E-20     10.885    
X0H    3.572     1.479E-20     8.930     
X0I    1.094     4.531E-21     2.735     
X0J    5.744     2.379E-20     14.360    
X0K    8.018     3.321E-20     20.046    
X0L    6.516     2.699E-20     16.289    
X0M    9.997     4.141E-20     24.991    
X0N    3.706     1.535E-20     9.266     
X0O    4.865     2.015E-20     12.161    
X0P    1.659     6.870E-21     4.147     
X0Q    15.271    6.325E-20     38.177    
X0R    9.997     4.141E-20     24.991    
X0S    8.018     3.321E-20     20.046    
X0T    3.706     1.535E-20     9.266     
X0U    5.744     2.379E-20     14.360    
X0V    6.516     2.699E-20     16.289    
X0W    9.617     3.983E-20     24.043    
X0X    5.959     2.468E-20     14.898    
X0Y    5.209     2.157E-20     13.021    
X0Z    5.209     2.157E-20     13.021    
X10    5.490     2.274E-20     13.726    
X11    4.065     1.684E-20     10.163    
X12    5.118     2.120E-20     12.795    
X13    4.827     1.999E-20     12.068    
X14    4.865     2.015E-20     12.161    
X15    1.707     7.069E-21     4.267     
X16    2.004     8.302E-21     5.011     
X17    1.578     6.538E-21     3.946     
X18    2.122     8.787E-21     5.304     
X19    2.307     9.557E-21     5.768     
X1A    2.449     1.015E-20     6.123     
X1B    2.450     1.015E-20     6.124     
X1C    2.844     1.178E-20     7.109     
X1D    7.094     2.938E-20     17.735    
X1E    12.067    4.998E-20     30.168    
X1F    4.202     1.741E-20     10.506    
X1G    6.457     2.675E-20     16.143    
X1H    18.346    7.599E-20     45.864    
X1I    7.519     3.114E-20     18.798    
X1J    5.016     2.078E-20     12.541    
X1K    4.682     1.939E-20     11.705    
X1L    5.407     2.240E-20     13.518    
X1M    4.962     2.055E-20     12.406    
X1N    5.503     2.279E-20     13.757    
X1O    5.514     2.284E-20     13.784    
X1P    5.497     2.277E-20     13.743    
X1Q    2.915     1.207E-20     7.288     
X1R    4.759     1.971E-20     11.899    
X1S    3.531     1.463E-20     8.828     
X1T    37.451    1.551E-19     93.627    
X1U    4.368     1.809E-20     10.920    
X1V    9.102     3.770E-20     22.755    
X1W    7.994     3.311E-20     19.985    
X1X    4.883     2.023E-20     12.208    
X1Y    4.535     1.878E-20     11.338    
X1Z    4.247     1.759E-20     10.619    
X20    6.752     2.796E-20     16.879    
X21    4.904     2.031E-20     12.261    
X22    8.535     3.535E-20     21.338    
X23    4.809     1.992E-20     12.023    
X24    13.971    5.787E-20     34.926    
X25    7.641     3.165E-20     19.102    
X26    5.140     2.129E-20     12.850    
X27    3.464     1.435E-20     8.659     
X28    8.315     3.444E-20     20.789    
X29    1.910     7.909E-21     4.774     
X2A    6.096     2.525E-20     15.240    
X2B    4.820     1.996E-20     12.050    
X2C    4.246     1.759E-20     10.614    
X2D    6.028     2.497E-20     15.071    
X2E    5.066     2.099E-20     12.666    
X2F    4.670     1.934E-20     11.676    
X2G    6.439     2.667E-20     16.099    
X2H    4.563     1.890E-20     11.408    
X2I    5.070     2.100E-20     12.676    
X2J    9.351     3.873E-20     23.378    
X2K    4.803     1.989E-20     12.008    
X2L    5.245     2.173E-20     13.113    
X2M    5.686     2.355E-20     14.214    
X2N    7.667     3.175E-20     19.167    
X2O    4.825     1.998E-20     12.062    
X2P    6.234     2.582E-20     15.585    
X2Q    6.492     2.689E-20     16.230    
X2R    4.769     1.975E-20     11.922    
X2S    3.050     1.263E-20     7.624     
