#Name  kT        Joules        kJ/mol    
ALA    3.119     1.292E-20     7.797     
ARG    17.621    7.299E-20     44.053    
LYS    21.935    9.085E-20     54.836    
HID    17.844    7.391E-20     44.611    
HIE    17.856    7.396E-20     44.639    
ASP    20.037    8.299E-20     50.092    
GLU    16.971    7.029E-20     42.427    
SER    12.939    5.359E-20     32.347    
THR    11.045    4.575E-20     27.613    
ASN    17.055    7.064E-20     42.638    
GLN    14.959    6.196E-20     37.397    
CYS    31.073    1.287E-19     77.683    
GLY    16.062    6.653E-20     40.155    
PRO    15.012    6.218E-20     37.530    
VAL    6.563     2.718E-20     16.408    
ILE    7.055     2.922E-20     17.638    
LEU    6.970     2.887E-20     17.424    
MET    18.201    7.539E-20     45.502    
PHE    11.193    4.636E-20     27.982    
TYR    13.480    5.583E-20     33.699    
TRP    16.039    6.643E-20     40.097    
HIP    21.146    8.759E-20     52.865    
ETA    60.079    2.488E-19     150.197   
PHO    23.217    9.616E-20     58.042    
CHL    39.516    1.637E-19     98.789    
DGL    18.134    7.511E-20     45.335    
EST    13.760    5.700E-20     34.401    
CYM    31.222    1.293E-19     78.054    
GAN    15.332    6.351E-20     38.331    
HIS    18.756    7.769E-20     46.891    
X00    4.740     1.963E-20     11.849    
X01    22.219    9.203E-20     55.547    
X02    19.764    8.186E-20     49.409    
X03    14.578    6.038E-20     36.445    
X04    38.551    1.597E-19     96.377    
X05    15.687    6.498E-20     39.218    
X06    11.865    4.914E-20     29.662    
X07    15.652    6.483E-20     39.131    
X08    15.638    6.477E-20     39.096    
X09    3.788     1.569E-20     9.469     
X0A    3.713     1.538E-20     9.281     
X0B    10.364    4.293E-20     25.910    
X0C    19.984    8.277E-20     49.961    
X0D    8.755     3.626E-20     21.888    
X0E    13.968    5.785E-20     34.920    
X0F    8.903     3.687E-20     22.256    
X0G    14.258    5.906E-20     35.645    
X0H    11.697    4.845E-20     29.242    
X0I    3.582     1.484E-20     8.955     
X0J    18.810    7.791E-20     47.025    
X0K    26.258    1.088E-19     65.646    
X0L    21.337    8.838E-20     53.343    
X0M    32.736    1.356E-19     81.840    
X0N    12.138    5.027E-20     30.344    
X0O    15.930    6.598E-20     39.825    
X0P    5.432     2.250E-20     13.580    
X0Q    50.007    2.071E-19     125.018   
X0R    32.736    1.356E-19     81.840    
X0S    26.258    1.088E-19     65.646    
X0T    12.138    5.027E-20     30.344    
X0U    18.810    7.791E-20     47.025    
X0V    21.337    8.838E-20     53.343    
X0W    31.494    1.304E-19     78.734    
X0X    19.514    8.083E-20     48.786    
X0Y    17.057    7.065E-20     42.641    
X0Z    17.057    7.065E-20     42.641    
X10    17.980    7.447E-20     44.949    
X11    13.313    5.514E-20     33.282    
X12    16.760    6.942E-20     41.899    
X13    15.808    6.548E-20     39.520    
X14    15.930    6.598E-20     39.825    
X15    5.589     2.315E-20     13.973    
X16    6.564     2.719E-20     16.410    
X17    5.169     2.141E-20     12.922    
X18    6.948     2.878E-20     17.369    
X19    7.556     3.130E-20     18.890    
X1A    8.021     3.322E-20     20.052    
X1B    8.022     3.322E-20     20.054    
X1C    9.312     3.857E-20     23.280    
X1D    23.231    9.622E-20     58.077    
X1E    39.516    1.637E-19     98.791    
X1F    13.762    5.700E-20     34.405    
X1G    21.146    8.759E-20     52.865    
X1H    60.077    2.488E-19     150.193   
X1I    24.623    1.020E-19     61.558    
X1J    16.427    6.804E-20     41.068    
X1K    15.332    6.350E-20     38.329    
X1L    17.707    7.334E-20     44.269    
X1M    16.250    6.731E-20     40.626    
X1N    18.020    7.464E-20     45.051    
X1O    18.056    7.479E-20     45.140    
X1P    18.002    7.457E-20     45.006    
X1Q    9.547     3.954E-20     23.867    
X1R    15.586    6.456E-20     38.965    
X1S    11.563    4.789E-20     28.908    
X1T    122.642   5.080E-19     306.604   
X1U    14.305    5.925E-20     35.761    
X1V    29.807    1.235E-19     74.517    
X1W    26.178    1.084E-19     65.444    
X1X    15.991    6.623E-20     39.978    
X1Y    14.851    6.151E-20     37.128    
X1Z    13.909    5.761E-20     34.773    
X20    22.110    9.158E-20     55.274    
X21    16.060    6.652E-20     40.151    
X22    27.951    1.158E-19     69.877    
X23    15.749    6.523E-20     39.373    
X24    45.750    1.895E-19     114.374   
X25    25.022    1.036E-19     62.556    
X26    16.832    6.972E-20     42.081    
X27    11.342    4.698E-20     28.356    
X28    27.231    1.128E-19     68.077    
X29    6.253     2.590E-20     15.633    
X2A    19.963    8.269E-20     49.908    
X2B    15.784    6.538E-20     39.461    
X2C    13.904    5.759E-20     34.759    
X2D    19.741    8.177E-20     49.353    
X2E    16.591    6.872E-20     41.478    
X2F    15.294    6.335E-20     38.235    
X2G    21.088    8.734E-20     52.719    
X2H    14.943    6.189E-20     37.357    
X2I    16.604    6.877E-20     41.509    
X2J    30.622    1.268E-19     76.555    
X2K    15.729    6.515E-20     39.323    
X2L    17.177    7.114E-20     42.941    
X2M    18.619    7.712E-20     46.546    
X2N    25.106    1.040E-19     62.766    
X2O    15.800    6.544E-20     39.500    
X2P    20.414    8.455E-20     51.035    
X2Q    21.259    8.805E-20     53.148    
X2R    15.616    6.468E-20     39.040    
X2S    9.986     4.136E-20     24.966    
X2T    14.328    5.935E-20     35.821    
X2U    14.812    6.135E-20     37.030    
X2V    12.810    5.306E-20     32.026    
X2W    25.822    1.070E-19     64.554    
X2X    20.694    8.571E-20     51.736    
X2Y    20.685    8.568E-20     51.713    
X2Z    21.052    8.719E-20     52.629    
X30    18.450    7.642E-20     46.126    
X31    14.455    5.987E-20     36.136    
X32    23.957    9.923E-20     59.893    
X33    15.782    6.537E-20     39.454    
X34    9.541     3.952E-20     23.852    
X35    29.538    1.223E-19     73.846    
X36    13.404    5.552E-20     33.510    
X37    18.330    7.592E-20     45.825    
X38    15.626    6.472E-20     39.066    
X39    20.542    8.509E-20     51.356    
X3A    17.826    7.383E-20     44.565    
X3B    14.792    6.127E-20     36.980    
X3C    17.657    7.314E-20     44.144    
X3D    9.415     3.900E-20     23.537    
X3E    22.795    9.442E-20     56.989    
X3F    18.541    7.679E-20     46.352    
X3G    14.838    6.146E-20     37.095    
X3H    19.576    8.108E-20     48.939    
X3I    14.100    5.840E-20     35.249    
X3J    17.501    7.249E-20     43.753    
X3K    13.501    5.592E-20     33.753    
X3L    14.229    5.894E-20     35.572    
X3M    13.948    5.777E-20     34.870    
X3N    17.701    7.332E-20     44.252    
X3O    16.396    6.791E-20     40.989    
X3P    16.845    6.977E-20     42.113    
X3Q    23.049    9.547E-20     57.621    
X3R    9.556     3.958E-20     23.891    
X3S    10.217    4.232E-20     25.542    
X3T    11.818    4.895E-20     29.545    
X3U    11.069    4.585E-20     27.673    
X3V    11.339    4.696E-20     28.347    
X3W    9.075     3.759E-20     22.687    
X3X    22.521    9.328E-20     56.303    
X3Y    16.622    6.885E-20     41.556    
X3Z    22.776    9.434E-20     56.940    
X40    13.611    5.637E-20     34.027    
X41    22.580    9.352E-20     56.450    
X42    19.825    8.211E-20     49.562    
X43    20.678    8.565E-20     51.695    
X44    21.230    8.793E-20     53.076    
X45    25.707    1.065E-19     64.267    
X46    12.743    5.278E-20     31.857    
X47    25.378    1.051E-19     63.446    
X48    16.681    6.909E-20     41.703    
X49    9.096     3.767E-20     22.739    
X4A    20.885    8.650E-20     52.212    
X4B    12.764    5.287E-20     31.910    
X4C    19.768    8.188E-20     49.420    
X4D    22.026    9.123E-20     55.064    
X4E    42.574    1.763E-19     106.434   
X4F    45.220    1.873E-19     113.051   
X4G    16.346    6.770E-20     40.864    
X4H    23.394    9.690E-20     58.486    
X4I    11.290    4.676E-20     28.226    
X4J    12.315    5.101E-20     30.788    
X4K    17.460    7.232E-20     43.650    
X4L    21.796    9.028E-20     54.491    
X4M    16.664    6.902E-20     41.660    
X4N    33.436    1.385E-19     83.590    
X4O    17.745    7.350E-20     44.363    
X4P    7.340     3.040E-20     18.350    
X4Q    22.669    9.389E-20     56.673    
X4R    27.206    1.127E-19     68.014    
X4S    23.982    9.933E-20     59.955    
X4T    21.786    9.024E-20     54.465    
X4U    24.352    1.009E-19     60.881    
X4V    21.144    8.758E-20     52.861    
X4W    20.052    8.305E-20     50.130    
X4X    21.386    8.858E-20     53.466    
X4Y    22.363    9.262E-20     55.907    
X4Z    23.416    9.699E-20     58.541    
X50    18.542    7.680E-20     46.354    
X51    34.543    1.431E-19     86.357    
X52    37.315    1.546E-19     93.288    
X53    31.226    1.293E-19     78.066    
