#Name  kT        Joules        kJ/mol    
ALA    6.191     2.564E-20     15.477    
ARG    34.980    1.449E-19     87.451    
LYS    43.543    1.804E-19     108.857   
HID    35.423    1.467E-19     88.557    
HIE    35.446    1.468E-19     88.615    
ASP    39.776    1.647E-19     99.439    
GLU    33.689    1.395E-19     84.223    
SER    25.685    1.064E-19     64.213    
THR    21.926    9.082E-20     54.815    
ASN    33.856    1.402E-19     84.641    
GLN    29.695    1.230E-19     74.238    
CYS    61.684    2.555E-19     154.210   
GLY    31.885    1.321E-19     79.713    
PRO    29.801    1.234E-19     74.501    
VAL    13.029    5.396E-20     32.572    
ILE    14.005    5.801E-20     35.013    
LEU    13.835    5.731E-20     34.589    
MET    36.131    1.497E-19     90.327    
PHE    22.219    9.203E-20     55.548    
TYR    26.758    1.108E-19     66.896    
TRP    31.839    1.319E-19     79.597    
HIP    41.977    1.739E-19     104.943   
ETA    119.263   4.940E-19     298.159   
PHO    46.088    1.909E-19     115.221   
CHL    78.443    3.249E-19     196.108   
DGL    35.998    1.491E-19     89.996    
EST    27.316    1.131E-19     68.290    
CYM    61.979    2.567E-19     154.947   
GAN    30.436    1.261E-19     76.091    
HIS    37.233    1.542E-19     93.083    
X00    9.409     3.897E-20     23.522    
X01    44.107    1.827E-19     110.267   
X02    39.233    1.625E-19     98.082    
X03    28.939    1.199E-19     72.347    
X04    76.528    3.170E-19     191.320   
X05    31.141    1.290E-19     77.852    
X06    23.553    9.755E-20     58.882    
X07    31.072    1.287E-19     77.679    
X08    31.044    1.286E-19     77.610    
X09    7.519     3.114E-20     18.797    
X0A    7.370     3.053E-20     18.424    
X0B    20.574    8.521E-20     51.434    
X0C    39.671    1.643E-19     99.179    
X0D    17.380    7.199E-20     43.450    
X0E    27.728    1.148E-19     69.321    
X0F    17.673    7.320E-20     44.182    
X0G    28.304    1.172E-19     70.759    
X0H    23.220    9.617E-20     58.049    
X0I    7.111     2.945E-20     17.777    
X0J    37.340    1.547E-19     93.351    
X0K    52.126    2.159E-19     130.314   
X0L    42.357    1.754E-19     105.892   
X0M    64.985    2.692E-19     162.462   
X0N    24.095    9.980E-20     60.236    
X0O    31.623    1.310E-19     79.058    
X0P    10.783    4.466E-20     26.958    
X0Q    99.270    4.112E-19     248.176   
X0R    64.985    2.692E-19     162.462   
X0S    52.126    2.159E-19     130.314   
X0T    24.095    9.980E-20     60.236    
X0U    37.340    1.547E-19     93.351    
X0V    42.357    1.754E-19     105.892   
X0W    62.519    2.589E-19     156.297   
X0X    38.738    1.605E-19     96.845    
X0Y    33.859    1.402E-19     84.648    
X0Z    33.859    1.402E-19     84.648    
X10    35.692    1.478E-19     89.229    
