#Predicted Hamaker constants for ZnO1m210NBDry
#Estimated self-vacuum-self Hamaker: 55.40194228985376#Nominal refractive index: 2.055380294485364
#Name  kT        Joules        kJ/mol    
ALA    5.110     2.117E-20     12.776    
ARG    -7.229    -2.994E-20    -18.073   
LYS    5.712     2.366E-20     14.280    
HID    6.951     2.879E-20     17.378    
HIE    7.036     2.914E-20     17.590    
ASP    16.941    7.017E-20     42.353    
GLU    16.048    6.647E-20     40.121    
SER    17.126    7.094E-20     42.815    
THR    8.659     3.587E-20     21.648    
ASN    14.718    6.096E-20     36.794    
GLN    -0.449    -1.860E-21    -1.123    
CYS    28.727    1.190E-19     71.817    
GLY    21.673    8.977E-20     54.183    
PRO    6.387     2.645E-20     15.966    
VAL    3.497     1.449E-20     8.744     
ILE    -5.884    -2.437E-20    -14.709   
LEU    3.269     1.354E-20     8.172     
MET    3.081     1.276E-20     7.704     
PHE    1.087     4.502E-21     2.717     
TYR    -2.191    -9.073E-21    -5.477    
TRP    -3.683    -1.525E-20    -9.207    
HIP    2.662     1.103E-20     6.655     
ETA    48.981    2.029E-19     122.453   
PHO    -0.975    -4.036E-21    -2.436    
CHL    43.862    1.817E-19     109.654   
DGL    9.435     3.908E-20     23.589    
EST    8.738     3.619E-20     21.845    
CYM    16.457    6.817E-20     41.143    
GAN    5.884     2.437E-20     14.710    
MAN    17.190    7.120E-20     42.974    
FUC    13.930    5.770E-20     34.825    
BGL    22.195    9.193E-20     55.488    
NGL    4.293     1.778E-20     10.733    
NGA    9.060     3.753E-20     22.650    
NC4    43.854    1.816E-19     109.635   
MAS    8.730     3.616E-20     21.826    
PRA    5.884     2.437E-20     14.710    
DMP    -1.755    -7.269E-21    -4.388    
MMM    48.967    2.028E-19     122.418   
BTE    5.933     2.458E-20     14.834    
PAS    14.204    5.883E-20     35.511    
PGL    14.079    5.831E-20     35.197    
HMA    11.527    4.775E-20     28.818    
HMB    10.990    4.552E-20     27.475    
HMC    7.161     2.966E-20     17.903    
HMD    8.787     3.640E-20     21.969    
HFE    -7.775    -3.220E-20    -19.438   
HIS    5.866     2.430E-20     14.664    
HAF    5.866     2.430E-20     14.664    
HAS    10.387    4.302E-20     25.967    
X00    20.524    8.501E-20     51.311    
X01    -5.226    -2.165E-20    -13.065   
X02    18.924    7.838E-20     47.309    
X03    15.443    6.396E-20     38.608    
X04    20.099    8.325E-20     50.247    
X05    4.893     2.027E-20     12.232    
X06    1.427     5.910E-21     3.567     
X07    6.120     2.535E-20     15.299    
X08    8.929     3.698E-20     22.322    
X09    9.369     3.880E-20     23.421    
X0A    23.118    9.575E-20     57.794    
X0B    -1.228    -5.085E-21    -3.069    
X0C    3.563     1.476E-20     8.907     
X0D    8.813     3.650E-20     22.032    
X0E    24.412    1.011E-19     61.031    
X0F    11.696    4.844E-20     29.240    
X0G    3.402     1.409E-20     8.506     
X0H    1.334     5.524E-21     3.334     
X0I    15.257    6.319E-20     38.142    
