#Name  kT        Joules        kJ/mol    
ALA    4.492     1.861E-20     11.231    
ARG    25.383    1.051E-19     63.458    
LYS    31.596    1.309E-19     78.991    
HID    25.704    1.065E-19     64.261    
HIE    25.721    1.065E-19     64.302    
ASP    28.863    1.195E-19     72.157    
GLU    24.446    1.013E-19     61.116    
SER    18.638    7.720E-20     46.596    
THR    15.911    6.590E-20     39.776    
ASN    24.568    1.018E-19     61.419    
GLN    21.548    8.925E-20     53.870    
CYS    44.761    1.854E-19     111.902   
GLY    23.137    9.583E-20     57.843    
PRO    21.624    8.957E-20     54.061    
VAL    9.454     3.916E-20     23.636    
ILE    10.163    4.209E-20     25.407    
LEU    10.040    4.158E-20     25.099    
MET    26.218    1.086E-19     65.545    
PHE    16.123    6.678E-20     40.308    
TYR    19.417    8.042E-20     48.543    
TRP    23.104    9.569E-20     57.759    
HIP    30.460    1.262E-19     76.151    
ETA    86.542    3.585E-19     216.356   
PHO    33.444    1.385E-19     83.609    
CHL    56.922    2.358E-19     142.304   
DGL    26.122    1.082E-19     65.305    
EST    19.822    8.210E-20     49.554    
CYM    44.974    1.863E-19     112.436   
GAN    22.086    9.148E-20     55.215    
HIS    27.018    1.119E-19     67.545    
X00    6.827     2.828E-20     17.069    
X01    32.006    1.326E-19     80.014    
X02    28.469    1.179E-19     71.173    
X03    20.999    8.698E-20     52.498    
X04    55.532    2.300E-19     138.830   
X05    22.597    9.360E-20     56.493    
X06    17.091    7.079E-20     42.727    
X07    22.547    9.339E-20     56.367    
X08    22.527    9.330E-20     56.317    
X09    5.456     2.260E-20     13.640    
X0A    5.348     2.215E-20     13.370    
X0B    14.929    6.184E-20     37.323    
X0C    28.787    1.192E-19     71.968    
X0D    12.612    5.224E-20     31.529    
X0E    20.121    8.334E-20     50.302    
X0F    12.824    5.312E-20     32.060    
X0G    20.538    8.507E-20     51.346    
X0H    16.849    6.979E-20     42.123    
X0I    5.160     2.137E-20     12.900    
X0J    27.096    1.122E-19     67.739    
X0K    37.825    1.567E-19     94.561    
X0L    30.736    1.273E-19     76.840    
X0M    47.156    1.953E-19     117.889   
X0N    17.484    7.242E-20     43.710    
X0O    22.947    9.505E-20     57.368    
X0P    7.825     3.241E-20     19.561    
X0Q    72.035    2.984E-19     180.087   
X0R    47.156    1.953E-19     117.889   
X0S    37.825    1.567E-19     94.561    
X0T    17.484    7.242E-20     43.710    
X0U    27.096    1.122E-19     67.739    
X0V    30.736    1.273E-19     76.840    
X0W    45.366    1.879E-19     113.415   
X0X    28.110    1.164E-19     70.275    
X0Y    24.570    1.018E-19     61.424    
X0Z    24.570    1.018E-19     61.424    
X10    25.899    1.073E-19     64.748    
X11    19.177    7.943E-20     47.943    
X12    24.142    1.000E-19     60.355    
X13    22.771    9.432E-20     56.928    
X14    22.947    9.505E-20     57.368    
X15    8.051     3.335E-20     20.128    
X16    9.455     3.916E-20     23.638    
X17    7.445     3.084E-20     18.614    
X18    10.008    4.145E-20     25.020    
X19    10.884    4.508E-20     27.211    
X1A    11.554    4.786E-20     28.885    
X1B    11.555    4.786E-20     28.887    
X1C    13.414    5.556E-20     33.534    
X1D    33.463    1.386E-19     83.659    
X1E    56.922    2.358E-19     142.306   
X1F    19.824    8.211E-20     49.559    
X1G    30.460    1.262E-19     76.151    
X1H    86.540    3.584E-19     216.350   
X1I    35.469    1.469E-19     88.673    
X1J    23.663    9.801E-20     59.158    
X1K    22.085    9.148E-20     55.213    
X1L    25.507    1.056E-19     63.768    
X1M    23.408    9.696E-20     58.521    
X1N    25.958    1.075E-19     64.895    
X1O    26.009    1.077E-19     65.023    
X1P    25.932    1.074E-19     64.831    
X1Q    13.752    5.696E-20     34.380    
X1R    22.451    9.299E-20     56.128    
X1S    16.657    6.899E-20     41.642    
X1T    176.663   7.317E-19     441.658   
X1U    20.605    8.535E-20     51.514    
X1V    42.936    1.778E-19     107.341   
X1W    37.708    1.562E-19     94.271    
X1X    23.035    9.541E-20     57.587    
X1Y    21.393    8.861E-20     53.482    
X1Z    20.036    8.299E-20     50.090    
X20    31.848    1.319E-19     79.621    
X21    23.135    9.582E-20     57.837    
X22    40.263    1.668E-19     100.657   
X23    22.686    9.397E-20     56.716    
X24    65.902    2.730E-19     164.754   
X25    36.044    1.493E-19     90.110    
X26    24.247    1.004E-19     60.616    
X27    16.338    6.767E-20     40.846    
X28    39.226    1.625E-19     98.064    
X29    9.008     3.731E-20     22.520    
X2A    28.757    1.191E-19     71.891    
X2B    22.737    9.418E-20     56.843    
