#Predicted Hamaker constants for bi-graphene
#Estimated self-vacuum-self Hamaker: 50.810429894325765#Nominal refractive index: 1.9945411312944081
#Name  kT        Joules        kJ/mol    
ALA    4.696     1.945E-20     11.740    
ARG    -6.771    -2.805E-20    -16.928   
LYS    5.255     2.177E-20     13.137    
HID    6.406     2.653E-20     16.014    
HIE    6.484     2.686E-20     16.210    
ASP    15.677    6.493E-20     39.193    
GLU    14.849    6.150E-20     37.122    
SER    15.849    6.564E-20     39.622    
THR    7.992     3.310E-20     19.979    
ASN    13.614    5.639E-20     34.036    
GLN    -0.469    -1.941E-21    -1.172    
CYS    26.601    1.102E-19     66.502    
GLY    20.065    8.311E-20     50.162    
PRO    5.881     2.436E-20     14.703    
VAL    3.198     1.325E-20     7.995     
ILE    -5.520    -2.286E-20    -13.800   
LEU    2.985     1.237E-20     7.463     
MET    2.812     1.165E-20     7.029     
PHE    0.959     3.970E-21     2.396     
TYR    -2.087    -8.645E-21    -5.218    
TRP    -3.474    -1.439E-20    -8.685    
HIP    2.422     1.003E-20     6.055     
ETA    45.329    1.878E-19     113.324   
PHO    -0.957    -3.964E-21    -2.392    
CHL    40.602    1.682E-19     101.504   
DGL    8.712     3.609E-20     21.780    
EST    8.065     3.340E-20     20.161    
CYM    15.228    6.307E-20     38.070    
GAN    5.415     2.243E-20     13.536    
MAN    15.908    6.589E-20     39.769    
FUC    12.884    5.336E-20     32.209    
BGL    20.549    8.511E-20     51.372    
NGL    3.937     1.631E-20     9.842     
NGA    8.363     3.464E-20     20.909    
NC4    40.595    1.681E-19     101.487   
MAS    8.057     3.337E-20     20.144    
PRA    5.415     2.243E-20     13.536    
DMP    -1.682    -6.968E-21    -4.206    
MMM    45.317    1.877E-19     113.292   
BTE    5.460     2.262E-20     13.651    
PAS    13.138    5.442E-20     32.845    
PGL    13.022    5.393E-20     32.554    
HIS    5.398     2.236E-20     13.494    
X00    19.000    7.870E-20     47.500    
X01    -4.909    -2.033E-20    -12.272   
X02    17.516    7.255E-20     43.789    
X03    14.287    5.918E-20     35.719    
X04    18.605    7.706E-20     46.513    
X05    4.494     1.861E-20     11.235    
X06    1.274     5.278E-21     3.186     
X07    5.633     2.333E-20     14.084    
X08    8.242     3.414E-20     20.604    
X09    8.650     3.583E-20     21.625    
X0A    21.404    8.865E-20     53.509    
X0B    -1.192    -4.939E-21    -2.981    
X0C    3.259     1.350E-20     8.147     
X0D    8.134     3.369E-20     20.335    
X0E    22.604    9.362E-20     56.509    
X0F    10.810    4.478E-20     27.026    
X0G    3.110     1.288E-20     7.774     
X0H    1.188     4.920E-21     2.970     
X0I    14.114    5.846E-20     35.286    
X0J    4.060     1.682E-20     10.151    
X0K    40.408    1.674E-19     101.021   
X0L    37.919    1.571E-19     94.797    
X0M    3.313     1.372E-20     8.282     
X0N    6.570     2.721E-20     16.425    
X0O    0.295     1.223E-21     0.738     
X0P    12.224    5.063E-20     30.561    
X0Q    32.882    1.362E-19     82.206    
X0R    3.313     1.372E-20     8.282     
X0S    40.408    1.674E-19     101.021   
X0T    6.570     2.721E-20     16.425    
X0U    4.060     1.682E-20     10.151    
X0V    37.919    1.571E-19     94.797    
X0W    12.058    4.994E-20     30.145    
X0X    5.793     2.400E-20     14.483    
X0Y    0.522     2.160E-21     1.304     
X0Z    0.522     2.160E-21     1.304     
X10    16.017    6.634E-20     40.043    
X11    1.625     6.732E-21     4.063     
X12    -0.709    -2.938E-21    -1.773    
X13    7.929     3.284E-20     19.824    
X14    0.295     1.223E-21     0.738     
X15    30.893    1.280E-19     77.232    
X16    14.986    6.207E-20     37.465    
X17    20.948    8.676E-20     52.370    
X18    12.816    5.308E-20     32.041    
X19    5.136     2.127E-20     12.841    
X1A    0.479     1.983E-21     1.197     
X1B    22.085    9.148E-20     55.214    
X1C    0.258     1.070E-21     0.646     
X1D    13.969    5.786E-20     34.923    
X1E    16.886    6.994E-20     42.216    
X1F    15.405    6.381E-20     38.513    
X1G    1.392     5.765E-21     3.480     
X1H    2.134     8.840E-21     5.335     
X1I    9.336     3.867E-20     23.339    
X1J    9.334     3.866E-20     23.334    
X1K    10.122    4.192E-20     25.304    
X1L    23.511    9.738E-20     58.778    
X1M    11.688    4.841E-20     29.221    
X1N    3.897     1.614E-20     9.743     
X1O    7.773     3.220E-20     19.433    
X1P    24.292    1.006E-19     60.729    
X1Q    10.951    4.536E-20     27.377    
X1R    2.181     9.035E-21     5.453     
X1S    1.589     6.580E-21     3.971     
X1T    14.983    6.206E-20     37.458    
X1U    10.301    4.267E-20     25.753    
X1V    31.293    1.296E-19     78.233    
X1W    10.301    4.267E-20     25.753    
X1X    13.346    5.528E-20     33.365    
X1Y    4.589     1.901E-20     11.472    
X1Z    13.211    5.472E-20     33.028    
X20    12.315    5.101E-20     30.789    
X21    14.067    5.826E-20     35.166    
X22    9.357     3.876E-20     23.393    
X23    50.840    2.106E-19     127.101   
X24    3.712     1.538E-20     9.281     
X25    28.720    1.190E-19     71.801    
X26    21.867    9.057E-20     54.668    
X27    3.583     1.484E-20     8.958     
X28    8.832     3.658E-20     22.080    
X29    4.702     1.948E-20     11.755    
X2A    14.992    6.209E-20     37.479    
X2B    17.381    7.199E-20     43.452    
X2C    9.530     3.947E-20     23.826    
X2D    5.113     2.118E-20     12.783    
X2E    40.504    1.678E-19     101.260   
X2F    26.754    1.108E-19     66.884    
X2G    7.640     3.164E-20     19.100    
X2H    2.564     1.062E-20     6.409     
X2I    12.112    5.017E-20     30.279    
X2J    11.850    4.908E-20     29.624    
X2K    11.711    4.851E-20     29.278    
X2L    -1.120    -4.639E-21    -2.800    
X2M    4.692     1.944E-20     11.731    
X2N    14.795    6.128E-20     36.987    
X2O    10.931    4.528E-20     27.329    
X2P    4.605     1.907E-20     11.512    
X2Q    17.742    7.349E-20     44.356    
X2R    1.370     5.676E-21     3.426     
X2S    0.611     2.531E-21     1.528     
X2T    1.662     6.885E-21     4.156     
X2U    7.711     3.194E-20     19.278    
X2V    2.301     9.532E-21     5.753     
X2W    7.633     3.161E-20     19.082    
X2X    7.940     3.289E-20     19.850    
X2Y    5.934     2.458E-20     14.835    
X2Z    17.054    7.064E-20     42.635    
X30    12.407    5.139E-20     31.016    
X31    4.718     1.954E-20     11.794    
X32    6.963     2.884E-20     17.408    
X33    13.127    5.437E-20     32.817    
X34    14.999    6.212E-20     37.497    
X35    2.916     1.208E-20     7.289     
X36    6.100     2.526E-20     15.249    
X37    13.427    5.561E-20     33.567    
X38    18.043    7.474E-20     45.109    
X39    5.757     2.385E-20     14.393    
X3A    10.745    4.450E-20     26.862    
X3B    18.449    7.642E-20     46.124    
X3C    4.571     1.893E-20     11.428    
X3D    11.475    4.753E-20     28.688    
X3E    13.969    5.786E-20     34.922    
X3F    7.701     3.190E-20     19.252    
X3G    16.235    6.724E-20     40.587    
X3H    5.715     2.367E-20     14.288    
