#Name  kT        Joules        kJ/mol    
ALA    1.582     6.554E-21     3.956     
ARG    8.941     3.703E-20     22.352    
LYS    11.129    4.610E-20     27.823    
HID    9.054     3.750E-20     22.635    
HIE    9.060     3.752E-20     22.649    
ASP    10.166    4.211E-20     25.416    
GLU    8.611     3.567E-20     21.527    
SER    6.565     2.719E-20     16.412    
THR    5.604     2.321E-20     14.010    
ASN    8.653     3.584E-20     21.634    
GLN    7.590     3.144E-20     18.975    
CYS    15.766    6.530E-20     39.415    
GLY    8.150     3.376E-20     20.374    
PRO    7.617     3.155E-20     19.042    
VAL    3.330     1.379E-20     8.325     
ILE    3.580     1.483E-20     8.949     
LEU    3.536     1.465E-20     8.841     
MET    9.235     3.825E-20     23.087    
PHE    5.679     2.352E-20     14.198    
TYR    6.839     2.833E-20     17.098    
TRP    8.138     3.371E-20     20.344    
HIP    10.729    4.444E-20     26.823    
ETA    30.483    1.263E-19     76.207    
PHO    11.780    4.879E-20     29.450    
CHL    20.049    8.304E-20     50.124    
DGL    9.201     3.811E-20     23.002    
EST    6.982     2.892E-20     17.454    
CYM    15.841    6.561E-20     39.603    
GAN    7.779     3.222E-20     19.448    
HIS    9.517     3.942E-20     23.791    
X00    2.405     9.961E-21     6.012     
X01    11.273    4.669E-20     28.183    
X02    10.028    4.153E-20     25.069    
X03    7.397     3.064E-20     18.491    
X04    19.560    8.102E-20     48.900    
X05    7.959     3.297E-20     19.898    
X06    6.020     2.493E-20     15.050    
X07    7.942     3.289E-20     19.854    
X08    7.935     3.286E-20     19.837    
X09    1.922     7.960E-21     4.804     
X0A    1.884     7.802E-21     4.709     
X0B    5.258     2.178E-20     13.146    
X0C    10.140    4.200E-20     25.349    
X0D    4.442     1.840E-20     11.105    
X0E    7.087     2.935E-20     17.718    
X0F    4.517     1.871E-20     11.293    
X0G    7.234     2.996E-20     18.085    
X0H    5.935     2.458E-20     14.837    
X0I    1.818     7.528E-21     4.544     
X0J    9.544     3.953E-20     23.860    
X0K    13.323    5.518E-20     33.307    
X0L    10.826    4.484E-20     27.065    
X0M    16.610    6.880E-20     41.524    
X0N    6.158     2.551E-20     15.396    
X0O    8.083     3.348E-20     20.207    
X0P    2.756     1.142E-20     6.890     
X0Q    25.373    1.051E-19     63.432    
X0R    16.610    6.880E-20     41.524    
X0S    13.323    5.518E-20     33.307    
X0T    6.158     2.551E-20     15.396    
X0U    9.544     3.953E-20     23.860    
X0V    10.826    4.484E-20     27.065    
X0W    15.979    6.619E-20     39.948    
X0X    9.901     4.101E-20     24.753    
X0Y    8.654     3.585E-20     21.635    
X0Z    8.654     3.585E-20     21.635    
X10    9.123     3.778E-20     22.806    
X11    6.755     2.798E-20     16.887    
X12    8.504     3.522E-20     21.259    
X13    8.021     3.322E-20     20.052    
X14    8.083     3.348E-20     20.207    
X15    2.836     1.175E-20     7.090     
X16    3.330     1.379E-20     8.326     
X17    2.623     1.086E-20     6.556     
X18    3.525     1.460E-20     8.813     
X19    3.834     1.588E-20     9.585     
X1A    4.070     1.686E-20     10.174    
X1B    4.070     1.686E-20     10.175    
X1C    4.725     1.957E-20     11.812    
X1D    11.787    4.882E-20     29.467    
X1E    20.050    8.305E-20     50.124    
X1F    6.982     2.892E-20     17.456    
X1G    10.729    4.444E-20     26.823    
X1H    30.482    1.263E-19     76.205    
X1I    12.493    5.175E-20     31.233    
X1J    8.335     3.452E-20     20.837    
X1K    7.779     3.222E-20     19.448    
X1L    8.984     3.721E-20     22.461    
X1M    8.245     3.415E-20     20.613    
X1N    9.143     3.787E-20     22.858    
X1O    9.161     3.795E-20     22.903    
X1P    9.134     3.783E-20     22.835    
X1Q    4.844     2.006E-20     12.110    
X1R    7.908     3.275E-20     19.770    
X1S    5.867     2.430E-20     14.667    
X1T    62.226    2.577E-19     155.565   
X1U    7.258     3.006E-20     18.145    
X1V    15.123    6.264E-20     37.809    
X1W    13.282    5.501E-20     33.205    
X1X    8.114     3.361E-20     20.284    
X1Y    7.535     3.121E-20     18.838    
X1Z    7.057     2.923E-20     17.643    
X20    11.218    4.646E-20     28.045    
X21    8.149     3.375E-20     20.372    
X22    14.182    5.874E-20     35.454    
X23    7.991     3.310E-20     19.977    
X24    23.213    9.615E-20     58.031    
X25    12.696    5.259E-20     31.739    
X26    8.540     3.537E-20     21.351    
X27    5.755     2.384E-20     14.387    
X28    13.816    5.723E-20     34.541    
X29    3.173     1.314E-20     7.932     
X2A    10.129    4.195E-20     25.322    
X2B    8.009     3.317E-20     20.022    
X2C    7.054     2.922E-20     17.636    
X2D    10.016    4.149E-20     25.041    
X2E    8.418     3.487E-20     21.045    
X2F    7.760     3.214E-20     19.400    
X2G    10.699    4.432E-20     26.749    
X2H    7.582     3.140E-20     18.954    
X2I    8.424     3.489E-20     21.061    
X2J    15.537    6.435E-20     38.843    
X2K    7.981     3.306E-20     19.952    
X2L    8.715     3.610E-20     21.788    
X2M    9.447     3.913E-20     23.617    
X2N    12.738    5.276E-20     31.846    
X2O    8.017     3.320E-20     20.041    
X2P    10.358    4.290E-20     25.894    
X2Q    10.787    4.468E-20     26.966    
X2R    7.923     3.282E-20     19.808    
X2S    5.067     2.099E-20     12.667    
X2T    7.270     3.011E-20     18.175    
X2U    7.515     3.113E-20     18.788    
X2V    6.500     2.692E-20     16.249    
X2W    13.101    5.427E-20     32.754    
X2X    10.500    4.349E-20     26.250    
X2Y    10.495    4.347E-20     26.238    
X2Z    10.681    4.424E-20     26.703    
X30    9.361     3.877E-20     23.404    
X31    7.334     3.038E-20     18.335    
X32    12.155    5.035E-20     30.389    
X33    8.007     3.317E-20     20.018    
X34    4.841     2.005E-20     12.102    
X35    14.987    6.208E-20     37.468    
X36    6.801     2.817E-20     17.002    
X37    9.300     3.852E-20     23.251    
X38    7.929     3.284E-20     19.821    
X39    10.423    4.317E-20     26.057    
X3A    9.045     3.746E-20     22.611    
X3B    7.505     3.109E-20     18.763    
X3C    8.959     3.711E-20     22.398    
X3D    4.777     1.979E-20     11.942    
X3E    11.566    4.791E-20     28.915    
X3F    9.407     3.896E-20     23.518    
X3G    7.529     3.118E-20     18.822    
X3H    9.932     4.114E-20     24.831    
X3I    7.154     2.963E-20     17.885    
X3J    8.880     3.678E-20     22.200    
X3K    6.850     2.837E-20     17.126    
X3L    7.220     2.990E-20     18.049    
X3M    7.077     2.931E-20     17.692    
X3N    8.981     3.720E-20     22.452    
X3O    8.319     3.446E-20     20.797    
X3P    8.547     3.540E-20     21.367    
X3Q    11.694    4.844E-20     29.236    
X3R    4.849     2.008E-20     12.122    
X3S    5.184     2.147E-20     12.959    
X3T    5.996     2.484E-20     14.991    
X3U    5.616     2.326E-20     14.041    
X3V    5.753     2.383E-20     14.383    
X3W    4.604     1.907E-20     11.511    
X3X    11.427    4.733E-20     28.567    
X3Y    8.434     3.493E-20     21.084    
X3Z    11.556    4.786E-20     28.890    
X40    6.906     2.860E-20     17.264    
X41    11.457    4.745E-20     28.642    
X42    10.059    4.166E-20     25.147    
X43    10.492    4.346E-20     26.229    
X44    10.772    4.462E-20     26.930    
X45    13.043    5.402E-20     32.608    
X46    6.465     2.678E-20     16.164    
X47    12.876    5.333E-20     32.191    
X48    8.464     3.506E-20     21.159    
X49    4.615     1.911E-20     11.537    
X4A    10.597    4.389E-20     26.491    
X4B    6.476     2.682E-20     16.191    
X4C    10.030    4.154E-20     25.075    
X4D    11.175    4.629E-20     27.938    
X4E    21.601    8.947E-20     54.003    
X4F    22.944    9.503E-20     57.360    
X4G    8.293     3.435E-20     20.734    
X4H    11.870    4.916E-20     29.675    
X4I    5.728     2.373E-20     14.321    
X4J    6.248     2.588E-20     15.621    
X4K    8.859     3.669E-20     22.147    
X4L    11.059    4.581E-20     27.648    
X4M    8.455     3.502E-20     21.138    
X4N    16.965    7.027E-20     42.412    
X4O    9.004     3.729E-20     22.509    
X4P    3.724     1.542E-20     9.310     
X4Q    11.502    4.764E-20     28.755    
X4R    13.804    5.717E-20     34.509    
X4S    12.168    5.040E-20     30.420    
X4T    11.054    4.578E-20     27.634    
X4U    12.356    5.118E-20     30.890    
X4V    10.728    4.444E-20     26.821    
X4W    10.174    4.214E-20     25.435    
