#Predicted Hamaker constants for redgrapheneoxide
#Estimated self-vacuum-self Hamaker: 18.46928887774758#Nominal refractive index: 1.5255457592764747
#Name  kT        Joules        kJ/mol    
ALA    1.028     4.259E-21     2.571     
ARG    -2.692    -1.115E-20    -6.729    
LYS    1.209     5.006E-21     3.022     
HID    1.580     6.544E-21     3.950     
HIE    1.605     6.648E-21     4.013     
ASP    4.555     1.887E-20     11.388    
GLU    4.291     1.777E-20     10.727    
SER    4.610     1.909E-20     11.525    
THR    2.091     8.659E-21     5.227     
ASN    3.896     1.614E-20     9.739     
GLN    -0.643    -2.662E-21    -1.607    
CYS    8.024     3.324E-20     20.061    
GLY    5.954     2.466E-20     14.885    
PRO    1.411     5.843E-21     3.527     
VAL    0.544     2.255E-21     1.361     
ILE    -2.284    -9.460E-21    -5.710    
LEU    0.476     1.970E-21     1.189     
MET    0.419     1.737E-21     1.049     
PHE    -0.180    -7.465E-22    -0.451    
TYR    -1.168    -4.837E-21    -2.920    
TRP    -1.618    -6.704E-21    -4.046    
HIP    0.293     1.215E-21     0.733     
ETA    13.861    5.741E-20     34.651    
PHO    -0.801    -3.318E-21    -2.003    
CHL    12.402    5.137E-20     31.005    
DGL    2.323     9.620E-21     5.806     
EST    2.114     8.757E-21     5.285     
CYM    4.412     1.827E-20     11.030    
GAN    1.260     5.220E-21     3.151     
MAN    4.629     1.917E-20     11.572    
FUC    3.662     1.517E-20     9.154     
BGL    6.108     2.530E-20     15.269    
NGL    0.783     3.244E-21     1.958     
NGA    2.210     9.155E-21     5.526     
NC4    12.400    5.136E-20     31.000    
MAS    2.112     8.747E-21     5.280     
PRA    1.260     5.220E-21     3.151     
DMP    -1.036    -4.293E-21    -2.591    
MMM    13.857    5.739E-20     34.642    
BTE    1.275     5.281E-21     3.188     
PAS    3.743     1.550E-20     9.358     
PGL    3.706     1.535E-20     9.265     
HMA    2.947     1.220E-20     7.366     
HMB    2.786     1.154E-20     6.966     
HMC    1.643     6.804E-21     4.107     
HMD    2.129     8.818E-21     5.322     
HFE    -2.857    -1.183E-20    -7.142    
PBB    0.000     0.000E+00     0.000     
NXX    0.000     0.000E+00     0.000     
HIS    1.255     5.197E-21     3.137     
HAF    1.255     5.197E-21     3.137     
HAS    2.606     1.080E-20     6.516     
X00    5.615     2.326E-20     14.037    
X01    -2.085    -8.636E-21    -5.213    
X02    5.142     2.130E-20     12.855    
X03    4.111     1.703E-20     10.278    
X04    5.489     2.274E-20     13.723    
X05    0.963     3.989E-21     2.408     
X06    -0.078    -3.230E-22    -0.195    
X07    1.331     5.512E-21     3.327     
X08    2.171     8.993E-21     5.428     
X09    2.303     9.537E-21     5.756     
X0A    6.379     2.642E-20     15.948    
X0B    -0.877    -3.634E-21    -2.194    
X0C    0.564     2.336E-21     1.410     
X0D    2.137     8.849E-21     5.341     
X0E    6.760     2.800E-20     16.900    
X0F    2.997     1.241E-20     7.492     
X0G    0.516     2.136E-21     1.289     
X0H    -0.106    -4.390E-22    -0.265    
X0I    4.056     1.680E-20     10.139    
X0J    0.823     3.409E-21     2.058     
X0K    12.342    5.112E-20     30.855    
X0L    11.570    4.792E-20     28.925    
X0M    0.582     2.409E-21     1.454     
X0N    1.633     6.763E-21     4.082     
X0O    -0.395    -1.637E-21    -0.988    
X0P    3.450     1.429E-20     8.626     
X0Q    9.999     4.141E-20     24.997    
X0R    0.582     2.409E-21     1.454     
X0S    12.342    5.112E-20     30.855    
X0T    1.633     6.763E-21     4.082     
X0U    0.823     3.409E-21     2.058     
X0V    11.570    4.792E-20     28.925    
X0W    3.397     1.407E-20     8.492     
X0X    1.382     5.726E-21     3.456     
X0Y    -0.322    -1.333E-21    -0.805    
X0Z    -0.322    -1.333E-21    -0.805    
X10    4.664     1.932E-20     11.660    
X11    0.036     1.475E-22     0.089     
X12    -0.721    -2.986E-21    -1.802    
X13    2.071     8.577E-21     5.177     
X14    -0.395    -1.637E-21    -0.988    
X15    9.375     3.883E-20     23.437    
X16    4.334     1.795E-20     10.836    
X17    6.234     2.582E-20     15.586    
X18    3.640     1.508E-20     9.100     
X19    1.170     4.848E-21     2.926     
X1A    -0.336    -1.390E-21    -0.839    
X1B    6.596     2.732E-20     16.489    
X1C    -0.407    -1.686E-21    -1.018    
X1D    4.009     1.661E-20     10.023    
X1E    4.941     2.047E-20     12.353    
X1F    4.468     1.851E-20     11.171    
X1G    -0.040    -1.654E-22    -0.100    
X1H    0.200     8.298E-22     0.501     
X1I    2.523     1.045E-20     6.308     
X1J    2.522     1.045E-20     6.306     
X1K    2.776     1.150E-20     6.939     
X1L    7.048     2.919E-20     17.619    
X1M    3.278     1.358E-20     8.196     
X1N    0.770     3.191E-21     1.926     
X1O    2.020     8.368E-21     5.051     
X1P    7.295     3.021E-20     18.237    
X1Q    3.042     1.260E-20     7.605     
X1R    0.216     8.929E-22     0.539     
X1S    0.024     9.836E-23     0.059     
X1T    4.334     1.795E-20     10.834    
X1U    2.833     1.174E-20     7.083     
X1V    9.501     3.935E-20     23.752    
X1W    2.833     1.174E-20     7.083     
X1X    3.810     1.578E-20     9.524     
X1Y    0.994     4.116E-21     2.484     
X1Z    3.767     1.560E-20     9.416     
X20    3.480     1.441E-20     8.699     
X21    4.040     1.674E-20     10.101    
X22    2.530     1.048E-20     6.325     
X23    15.546    6.439E-20     38.866    
X24    0.711     2.943E-21     1.776     
X25    8.692     3.600E-20     21.731    
X26    6.526     2.703E-20     16.316    
X27    0.669     2.770E-21     1.672     
X28    2.361     9.779E-21     5.903     
X29    1.030     4.267E-21     2.576     
X2A    4.336     1.796E-20     10.841    
X2B    5.099     2.112E-20     12.748    
X2C    2.586     1.071E-20     6.464     
X2D    1.163     4.817E-21     2.907     
X2E    12.372    5.124E-20     30.930    
X2F    8.072     3.344E-20     20.181    
X2G    1.977     8.191E-21     4.944     
X2H    0.339     1.405E-21     0.848     
X2I    3.414     1.414E-20     8.536     
X2J    3.330     1.379E-20     8.326     
X2K    3.286     1.361E-20     8.214     
X2L    -0.854    -3.537E-21    -2.135    
X2M    1.027     4.254E-21     2.568     
X2N    4.273     1.770E-20     10.683    
X2O    3.036     1.257E-20     7.589     
X2P    0.999     4.137E-21     2.497     
X2Q    5.214     2.160E-20     13.036    
X2R    -0.047    -1.941E-22    -0.117    
X2S    -0.293    -1.213E-21    -0.732    
X2T    0.048     1.971E-22     0.119     
X2U    2.000     8.285E-21     5.001     
X2V    0.254     1.054E-21     0.636     
X2W    1.975     8.181E-21     4.938     
X2X    2.074     8.590E-21     5.185     
