#Predicted Hamaker constants for C-amorph-3
#Estimated self-vacuum-self Hamaker: 77.74304699951806#Nominal refractive index: 2.3450975872412982
#Name  kT        Joules        kJ/mol    
ALA    6.909     2.862E-20     17.274    
ARG    -9.211    -3.815E-20    -23.028   
LYS    7.698     3.188E-20     19.244    
HID    9.322     3.861E-20     23.305    
HIE    9.433     3.907E-20     23.582    
ASP    22.452    9.299E-20     56.129    
GLU    21.276    8.812E-20     53.189    
SER    22.695    9.400E-20     56.739    
THR    11.562    4.789E-20     28.905    
ASN    19.524    8.087E-20     48.809    
GLN    -0.364    -1.508E-21    -0.910    
CYS    38.035    1.575E-19     95.088    
GLY    28.695    1.189E-19     71.739    
PRO    8.582     3.554E-20     21.454    
VAL    4.797     1.987E-20     11.993    
ILE    -7.458    -3.089E-20    -18.644   
LEU    4.498     1.863E-20     11.245    
MET    4.253     1.762E-20     10.632    
PHE    1.644     6.808E-21     4.109     
TYR    -2.639    -1.093E-20    -6.597    
TRP    -4.587    -1.900E-20    -11.467   
HIP    3.704     1.534E-20     9.260     
ETA    65.107    2.697E-19     162.768   
PHO    -1.051    -4.352E-21    -2.627    
CHL    58.224    2.412E-19     145.561   
DGL    12.581    5.211E-20     31.452    
EST    11.665    4.832E-20     29.163    
CYM    21.814    9.035E-20     54.535    
GAN    7.923     3.282E-20     19.807    
MAN    22.779    9.435E-20     56.948    
FUC    18.487    7.657E-20     46.218    
BGL    29.385    1.217E-19     73.463    
NGL    5.839     2.418E-20     14.597    
NGA    12.088    5.007E-20     30.219    
NC4    58.214    2.411E-19     145.536   
MAS    11.655    4.828E-20     29.138    
PRA    7.923     3.282E-20     19.807    
DMP    -2.070    -8.574E-21    -5.175    
MMM    65.089    2.696E-19     162.721   
BTE    7.988     3.308E-20     19.969    
PAS    18.848    7.807E-20     47.120    
PGL    18.683    7.738E-20     46.707    
HIS    7.899     3.272E-20     19.747    
X00    27.178    1.126E-19     67.945    
X01    -6.600    -2.734E-20    -16.500   
X02    25.066    1.038E-19     62.664    
X03    20.479    8.482E-20     51.196    
X04    26.616    1.102E-19     66.541    
X05    6.624     2.744E-20     16.561    
X06    2.088     8.649E-21     5.220     
X07    8.232     3.410E-20     20.580    
X08    11.916    4.935E-20     29.789    
X09    12.493    5.175E-20     31.232    
X0A    30.605    1.268E-19     76.512    
X0B    -1.381    -5.722E-21    -3.454    
X0C    4.883     2.022E-20     12.207    
X0D    11.764    4.872E-20     29.409    
X0E    32.318    1.339E-19     80.794    
X0F    15.550    6.441E-20     38.874    
X0G    4.673     1.935E-20     11.682    
X0H    1.966     8.145E-21     4.916     
X0I    20.233    8.380E-20     50.583    
X0J    6.013     2.491E-20     15.032    
X0K    57.944    2.400E-19     144.860   
X0L    54.335    2.251E-19     135.837   
X0M    4.959     2.054E-20     12.398    
X0N    9.554     3.957E-20     23.885    
X0O    0.710     2.943E-21     1.776     
X0P    17.553    7.270E-20     43.882    
X0Q    47.060    1.949E-19     117.650   
X0R    4.959     2.054E-20     12.398    
X0S    57.944    2.400E-19     144.860   
X0T    9.554     3.957E-20     23.885    
X0U    6.013     2.491E-20     15.032    
X0V    54.335    2.251E-19     135.837   
X0W    17.317    7.172E-20     43.291    
X0X    8.457     3.503E-20     21.144    
X0Y    1.029     4.261E-21     2.572     
X0Z    1.029     4.261E-21     2.572     
X10    22.935    9.500E-20     57.338    
X11    2.582     1.069E-20     6.455     
X12    -0.703    -2.910E-21    -1.756    
X13    11.474    4.753E-20     28.686    
X14    0.710     2.943E-21     1.776     
X15    44.196    1.831E-19     110.490   
X16    21.470    8.893E-20     53.675    
X17    29.954    1.241E-19     74.886    
X18    18.392    7.618E-20     45.979    
X19    7.530     3.119E-20     18.826    
X1A    0.969     4.012E-21     2.422     
X1B    31.578    1.308E-19     78.944    
X1C    0.659     2.728E-21     1.647     
X1D    20.027    8.295E-20     50.068    
X1E    24.170    1.001E-19     60.426    
X1F    22.065    9.139E-20     55.163    
X1G    2.254     9.334E-21     5.634     
X1H    3.299     1.366E-20     8.247     
X1I    13.463    5.576E-20     33.657    
X1J    13.460    5.575E-20     33.649    
X1K    14.575    6.037E-20     36.436    
X1L    33.614    1.392E-19     84.035    
X1M    16.793    6.956E-20     41.982    
X1N    5.783     2.395E-20     14.457    
X1O    11.254    4.661E-20     28.134    
X1P    34.730    1.438E-19     86.825    
X1Q    15.748    6.523E-20     39.371    
X1R    3.365     1.394E-20     8.413     
X1S    2.530     1.048E-20     6.326     
X1T    21.466    8.891E-20     53.666    
X1U    14.828    6.142E-20     37.071    
X1V    44.772    1.854E-19     111.931   
X1W    14.828    6.142E-20     37.071    
X1X    19.143    7.929E-20     47.856    
X1Y    6.758     2.799E-20     16.895    
X1Z    18.951    7.850E-20     47.379    
X20    17.682    7.324E-20     44.204    
X21    20.165    8.352E-20     50.413    
X22    13.493    5.589E-20     33.732    
X23    73.177    3.031E-19     182.942   
X24    5.522     2.287E-20     13.805    
X25    41.075    1.701E-19     102.687   
X26    31.266    1.295E-19     78.165    
X27    5.340     2.212E-20     13.350    
X28    12.750    5.281E-20     31.875    
X29    6.918     2.865E-20     17.294    
X2A    21.478    8.896E-20     53.695    
