#Name  kT        Joules        kJ/mol    
ALA    1.570     6.503E-21     3.925     
ARG    8.871     3.674E-20     22.177    
LYS    11.042    4.574E-20     27.605    
HID    8.983     3.721E-20     22.457    
HIE    8.989     3.723E-20     22.472    
ASP    10.087    4.178E-20     25.217    
GLU    8.543     3.539E-20     21.358    
SER    6.513     2.698E-20     16.284    
THR    5.560     2.303E-20     13.901    
ASN    8.586     3.556E-20     21.464    
GLN    7.530     3.119E-20     18.826    
CYS    15.642    6.479E-20     39.106    
GLY    8.086     3.349E-20     20.214    
PRO    7.557     3.130E-20     18.893    
VAL    3.304     1.368E-20     8.260     
ILE    3.552     1.471E-20     8.879     
LEU    3.509     1.453E-20     8.771     
MET    9.162     3.795E-20     22.906    
PHE    5.635     2.334E-20     14.086    
TYR    6.786     2.811E-20     16.964    
TRP    8.074     3.344E-20     20.185    
HIP    10.645    4.409E-20     26.612    
ETA    30.244    1.253E-19     75.610    
PHO    11.687    4.841E-20     29.219    
CHL    19.892    8.239E-20     49.731    
DGL    9.129     3.781E-20     22.822    
EST    6.927     2.869E-20     17.318    
CYM    15.717    6.510E-20     39.293    
GAN    7.718     3.197E-20     19.296    
HIS    9.442     3.911E-20     23.605    
X00    2.386     9.883E-21     5.965     
X01    11.185    4.633E-20     27.962    
X02    9.949     4.121E-20     24.873    
X03    7.339     3.040E-20     18.346    
X04    19.407    8.038E-20     48.517    
X05    7.897     3.271E-20     19.742    
X06    5.973     2.474E-20     14.932    
X07    7.879     3.264E-20     19.699    
X08    7.872     3.261E-20     19.681    
X09    1.907     7.897E-21     4.767     
X0A    1.869     7.741E-21     4.672     
X0B    5.217     2.161E-20     13.043    
X0C    10.060    4.167E-20     25.151    
X0D    4.407     1.825E-20     11.018    
X0E    7.032     2.912E-20     17.579    
X0F    4.482     1.856E-20     11.204    
X0G    7.177     2.973E-20     17.944    
X0H    5.888     2.439E-20     14.721    
X0I    1.803     7.469E-21     4.508     
X0J    9.469     3.922E-20     23.673    
X0K    13.218    5.475E-20     33.046    
X0L    10.741    4.449E-20     26.853    
X0M    16.479    6.826E-20     41.198    
X0N    6.110     2.531E-20     15.275    
X0O    8.019     3.322E-20     20.048    
X0P    2.734     1.133E-20     6.836     
X0Q    25.174    1.043E-19     62.935    
X0R    16.479    6.826E-20     41.198    
X0S    13.218    5.475E-20     33.046    
X0T    6.110     2.531E-20     15.275    
X0U    9.469     3.922E-20     23.673    
X0V    10.741    4.449E-20     26.853    
X0W    15.854    6.567E-20     39.635    
X0X    9.824     4.069E-20     24.559    
X0Y    8.586     3.556E-20     21.466    
X0Z    8.586     3.556E-20     21.466    
X10    9.051     3.749E-20     22.627    
X11    6.702     2.776E-20     16.754    
X12    8.437     3.495E-20     21.092    
X13    7.958     3.296E-20     19.895    
X14    8.019     3.322E-20     20.048    
X15    2.814     1.165E-20     7.034     
X16    3.304     1.369E-20     8.261     
X17    2.602     1.078E-20     6.505     
X18    3.497     1.449E-20     8.744     
X19    3.804     1.575E-20     9.509     
X1A    4.038     1.672E-20     10.094    
X1B    4.038     1.673E-20     10.095    
X1C    4.688     1.942E-20     11.719    
X1D    11.694    4.844E-20     29.236    
X1E    19.893    8.239E-20     49.731    
X1F    6.928     2.869E-20     17.319    
X1G    10.645    4.409E-20     26.612    
X1H    30.243    1.253E-19     75.608    
X1I    12.395    5.134E-20     30.988    
X1J    8.269     3.425E-20     20.674    
X1K    7.718     3.197E-20     19.295    
X1L    8.914     3.692E-20     22.285    
X1M    8.180     3.388E-20     20.451    
X1N    9.072     3.757E-20     22.679    
X1O    9.089     3.765E-20     22.724    
