#Name  kT        Joules        kJ/mol    
ALA    1.706     7.065E-21     4.264     
ARG    9.637     3.992E-20     24.094    
LYS    11.996    4.969E-20     29.991    
HID    9.759     4.042E-20     24.398    
HIE    9.766     4.045E-20     24.414    
ASP    10.959    4.539E-20     27.396    
GLU    9.282     3.844E-20     23.204    
SER    7.077     2.931E-20     17.691    
THR    6.041     2.502E-20     15.102    
ASN    9.328     3.864E-20     23.319    
GLN    8.181     3.389E-20     20.453    
CYS    16.995    7.039E-20     42.486    
GLY    8.785     3.639E-20     21.962    
PRO    8.210     3.401E-20     20.526    
VAL    3.590     1.487E-20     8.974     
ILE    3.859     1.598E-20     9.646     
LEU    3.812     1.579E-20     9.529     
MET    9.954     4.123E-20     24.886    
PHE    6.122     2.536E-20     15.304    
TYR    7.372     3.054E-20     18.431    
TRP    8.772     3.633E-20     21.930    
HIP    11.565    4.790E-20     28.913    
ETA    32.858    1.361E-19     82.146    
PHO    12.698    5.259E-20     31.744    
CHL    21.612    8.952E-20     54.030    
DGL    9.918     4.108E-20     24.795    
EST    7.526     3.117E-20     18.815    
CYM    17.076    7.073E-20     42.689    
GAN    8.386     3.473E-20     20.964    
HIS    10.258    4.249E-20     25.645    
X00    2.592     1.074E-20     6.481     
X01    12.152    5.033E-20     30.380    
X02    10.809    4.477E-20     27.023    
X03    7.973     3.302E-20     19.932    
X04    21.084    8.733E-20     52.710    
X05    8.580     3.554E-20     21.449    
X06    6.489     2.688E-20     16.223    
X07    8.561     3.546E-20     21.401    
X08    8.553     3.543E-20     21.382    
X09    2.071     8.580E-21     5.179     
X0A    2.030     8.410E-21     5.076     
X0B    5.668     2.348E-20     14.171    
X0C    10.930    4.527E-20     27.325    
X0D    4.788     1.983E-20     11.971    
X0E    7.639     3.164E-20     19.098    
X0F    4.869     2.017E-20     12.172    
X0G    7.798     3.230E-20     19.495    
X0H    6.397     2.650E-20     15.993    
X0I    1.959     8.115E-21     4.898     
X0J    10.288    4.261E-20     25.719    
X0K    14.361    5.948E-20     35.903    
X0L    11.670    4.834E-20     29.174    
X0M    17.904    7.416E-20     44.760    
X0N    6.638     2.750E-20     16.596    
X0O    8.713     3.609E-20     21.781    
X0P    2.971     1.230E-20     7.427     
X0Q    27.350    1.133E-19     68.375    
X0R    17.904    7.416E-20     44.760    
X0S    14.361    5.948E-20     35.903    
X0T    6.638     2.750E-20     16.596    
X0U    10.288    4.261E-20     25.719    
X0V    11.670    4.834E-20     29.174    
X0W    17.224    7.134E-20     43.061    
X0X    10.673    4.421E-20     26.682    
X0Y    9.329     3.864E-20     23.321    
X0Z    9.329     3.864E-20     23.321    
X10    9.833     4.073E-20     24.583    
X11    7.281     3.016E-20     18.203    
X12    9.166     3.797E-20     22.916    
X13    8.646     3.581E-20     21.614    
X14    8.713     3.609E-20     21.781    
X15    3.057     1.266E-20     7.642     
X16    3.590     1.487E-20     8.975     
X17    2.827     1.171E-20     7.067     
X18    3.800     1.574E-20     9.499     
X19    4.133     1.712E-20     10.331    
X1A    4.387     1.817E-20     10.967    
X1B    4.387     1.817E-20     10.968    
X1C    5.093     2.109E-20     12.732    
X1D    12.705    5.262E-20     31.763    
X1E    21.612    8.952E-20     54.030    
