#Name  kT        Joules        kJ/mol    
ALA    3.434     1.422E-20     8.584     
ARG    19.400    8.036E-20     48.501    
LYS    24.149    1.000E-19     60.373    
HID    19.646    8.137E-20     49.115    
HIE    19.659    8.143E-20     49.147    
ASP    22.060    9.137E-20     55.150    
GLU    18.684    7.739E-20     46.711    
SER    14.245    5.900E-20     35.613    
THR    12.161    5.037E-20     30.401    
ASN    18.777    7.777E-20     46.943    
GLN    16.469    6.822E-20     41.173    
CYS    34.211    1.417E-19     85.527    
GLY    17.684    7.325E-20     44.210    
PRO    16.528    6.846E-20     41.319    
VAL    7.226     2.993E-20     18.065    
ILE    7.767     3.217E-20     19.419    
LEU    7.673     3.178E-20     19.183    
MET    20.039    8.300E-20     50.097    
PHE    12.323    5.104E-20     30.808    
TYR    14.841    6.147E-20     37.101    
TRP    17.658    7.314E-20     44.145    
HIP    23.281    9.643E-20     58.202    
ETA    66.145    2.740E-19     165.362   
PHO    25.561    1.059E-19     63.903    
CHL    43.506    1.802E-19     108.764   
DGL    19.965    8.269E-20     49.913    
EST    15.150    6.275E-20     37.875    
CYM    34.374    1.424E-19     85.935    
GAN    16.880    6.992E-20     42.201    
HIS    20.650    8.553E-20     51.625    
X00    5.218     2.161E-20     13.046    
X01    24.462    1.013E-19     61.155    
X02    21.759    9.012E-20     54.398    
X03    16.050    6.648E-20     40.125    
X04    42.443    1.758E-19     106.108   
X05    17.271    7.154E-20     43.178    
X06    13.063    5.410E-20     32.657    
X07    17.233    7.138E-20     43.082    
X08    17.217    7.131E-20     43.043    
X09    4.170     1.727E-20     10.425    
X0A    4.087     1.693E-20     10.218    
X0B    11.410    4.726E-20     28.526    
X0C    22.002    9.113E-20     55.006    
X0D    9.639     3.992E-20     24.098    
X0E    15.378    6.370E-20     38.446    
X0F    9.801     4.060E-20     24.504    
X0G    15.697    6.502E-20     39.244    
X0H    12.878    5.334E-20     32.195    
X0I    3.944     1.634E-20     9.860     
X0J    20.709    8.578E-20     51.774    
X0K    28.910    1.197E-19     72.274    
X0L    23.492    9.730E-20     58.729    
X0M    36.041    1.493E-19     90.103    
X0N    13.363    5.535E-20     33.408    
X0O    17.539    7.264E-20     43.847    
X0P    5.980     2.477E-20     14.951    
X0Q    55.056    2.280E-19     137.641   
X0R    36.041    1.493E-19     90.103    
X0S    28.910    1.197E-19     72.274    
X0T    13.363    5.535E-20     33.408    
X0U    20.709    8.578E-20     51.774    
X0V    23.492    9.730E-20     58.729    
X0W    34.674    1.436E-19     86.684    
X0X    21.485    8.899E-20     53.711    
X0Y    18.779    7.778E-20     46.947    
X0Z    18.779    7.778E-20     46.947    
X10    19.795    8.199E-20     49.488    
X11    14.657    6.071E-20     36.643    
X12    18.452    7.643E-20     46.130    
X13    17.404    7.209E-20     43.511    
X14    17.539    7.264E-20     43.847    
X15    6.154     2.549E-20     15.384    
X16    7.227     2.993E-20     18.067    
X17    5.691     2.357E-20     14.227    
X18    7.649     3.168E-20     19.123    
X19    8.319     3.446E-20     20.797    
X1A    8.831     3.658E-20     22.077    
X1B    8.831     3.658E-20     22.079    
X1C    10.252    4.246E-20     25.630    
X1D    25.576    1.059E-19     63.941    
X1E    43.506    1.802E-19     108.765   
X1F    15.151    6.276E-20     37.878    
X1G    23.281    9.643E-20     58.202    
X1H    66.143    2.740E-19     165.358   
X1I    27.109    1.123E-19     67.773    
X1J    18.086    7.491E-20     45.214    
X1K    16.880    6.991E-20     42.199    
X1L    19.495    8.075E-20     48.738    
X1M    17.891    7.410E-20     44.728    
X1N    19.840    8.218E-20     49.600    
X1O    19.879    8.234E-20     49.698    
X1P    19.820    8.209E-20     49.550    
X1Q    10.511    4.353E-20     26.277    
X1R    17.160    7.107E-20     42.899    
X1S    12.731    5.273E-20     31.827    
X1T    135.025   5.593E-19     337.562   
X1U    15.749    6.523E-20     39.372    
X1V    32.816    1.359E-19     82.041    
X1W    28.821    1.194E-19     72.052    
X1X    17.606    7.292E-20     44.014    
X1Y    16.351    6.772E-20     40.876    
X1Z    15.314    6.343E-20     38.284    
X20    24.342    1.008E-19     60.855    
X21    17.682    7.324E-20     44.205    
X22    30.773    1.275E-19     76.932    
X23    17.339    7.182E-20     43.349    
X24    50.369    2.086E-19     125.923   
X25    27.549    1.141E-19     68.872    
X26    18.532    7.676E-20     46.330    
X27    12.487    5.172E-20     31.219    
X28    29.980    1.242E-19     74.951    
X29    6.885     2.852E-20     17.212    
X2A    21.979    9.103E-20     54.947    
X2B    17.378    7.198E-20     43.445    
X2C    15.308    6.340E-20     38.269    
X2D    21.734    9.002E-20     54.336    
X2E    18.267    7.566E-20     45.667    
X2F    16.838    6.974E-20     42.095    
X2G    23.217    9.616E-20     58.042    
X2H    16.452    6.814E-20     41.129    
X2I    18.280    7.572E-20     45.700    
X2J    33.714    1.396E-19     84.285    
X2K    17.317    7.173E-20     43.293    
X2L    18.911    7.833E-20     47.277    
X2M    20.498    8.490E-20     51.246    
X2N    27.641    1.145E-19     69.103    
X2O    17.395    7.205E-20     43.488    
X2P    22.475    9.309E-20     56.188    
X2Q    23.406    9.695E-20     58.514    
X2R    17.193    7.121E-20     42.982    
X2S    10.995    4.554E-20     27.487    
X2T    15.775    6.534E-20     39.438    
X2U    16.307    6.754E-20     40.769    
X2V    14.104    5.842E-20     35.259    
X2W    28.429    1.178E-19     71.072    
X2X    22.784    9.437E-20     56.959    
X2Y    22.774    9.433E-20     56.935    
X2Z    23.177    9.600E-20     57.943    
X30    20.313    8.414E-20     50.783    
X31    15.914    6.592E-20     39.785    
X32    26.376    1.092E-19     65.941    
X33    17.375    7.197E-20     43.438    
X34    10.504    4.351E-20     26.260    
X35    32.521    1.347E-19     81.302    
X36    14.757    6.112E-20     36.893    
X37    20.181    8.359E-20     50.452    
X38    17.204    7.126E-20     43.010    
X39    22.617    9.368E-20     56.541    
X3A    19.626    8.129E-20     49.064    
X3B    16.286    6.745E-20     40.714    
X3C    19.440    8.052E-20     48.601    
X3D    10.365    4.293E-20     25.914    
X3E    25.097    1.040E-19     62.743    
X3F    20.413    8.455E-20     51.032    
X3G    16.336    6.766E-20     40.841    
X3H    21.552    8.927E-20     53.880    
X3I    15.523    6.430E-20     38.808    
X3J    19.268    7.981E-20     48.171    
X3K    14.864    6.157E-20     37.161    
X3L    15.666    6.489E-20     39.164    
X3M    15.356    6.361E-20     38.391    
X3N    19.488    8.072E-20     48.720    
X3O    18.051    7.477E-20     45.128    
X3P    18.546    7.682E-20     46.365    
X3Q    25.376    1.051E-19     63.439    
X3R    10.521    4.358E-20     26.303    
X3S    11.248    4.659E-20     28.121    
X3T    13.011    5.389E-20     32.528    
X3U    12.187    5.048E-20     30.467    
X3V    12.483    5.171E-20     31.209    
X3W    9.991     4.138E-20     24.978    
X3X    24.795    1.027E-19     61.988    
X3Y    18.301    7.580E-20     45.751    
X3Z    25.076    1.039E-19     62.689    
X40    14.985    6.207E-20     37.462    
X41    24.860    1.030E-19     62.149    
X42    21.826    9.040E-20     54.566    
X43    22.766    9.430E-20     56.915    
X44    23.374    9.681E-20     58.435    
X45    28.302    1.172E-19     70.756    
X46    14.029    5.811E-20     35.073    
X47    27.941    1.157E-19     69.852    
X48    18.366    7.607E-20     45.914    
X49    10.014    4.148E-20     25.035    
X4A    22.994    9.524E-20     57.484    
X4B    14.053    5.821E-20     35.132    
X4C    21.764    9.015E-20     54.410    
X4D    24.249    1.004E-19     60.624    
X4E    46.872    1.941E-19     117.181   
X4F    49.786    2.062E-19     124.466   
X4G    17.996    7.454E-20     44.990    
X4H    25.756    1.067E-19     64.391    
X4I    12.430    5.149E-20     31.076    
X4J    13.559    5.616E-20     33.896    
X4K    19.223    7.962E-20     48.057    
X4L    23.997    9.939E-20     59.993    
X4M    18.347    7.599E-20     45.867    
X4N    36.812    1.525E-19     92.030    
X4O    19.537    8.092E-20     48.842    
X4P    8.081     3.347E-20     20.202    
X4Q    24.958    1.034E-19     62.395    
X4R    29.953    1.241E-19     74.882    
X4S    26.403    1.094E-19     66.008    
X4T    23.986    9.935E-20     59.964    
X4U    26.811    1.111E-19     67.028    
X4V    23.279    9.642E-20     58.198    
X4W    22.077    9.144E-20     55.192    
X4X    23.546    9.753E-20     58.865    
X4Y    24.621    1.020E-19     61.552    
X4Z    25.781    1.068E-19     64.452    
X50    20.414    8.455E-20     51.035    
X51    38.030    1.575E-19     95.076    
X52    41.083    1.702E-19     102.707   
X53    34.379    1.424E-19     85.948    
