#Predicted Hamaker constants for TricalciumSilicate-Wet-001
#Estimated self-vacuum-self Hamaker: 30.637730932185683#Nominal refractive index: 1.7148937011342933
#Name  kT        Joules        kJ/mol    
ALA    2.613     1.082E-20     6.533     
ARG    -4.459    -1.847E-20    -11.148   
LYS    2.957     1.225E-20     7.392     
HID    3.664     1.518E-20     9.160     
HIE    3.712     1.538E-20     9.281     
ASP    9.346     3.871E-20     23.366    
GLU    8.840     3.661E-20     22.100    
SER    9.451     3.915E-20     23.628    
THR    4.638     1.921E-20     11.595    
ASN    8.085     3.349E-20     20.212    
GLN    -0.567    -2.350E-21    -1.419    
CYS    16.000    6.627E-20     39.999    
GLY    12.025    4.981E-20     30.062    
PRO    3.342     1.384E-20     8.354     
VAL    1.691     7.006E-21     4.228     
ILE    -3.686    -1.527E-20    -9.215    
LEU    1.561     6.464E-21     3.901     
MET    1.454     6.020E-21     3.634     
PHE    0.312     1.293E-21     0.781     
TYR    -1.566    -6.485E-21    -3.914    
TRP    -2.422    -1.003E-20    -6.055    
HIP    1.214     5.027E-21     3.034     
ETA    27.281    1.130E-19     68.202    
PHO    -0.869    -3.598E-21    -2.171    
CHL    24.450    1.013E-19     61.125    
DGL    5.080     2.104E-20     12.701    
EST    4.683     1.940E-20     11.707    
CYM    9.072     3.758E-20     22.680    
GAN    3.055     1.265E-20     7.637     
MAN    9.487     3.930E-20     23.718    
FUC    7.637     3.163E-20     19.094    
BGL    12.319    5.103E-20     30.799    
NGL    2.146     8.889E-21     5.365     
NGA    4.866     2.016E-20     12.166    
NC4    24.446    1.013E-19     61.115    
MAS    4.679     1.938E-20     11.696    
PRA    3.055     1.265E-20     7.637     
DMP    -1.316    -5.451E-21    -3.290    
MMM    27.273    1.130E-19     68.183    
BTE    3.083     1.277E-20     7.708     
PAS    7.793     3.228E-20     19.483    
PGL    7.722     3.198E-20     19.305    
HMA    6.271     2.598E-20     15.678    
HMB    5.966     2.471E-20     14.914    
HMC    3.784     1.567E-20     9.459     
HMD    4.711     1.951E-20     11.778    
HFE    -4.773    -1.977E-20    -11.933   
HIS    3.044     1.261E-20     7.611     
HAF    3.044     1.261E-20     7.611     
HAS    5.622     2.329E-20     14.056    
X00    11.375    4.712E-20     28.438    
X01    -3.308    -1.370E-20    -8.270    
X02    10.469    4.336E-20     26.174    
X03    8.497     3.519E-20     21.241    
X04    11.135    4.612E-20     27.836    
X05    2.489     1.031E-20     6.222     
X06    0.507     2.099E-21     1.267     
X07    3.189     1.321E-20     7.974     
X08    4.792     1.985E-20     11.979    
X09    5.042     2.088E-20     12.606    
X0A    12.840    5.318E-20     32.101    
X0B    -1.014    -4.199E-21    -2.534    
X0C    1.729     7.160E-21     4.322     
