#Predicted Hamaker constants for CNT15-NH2-14
#Estimated self-vacuum-self Hamaker: 20.915622308729958#Nominal refractive index: 1.5658778813506562
#Name  kT        Joules        kJ/mol    
ALA    1.378     5.707E-21     3.445     
ARG    -3.082    -1.277E-20    -7.705    
LYS    1.594     6.603E-21     3.986     
HID    2.039     8.447E-21     5.098     
HIE    2.070     8.573E-21     5.174     
ASP    5.610     2.324E-20     14.025    
GLU    5.292     2.192E-20     13.231    
SER    5.676     2.351E-20     14.190    
THR    2.652     1.099E-20     6.631     
ASN    4.818     1.996E-20     12.046    
GLN    -0.626    -2.593E-21    -1.565    
CYS    9.777     4.050E-20     24.443    
GLY    7.290     3.019E-20     18.224    
PRO    1.837     7.607E-21     4.591     
VAL    0.797     3.303E-21     1.993     
ILE    -2.594    -1.074E-20    -6.484    
LEU    0.715     2.961E-21     1.787     
MET    0.648     2.682E-21     1.619     
PHE    -0.072    -2.964E-22    -0.179    
TYR    -1.256    -5.201E-21    -3.139    
TRP    -1.796    -7.439E-21    -4.490    
HIP    0.496     2.056E-21     1.241     
ETA    16.799    6.958E-20     41.998    
PHO    -0.816    -3.380E-21    -2.040    
CHL    15.043    6.231E-20     37.607    
DGL    2.930     1.214E-20     7.326     
EST    2.680     1.110E-20     6.701     
CYM    5.438     2.252E-20     13.595    
GAN    1.656     6.859E-21     4.140     
MAN    5.699     2.360E-20     14.246    
FUC    4.537     1.879E-20     11.344    
BGL    7.474     3.096E-20     18.686    
NGL    1.084     4.489E-21     2.710     
NGA    2.796     1.158E-20     6.990     
NC4    15.040    6.230E-20     37.600    
MAS    2.678     1.109E-20     6.694     
PRA    1.656     6.859E-21     4.140     
DMP    -1.098    -4.549E-21    -2.746    
MMM    16.794    6.956E-20     41.986    
BTE    1.674     6.933E-21     4.184     
PAS    4.635     1.920E-20     11.588    
PGL    4.590     1.901E-20     11.476    
HMA    3.679     1.524E-20     9.198     
HMB    3.487     1.444E-20     8.717     
HMC    2.115     8.759E-21     5.287     
HMD    2.698     1.118E-20     6.745     
HFE    -3.280    -1.359E-20    -8.201    
HIS    1.649     6.832E-21     4.123     
HAF    1.649     6.832E-21     4.123     
HAS    3.271     1.355E-20     8.178     
X00    6.883     2.851E-20     17.206    
X01    -2.355    -9.755E-21    -5.888    
X02    6.315     2.616E-20     15.787    
X03    5.077     2.103E-20     12.692    
X04    6.732     2.788E-20     16.829    
X05    1.300     5.383E-21     3.249     
X06    0.051     2.115E-22     0.128     
X07    1.741     7.210E-21     4.352     
X08    2.749     1.139E-20     6.872     
X09    2.906     1.204E-20     7.266     
X0A    7.800     3.231E-20     19.501    
X0B    -0.908    -3.759E-21    -2.269    
X0C    0.821     3.400E-21     2.052     
X0D    2.707     1.121E-20     6.768     
X0E    8.258     3.420E-20     20.645    
X0F    3.739     1.549E-20     9.349     
X0G    0.763     3.161E-21     1.908     
X0H    0.017     7.235E-23     0.044     
X0I    5.010     2.075E-20     12.526    
X0J    1.132     4.687E-21     2.829     
X0K    14.971    6.201E-20     37.427    
X0L    14.041    5.816E-20     35.103    
X0M    0.842     3.487E-21     2.105     
X0N    2.103     8.710E-21     5.257     
X0O    -0.329    -1.364E-21    -0.823    
X0P    4.284     1.774E-20     10.710    
X0Q    12.151    5.033E-20     30.377    
X0R    0.842     3.487E-21     2.105     
X0S    14.971    6.201E-20     37.427    
X0T    2.103     8.710E-21     5.257     
X0U    1.132     4.687E-21     2.829     
X0V    14.041    5.816E-20     35.103    
X0W    4.220     1.748E-20     10.549    
X0X    1.803     7.466E-21     4.506     
X0Y    -0.241    -9.995E-22    -0.603    
X0Z    -0.241    -9.995E-22    -0.603    
X10    5.741     2.378E-20     14.352    
X11    0.187     7.757E-22     0.468     
X12    -0.720    -2.981E-21    -1.799    
X13    2.628     1.089E-20     6.571     
X14    -0.329    -1.364E-21    -0.823    
X15    11.401    4.722E-20     28.502    
X16    5.345     2.214E-20     13.363    
X17    7.627     3.159E-20     19.066    
X18    4.511     1.869E-20     11.279    
X19    1.548     6.413E-21     3.871     
X1A    -0.258    -1.068E-21    -0.645    
X1B    8.060     3.339E-20     20.151    
X1C    -0.344    -1.423E-21    -0.859    
X1D    4.955     2.052E-20     12.387    
X1E    6.074     2.516E-20     15.184    
X1F    5.506     2.280E-20     13.765    
X1G    0.097     4.004E-22     0.242     
X1H    0.385     1.594E-21     0.962     
X1I    3.171     1.313E-20     7.928     
X1J    3.170     1.313E-20     7.925     
X1K    3.474     1.439E-20     8.685     
X1L    8.603     3.563E-20     21.508    
X1M    4.078     1.689E-20     10.194    
X1N    1.068     4.425E-21     2.671     
X1O    2.568     1.064E-20     6.420     
X1P    8.900     3.686E-20     22.251    
X1Q    3.794     1.571E-20     9.484     
