#Predicted Hamaker constants for PLA-CHARMM
#Estimated self-vacuum-self Hamaker: 5.049557031742381#Nominal refractive index: 1.25386141724738
#Name  kT        Joules        kJ/mol    
ALA    -1.486    -6.154E-21    -3.715    
ARG    0.127     5.250E-22     0.317     
LYS    -1.564    -6.477E-21    -3.909    
HID    -1.724    -7.141E-21    -4.310    
HIE    -1.735    -7.186E-21    -4.338    
ASP    -3.006    -1.245E-20    -7.514    
GLU    -2.892    -1.198E-20    -7.230    
SER    -3.029    -1.255E-20    -7.573    
THR    -1.945    -8.054E-21    -4.862    
ASN    -2.722    -1.128E-20    -6.805    
GLN    -0.763    -3.158E-21    -1.906    
CYS    -4.490    -1.860E-20    -11.226   
GLY    -3.606    -1.493E-20    -9.014    
PRO    -1.651    -6.839E-21    -4.128    
VAL    -1.277    -5.287E-21    -3.191    
ILE    -0.050    -2.084E-22    -0.126    
LEU    -1.247    -5.164E-21    -3.117    
MET    -1.222    -5.063E-21    -3.056    
PHE    -0.963    -3.988E-21    -2.407    
TYR    -0.535    -2.215E-21    -1.337    
TRP    -0.339    -1.405E-21    -0.848    
HIP    -1.168    -4.838E-21    -2.920    
ETA    -6.961    -2.883E-20    -17.401   
PHO    -0.694    -2.874E-21    -1.735    
CHL    -6.347    -2.629E-20    -15.867   
DGL    -2.045    -8.469E-21    -5.112    
EST    -1.955    -8.096E-21    -4.887    
CYM    -2.944    -1.219E-20    -7.360    
GAN    -1.586    -6.569E-21    -3.965    
MAN    -3.037    -1.258E-20    -7.593    
FUC    -2.622    -1.086E-20    -6.554    
BGL    -3.671    -1.521E-20    -9.179    
NGL    -1.380    -5.715E-21    -3.450    
NGA    -1.996    -8.268E-21    -4.991    
NC4    -6.346    -2.628E-20    -15.865   
MAS    -1.954    -8.092E-21    -4.884    
PRA    -1.586    -6.569E-21    -3.965    
DMP    -0.592    -2.451E-21    -1.480    
MMM    -6.959    -2.882E-20    -17.397   
BTE    -1.592    -6.596E-21    -3.981    
PAS    -2.657    -1.100E-20    -6.641    
PGL    -2.641    -1.094E-20    -6.601    
HMA    -2.314    -9.583E-21    -5.784    
HMB    -2.245    -9.297E-21    -5.611    
HMC    -1.751    -7.253E-21    -4.378    
HMD    -1.961    -8.123E-21    -4.903    
HFE    0.199     8.229E-22     0.497     
PBB    0.000     0.000E+00     0.000     
NXX    0.000     0.000E+00     0.000     
HIS    -1.584    -6.559E-21    -3.959    
HAF    -1.584    -6.559E-21    -3.959    
HAS    -2.167    -8.976E-21    -5.418    
X00    -3.460    -1.433E-20    -8.651    
X01    -0.137    -5.665E-22    -0.342    
X02    -3.258    -1.349E-20    -8.144    
X03    -2.815    -1.166E-20    -7.037    
X04    -3.407    -1.411E-20    -8.516    
X05    -1.458    -6.037E-21    -3.644    
X06    -1.007    -4.172E-21    -2.518    
X07    -1.617    -6.696E-21    -4.041    
X08    -1.979    -8.198E-21    -4.948    
X09    -2.036    -8.433E-21    -5.090    
X0A    -3.788    -1.569E-20    -9.469    
X0B    -0.661    -2.737E-21    -1.652    
X0C    -1.285    -5.323E-21    -3.213    
X0D    -1.964    -8.136E-21    -4.911    
X0E    -3.951    -1.636E-20    -9.876    
X0F    -2.335    -9.673E-21    -5.838    
X0G    -1.264    -5.236E-21    -3.160    
X0H    -0.995    -4.121E-21    -2.488    
X0I    -2.791    -1.156E-20    -6.977    
X0J    -1.397    -5.787E-21    -3.493    
X0K    -6.322    -2.618E-20    -15.804   
X0L    -5.996    -2.483E-20    -14.989   
X0M    -1.293    -5.354E-21    -3.232    
X0N    -1.747    -7.236E-21    -4.367    
X0O    -0.870    -3.603E-21    -2.175    
X0P    -2.531    -1.048E-20    -6.326    
X0Q    -5.330    -2.208E-20    -13.326   
X0R    -1.293    -5.354E-21    -3.232    
X0S    -6.322    -2.618E-20    -15.804   
X0T    -1.747    -7.236E-21    -4.367    
X0U    -1.397    -5.787E-21    -3.493    
X0V    -5.996    -2.483E-20    -14.989   
X0W    -2.508    -1.039E-20    -6.269    
