#Predicted Hamaker constants for TiO2-rut-110
#Estimated self-vacuum-self Hamaker: 63.366055808975176#Nominal refractive index: 2.159584143924563
#Name  kT        Joules        kJ/mol    
ALA    5.790     2.398E-20     14.474    
ARG    -7.979    -3.305E-20    -19.947   
LYS    6.462     2.676E-20     16.154    
HID    7.846     3.250E-20     19.615    
HIE    7.941     3.289E-20     19.851    
ASP    19.018    7.877E-20     47.544    
GLU    18.018    7.463E-20     45.046    
SER    19.225    7.963E-20     48.062    
THR    9.755     4.040E-20     24.387    
ASN    16.529    6.846E-20     41.323    
GLN    -0.417    -1.727E-21    -1.042    
CYS    32.226    1.335E-19     80.566    
GLY    24.317    1.007E-19     60.792    
PRO    7.215     2.988E-20     18.038    
VAL    3.988     1.652E-20     9.971     
ILE    -6.479    -2.684E-20    -16.197   
LEU    3.733     1.546E-20     9.332     
MET    3.524     1.460E-20     8.810     
PHE    1.297     5.373E-21     3.243     
TYR    -2.360    -9.775E-21    -5.900    
TRP    -4.025    -1.667E-20    -10.062   
HIP    3.055     1.266E-20     7.639     
ETA    55.016    2.279E-19     137.541   
PHO    -1.003    -4.156E-21    -2.508    
CHL    49.244    2.040E-19     123.109   
DGL    10.622    4.400E-20     26.555    
EST    9.843     4.077E-20     24.606    
CYM    18.476    7.653E-20     46.190    
GAN    6.654     2.756E-20     16.634    
MAN    19.296    7.992E-20     48.239    
FUC    15.648    6.481E-20     39.120    
BGL    24.902    1.031E-19     62.254    
NGL    4.877     2.020E-20     12.192    
NGA    10.202    4.226E-20     25.506    
NC4    49.235    2.039E-19     123.088   
MAS    9.834     4.073E-20     24.585    
PRA    6.654     2.756E-20     16.634    
DMP    -1.874    -7.763E-21    -4.685    
MMM    55.001    2.278E-19     137.503   
BTE    6.709     2.779E-20     16.772    
PAS    15.955    6.608E-20     39.887    
PGL    15.814    6.550E-20     39.536    
HMA    12.961    5.368E-20     32.402    
HMB    12.360    5.119E-20     30.899    
HMC    8.080     3.347E-20     20.201    
HMD    9.898     4.100E-20     24.745    
HFE    -8.587    -3.557E-20    -21.469   
