#Name  kT        Joules        kJ/mol    
ALA    1.292     5.353E-21     3.231     
ARG    7.302     3.025E-20     18.256    
LYS    9.090     3.765E-20     22.724    
HID    7.395     3.063E-20     18.487    
HIE    7.399     3.065E-20     18.498    
ASP    8.303     3.439E-20     20.758    
GLU    7.033     2.913E-20     17.582    
SER    5.362     2.221E-20     13.405    
THR    4.577     1.896E-20     11.443    
ASN    7.068     2.927E-20     17.669    
GLN    6.199     2.568E-20     15.497    
CYS    12.877    5.333E-20     32.192    
GLY    6.656     2.757E-20     16.640    
PRO    6.221     2.577E-20     15.552    
VAL    2.720     1.127E-20     6.799     
ILE    2.924     1.211E-20     7.309     
LEU    2.888     1.196E-20     7.220     
MET    7.542     3.124E-20     18.856    
PHE    4.638     1.921E-20     11.596    
TYR    5.586     2.314E-20     13.965    
TRP    6.646     2.753E-20     16.616    
HIP    8.763     3.630E-20     21.907    
ETA    24.896    1.031E-19     62.241    
PHO    9.621     3.985E-20     24.053    
CHL    16.375    6.783E-20     40.938    
DGL    7.515     3.113E-20     18.787    
EST    5.702     2.362E-20     14.256    
CYM    12.938    5.359E-20     32.345    
GAN    6.354     2.632E-20     15.884    
HIS    7.773     3.219E-20     19.431    
X00    1.964     8.135E-21     4.910     
X01    9.207     3.814E-20     23.018    
X02    8.190     3.392E-20     20.475    
X03    6.041     2.502E-20     15.103    
X04    15.975    6.617E-20     39.938    
X05    6.501     2.693E-20     16.252    
X06    4.917     2.036E-20     12.292    
X07    6.486     2.687E-20     16.216    
X08    6.481     2.684E-20     16.201    
X09    1.570     6.501E-21     3.924     
X0A    1.538     6.372E-21     3.846     
X0B    4.295     1.779E-20     10.737    
X0C    8.282     3.430E-20     20.704    
X0D    3.628     1.503E-20     9.070     
X0E    5.788     2.397E-20     14.471    
X0F    3.689     1.528E-20     9.223     
X0G    5.908     2.447E-20     14.771    
X0H    4.847     2.008E-20     12.118    
X0I    1.484     6.148E-21     3.711     
X0J    7.795     3.229E-20     19.487    
X0K    10.881    4.507E-20     27.203    
X0L    8.842     3.662E-20     22.105    
X0M    13.566    5.619E-20     33.914    
X0N    5.030     2.083E-20     12.574    
X0O    6.601     2.734E-20     16.504    
X0P    2.251     9.323E-21     5.627     
X0Q    20.723    8.583E-20     51.807    
X0R    13.566    5.619E-20     33.914    
X0S    10.881    4.507E-20     27.203    
X0T    5.030     2.083E-20     12.574    
X0U    7.795     3.229E-20     19.487    
X0V    8.842     3.662E-20     22.105    
X0W    13.051    5.406E-20     32.627    
X0X    8.087     3.349E-20     20.217    
X0Y    7.068     2.928E-20     17.670    
X0Z    7.068     2.928E-20     17.670    
X10    7.451     3.086E-20     18.627    
X11    5.517     2.285E-20     13.792    
X12    6.945     2.877E-20     17.363    
X13    6.551     2.713E-20     16.377    
X14    6.601     2.734E-20     16.504    
X15    2.316     9.593E-21     5.790     
X16    2.720     1.127E-20     6.800     
X17    2.142     8.872E-21     5.355     
X18    2.879     1.192E-20     7.198     
X19    3.131     1.297E-20     7.828     
X1A    3.324     1.377E-20     8.310     
X1B    3.324     1.377E-20     8.310     
X1C    3.859     1.598E-20     9.647     
X1D    9.627     3.987E-20     24.067    
X1E    16.375    6.783E-20     40.939    
X1F    5.703     2.362E-20     14.257    
X1G    8.763     3.630E-20     21.907    
X1H    24.896    1.031E-19     62.239    
X1I    10.204    4.226E-20     25.509    
X1J    6.807     2.820E-20     17.018    
X1K    6.353     2.632E-20     15.884    
